title,Understanding Elephants,book_en_509_page_0_1.m4a,book_en_509_page_0,portrait,audio,
page,1,book_en_509_page_1,wordwrap,
paragraph
sentence,book_en_509_page_1_1.m4a,0,
word,0,0.266542,Have,en-uk_have.m4a,0.2,
word,0.266542,0.399792,you,en-uk_you.m4a,0.2,
word,0.399792,0.5164,ever,en-uk_ever.m4a,0.2,
word,0.5164,0.749749,seen,en-uk_seen.m4a,0.2,
word,0.749749,0.999702,an,en-uk_an.m4a,0.2,
word,0.999702,1.58307,elephant?,en-uk_elephant.m4a,0.2,
sentence,book_en_509_page_1_2.m4a,2.58986,
word,0,0.566204,Elephants,en-uk_elephants.m4a,0.2,
word,0.566204,0.782442,are,en-uk_are.m4a,0.2,
word,0.782442,1.25005,big.,en-uk_big.m4a,0.2,
sentence,book_en_509_page_1_3.m4a,4.78986,
word,0,0.299988,They,en-uk_they.m4a,0.2,
word,0.299988,0.550192,have,en-uk_have.m4a,0.2,
word,0.550192,0.816597,grey,en-uk_grey.m4a,0.2,
word,0.816597,0.983174,or,en-uk_or.m4a,0.2,
word,0.983174,1.25003,brown,en-uk_brown.m4a,0.2,
word,1.25003,2.18352,"skin,",en-uk_skin.m4a,0.2,
word,2.18352,2.47977,large,en-uk_large.m4a,0.2,
word,2.47977,3.08347,ears,en-uk_ears.m4a,0.2,
word,3.08347,3.35027,and,en-uk_and.m4a,0.2,
word,3.35027,3.51677,a,en-uk_a.m4a,0.2,
word,3.51677,3.85034,long,en-uk_long.m4a,0.2,
word,3.85034,4.48374,nose.,en-uk_nose.m4a,0.2,
sentence,book_en_509_page_1_4.m4a,10.2289,
word,0,0.316953,An,en-uk_an.m4a,0.2,
word,0.316953,0.733597,elephant’s,en-uk_elephants.m4a,0.2,
word,0.733597,1.30012,nose,en-uk_nose.m4a,0.2,
word,1.30012,1.43339,is,en-uk_is.m4a,0.2,
word,1.43339,1.73799,called,en-uk_called.m4a,0.2,
word,1.73799,1.84982,a,en-uk_a.m4a,0.2,
word,1.84982,2.45012,trunk.,en-uk_trunk.m4a,0.2,
page,2,book_en_509_page_2,wordwrap,
paragraph
sentence,book_en_509_page_2_1.m4a,0,
word,0,0.549541,Elephants,en-uk_elephants.m4a,0.2,
word,0.549541,0.88318,live,en-uk_live.m4a,0.2,
word,0.88318,1.3329,together,en-uk_together.m4a,0.2,
word,1.3329,1.53292,in,en-uk_in.m4a,0.2,
word,1.53292,1.84974,big,en-uk_big.m4a,0.2,
word,1.84974,2.24954,groups,en-uk_groups.m4a,0.2,
word,2.24954,2.51622,called,en-uk_called.m4a,0.2,
word,2.51622,3.14976,herds.,en-uk_herds.m4a,0.2,
sentence,book_en_509_page_2_2.m4a,4.27122,
word,0,0.316245,Baby,en-uk_baby.m4a,0.2,
word,0.316245,0.816363,elephants,en-uk_elephants.m4a,0.2,
word,0.816363,1.06639,are,en-uk_are.m4a,0.2,
word,1.06639,1.43308,called,en-uk_called.m4a,0.2,
word,1.43308,2.05043,calves.,en-uk_calves.m4a,0.2,
page,3,book_en_509_page_3,wordwrap,
paragraph
sentence,book_en_509_page_3_1.m4a,0,
word,0,0.316152,Even,en-uk_even.m4a,0.2,
word,0.316152,0.799921,elephant,en-uk_elephant.m4a,0.2,
word,0.799921,1.38281,calves,en-uk_calves.m4a,0.2,
word,1.38281,1.54979,are,en-uk_are.m4a,0.2,
word,1.54979,2.00039,big.,en-uk_big.m4a,0.2,
sentence,book_en_509_page_3_2.m4a,2.988,
word,0,0.33307,They,en-uk_they.m4a,0.2,
word,0.33307,0.666733,weigh,en-uk_weigh.m4a,0.2,
word,0.666733,0.963212,about,en-uk_about.m4a,0.2,
word,0.963212,2.05,120,en-uk_120.m4a,0.2,
word,2.05,2.73321,kilograms,en-uk_kilograms.m4a,0.2,
word,2.73321,2.93298,when,en-uk_when.m4a,0.2,
word,2.93298,3.14966,they,en-uk_they.m4a,0.2,
word,3.14966,3.34963,are,en-uk_are.m4a,0.2,
word,3.34963,3.73372,born!,en-uk_born.m4a,0.2,
paragraph
sentence,book_en_509_page_3_3.m4a,7.72172,
word,0,0.466691,Elephant,en-uk_elephant.m4a,0.2,
word,0.466691,0.899249,calves,en-uk_calves.m4a,0.2,
word,0.899249,1.26669,learn,en-uk_learn.m4a,0.2,
word,1.26669,1.56332,from,en-uk_from.m4a,0.2,
word,1.56332,1.8166,their,en-uk_their.m4a,0.2,
word,1.8166,2.45084,parents.,en-uk_parents.m4a,0.2,
page,4,book_en_509_page_4,wordwrap,
paragraph
sentence,book_en_509_page_4_1.m4a,0,
word,0,0.249881,An,en-uk_an.m4a,0.2,
word,0.249881,0.700191,elephant,en-uk_elephant.m4a,0.2,
word,0.700191,1.1671,uses,en-uk_uses.m4a,0.2,
word,1.1671,1.35024,its,en-uk_its.m4a,0.2,
word,1.35024,1.80028,trunk,en-uk_trunk.m4a,0.2,
word,1.80028,2.15005,like,en-uk_like.m4a,0.2,
word,2.15005,2.31688,an,en-uk_an.m4a,0.2,
word,2.31688,2.62229,arm,en-uk_arm.m4a,0.2,
word,2.62229,2.80043,or,en-uk_or.m4a,0.2,
word,2.80043,3.38326,hand.,en-uk_hand.m4a,0.2,
sentence,book_en_509_page_4_2.m4a,4.43279,
word,0,0.216622,A,en-uk_a.m4a,0.2,
word,0.216622,0.666386,trunk,en-uk_trunk.m4a,0.2,
