# LanguageTag	# Level	# Worksheet	# Problem		# StoneCount	# TallyCount
en-US	1	1	1		1	0
en-US	1	1	2		2	0
en-US	1	1	3		3	0
en-US	1	1	4		4	0
en-US	1	1	5		5	0
en-US	2	1	1		2	0
en-US	2	1	2		3	0
en-US	2	1	3		5	0
en-US	2	1	4		0	2
en-US	2	1	5		5	0
en-US	2	2	1		1	0
en-US	2	2	2		0	3
en-US	2	2	3		3	0
en-US	2	2	4		0	4
en-US	2	2	5		3	0
en-US	2	3	1		0	4
en-US	2	3	2		2	0
en-US	2	3	3		1	0
en-US	2	3	4		0	3
en-US	2	3	5		5	0
en-US	2	4	1		5	0
en-US	2	4	2		0	3
en-US	2	4	3		0	4
en-US	2	4	4		0	2
en-US	2	4	5		1	0
en-US	2	5	1		4	0
en-US	2	5	2		0	4
en-US	2	5	3		0	2
en-US	2	5	4		5	0
en-US	2	5	5		4	0
en-US	3	1	1		9	0
en-US	3	1	2		0	3
en-US	3	1	3		5	0
en-US	3	1	4		7	0
en-US	3	1	5		0	4
en-US	3	1	6		6	0
en-US	3	1	7		8	0
en-US	3	2	1		7	0
en-US	3	2	2		0	3
en-US	3	2	3		9	0
en-US	3	2	4		8	0
en-US	3	2	5		0	4
en-US	3	2	6		6	0
en-US	3	2	7		5	0
en-US	3	3	1		6	0
en-US	3	3	2		0	3
en-US	3	3	3		9	0
en-US	3	3	4		8	0
en-US	3	3	5		7	0
en-US	3	3	6		0	4
en-US	3	3	7		5	0
en-US	3	4	1		9	0
en-US	3	4	2		5	0
en-US	3	4	3		7	0
en-US	3	4	4		8	0
en-US	3	4	5		0	3
en-US	3	4	6		6	0
en-US	3	4	7		0	4
en-US	3	5	1		7	0
en-US	3	5	2		6	0
en-US	3	5	3		5	0
en-US	3	5	4		9	0
en-US	3	5	5		0	3
en-US	3	5	6		0	4
en-US	3	5	7		8	0
en-US	4	1	1		0	2
en-US	4	1	2		4	0
en-US	4	1	3		9	0
en-US	4	1	4		6	0
en-US	4	1	5		5	0
en-US	4	1	6		7	0
en-US	4	1	7		8	0
en-US	4	1	8		3	0
en-US	4	2	1		6	0
en-US	4	2	2		2	0
en-US	4	2	3		7	0
en-US	4	2	4		9	0
en-US	4	2	5		3	0
en-US	4	2	6		5	0
en-US	4	2	7		0	4
en-US	4	2	8		8	0
en-US	4	3	1		4	0
en-US	4	3	2		7	0
en-US	4	3	3		3	0
en-US	4	3	4		8	0
en-US	4	3	5		5	0
en-US	4	3	6		0	2
en-US	4	3	7		6	0
en-US	4	3	8		7	0
en-US	4	4	1		9	0
en-US	4	4	2		4	0
en-US	4	4	3		9	0
en-US	4	4	4		6	0
en-US	4	4	5		7	0
en-US	4	4	6		9	0
en-US	4	4	7		5	0
en-US	4	4	8		0	4
en-US	4	5	1		3	0
en-US	4	5	2		7	0
en-US	4	5	3		6	0
en-US	4	5	4		9	0
en-US	4	5	5		8	0
en-US	4	5	6		5	0
en-US	4	5	7		6	0
en-US	4	5	8		0	2
en-US	5	1	1		10	0
en-US	5	1	2		11	0
en-US	5	1	3		12	0
en-US	5	1	4		13	0
en-US	5	1	5		14	0
en-US	5	1	6		15	0
en-US	6	1	1		0	15
en-US	6	1	2		0	16
en-US	6	1	3		0	17
en-US	6	1	4		0	18
en-US	6	1	5		0	19
en-US	6	1	6		0	20
en-US	7	1	1		0	10
en-US	7	1	2		0	19
en-US	7	1	3		0	18
en-US	7	1	4		0	12
en-US	7	1	5		0	11
en-US	7	1	6		0	16
en-US	7	1	7		0	13
en-US	7	1	8		0	17
en-US	7	2	1		0	14
en-US	7	2	2		0	19
en-US	7	2	3		0	20
en-US	7	2	4		0	18
en-US	7	2	5		0	13
en-US	7	2	6		0	15
en-US	7	2	7		0	16
en-US	7	2	8		0	11
en-US	7	3	1		12	0
en-US	7	3	2		20	0
en-US	7	3	3		13	0
en-US	7	3	4		10	0
en-US	7	3	5		17	0
en-US	7	3	6		14	0
en-US	7	3	7		11	0
en-US	7	3	8		19	0
en-US	7	4	1		0	14
en-US	7	4	2		0	18
en-US	7	4	3		0	20
en-US	7	4	4		0	10
en-US	7	4	5		0	17
en-US	7	4	6		0	15
en-US	7	4	7		0	16
en-US	7	4	8		0	12
en-US	7	5	1		18	0
en-US	7	5	2		13	0
en-US	7	5	3		17	0
en-US	7	5	4		11	0
en-US	7	5	5		15	0
en-US	7	5	6		12	0
en-US	7	5	7		20	0
en-US	7	5	8		19	0
en-US	8	1	1		0	30
en-US	8	1	2		0	5
en-US	8	1	3		0	20
en-US	8	1	4		0	35
en-US	8	1	5		0	10
en-US	8	1	6		0	15
en-US	8	2	1		0	15
en-US	8	2	2		0	25
en-US	8	2	3		0	20
en-US	8	2	4		0	10
en-US	8	2	5		0	5
en-US	8	2	6		0	35
en-US	8	3	1		0	10
en-US	8	3	2		0	35
en-US	8	3	3		0	15
en-US	8	3	4		0	30
en-US	8	3	5		0	25
en-US	8	3	6		0	20
en-US	8	4	1		0	30
en-US	8	4	2		0	15
en-US	8	4	3		0	35
en-US	8	4	4		0	25
en-US	8	4	5		0	10
en-US	8	4	6		0	5
en-US	8	5	1		0	5
en-US	8	5	2		0	10
en-US	8	5	3		0	35
en-US	8	5	4		0	25
en-US	8	5	5		0	15
en-US	8	5	6		0	30
