# Level	# WorkSet	# Work		# Choices(=C)	# Answer[0,C)	# Choice 0	# Choice 1	# Choice 2	# Choice 3
1	1	1		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_rhino.png	-	-
1	1	2		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_zebra.png	-	-
1	1	3		2	RANDOM	Lv1/findthematch_lv1_rhino.png	Lv1/findthematch_lv1_zebra.png	-	-
1	1	4		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_elephant.png	-	-
1	1	5		2	RANDOM	Lv1/findthematch_lv1_frog.png	Lv1/findthematch_lv1_rhino.png	-	-
1	1	6		2	RANDOM	Lv1/findthematch_lv1_girrafe.png	Lv1/findthematch_lv1_zebra.png	-	-
1	2	1		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	2	2		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_cheetah.png	-	-
1	2	3		2	RANDOM	Lv1/findthematch_lv1_girrafe.png	Lv1/findthematch_lv1_hippo.png	-	-
1	2	4		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_zebra.png	-	-
1	2	5		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_lion.png	-	-
1	2	6		2	RANDOM	Lv1/findthematch_lv1_gorilla.png	Lv1/findthematch_lv1_cheetah.png	-	-
1	3	1		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_frog.png	-	-
1	3	2		2	RANDOM	Lv1/findthematch_lv1_rhino.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	3	3		2	RANDOM	Lv1/findthematch_lv1_zebra.png	Lv1/findthematch_lv1_cheetah.png	-	-
1	3	4		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_rhino.png	-	-
1	3	5		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_elephant.png	-	-
1	3	6		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_hippo.png	-	-
1	4	1		2	RANDOM	Lv1/findthematch_lv1_rhino.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	4	2		2	RANDOM	Lv1/findthematch_lv1_gorilla.png	Lv1/findthematch_lv1_rhino.png	-	-
1	4	3		2	RANDOM	Lv1/findthematch_lv1_zebra.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	4	4		2	RANDOM	Lv1/findthematch_lv1_frog.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	4	5		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_rhino.png	-	-
1	4	6		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_lion.png	-	-
1	5	1		2	RANDOM	Lv1/findthematch_lv1_rhino.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	5	2		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	5	3		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	5	4		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_rhino.png	-	-
1	5	5		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_elephant.png	-	-
1	5	6		2	RANDOM	Lv1/findthematch_lv1_meerkat.png	Lv1/findthematch_lv1_frog.png	-	-
1	6	1		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_hippo.png	-	-
1	6	2		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_hippo.png	-	-
1	6	3		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	6	4		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_hippo.png	-	-
1	6	5		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_frog.png	-	-
1	6	6		2	RANDOM	Lv1/findthematch_lv1_frog.png	Lv1/findthematch_lv1_zebra.png	-	-
1	7	1		2	RANDOM	Lv1/findthematch_lv1_hippo.png	Lv1/findthematch_lv1_frog.png	-	-
1	7	2		2	RANDOM	Lv1/findthematch_lv1_girrafe.png	Lv1/findthematch_lv1_frog.png	-	-
1	7	3		2	RANDOM	Lv1/findthematch_lv1_cheetah.png	Lv1/findthematch_lv1_elephant.png	-	-
1	7	4		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	7	5		2	RANDOM	Lv1/findthematch_lv1_frog.png	Lv1/findthematch_lv1_cheetah.png	-	-
1	7	6		2	RANDOM	Lv1/findthematch_lv1_lion.png	Lv1/findthematch_lv1_meerkat.png	-	-
1	8	1		2	RANDOM	Lv1/findthematch_lv1_girrafe.png	Lv1/findthematch_lv1_frog.png	-	-
1	8	2		2	RANDOM	Lv1/findthematch_lv1_frog.png	Lv1/findthematch_lv1_gorilla.png	-	-
1	8	3		2	RANDOM	Lv1/findthematch_lv1_elephant.png	Lv1/findthematch_lv1_girrafe.png	-	-
1	8	4		2	RANDOM	Lv1/findthematch_lv1_gorilla.png	Lv1/findthematch_lv1_lion.png	-	-
1	8	5		2	RANDOM	Lv1/findthematch_lv1_meerkat.png	Lv1/findthematch_lv1_hippo.png	-	-
1	8	6		2	RANDOM	Lv1/findthematch_lv1_meerkat.png	Lv1/findthematch_lv1_rhino.png	-	-
2	1	1		3	RANDOM	Lv2/findthematch_lv2_bird1.png	Lv2/findthematch_lv2_bird2.png	Lv2/findthematch_lv2_bird3.png	-
2	1	2		3	RANDOM	Lv2/findthematch_lv2_flower1.png	Lv2/findthematch_lv2_flower3.png	Lv2/findthematch_lv2_flower2.png	-
2	1	3		3	RANDOM	Lv2/findthematch_lv2_tortoise3.png	Lv2/findthematch_lv2_tortoise2.png	Lv2/findthematch_lv2_tortoise1.png	-
2	1	4		3	RANDOM	Lv2/findthematch_lv2_plants1.png	Lv2/findthematch_lv2_plants2.png	Lv2/findthematch_lv2_plants3.png	-
2	1	5		3	RANDOM	Lv2/findthematch_lv2_leaf2.png	Lv2/findthematch_lv2_leaf3.png	Lv2/findthematch_lv2_leaf1.png	-
2	1	6		3	RANDOM	Lv2/findthematch_lv2_butterfly3.png	Lv2/findthematch_lv2_butterfly1.png	Lv2/findthematch_lv2_butterfly2.png	-
2	2	1		3	RANDOM	Lv2/findthematch_lv2_butterfly1.png	Lv2/findthematch_lv2_butterfly3.png	Lv2/findthematch_lv2_butterfly2.png	-
2	2	2		3	RANDOM	Lv2/findthematch_lv2_frog1.png	Lv2/findthematch_lv2_frog3.png	Lv2/findthematch_lv2_frog2.png	-
2	2	3		3	RANDOM	Lv2/findthematch_lv2_plants2.png	Lv2/findthematch_lv2_plants1.png	Lv2/findthematch_lv2_plants3.png	-
2	2	4		3	RANDOM	Lv2/findthematch_lv2_leaf2.png	Lv2/findthematch_lv2_leaf1.png	Lv2/findthematch_lv2_leaf3.png	-
2	2	5		3	RANDOM	Lv2/findthematch_lv2_monkey3.png	Lv2/findthematch_lv2_monkey2.png	Lv2/findthematch_lv2_monkey1.png	-
2	2	6		3	RANDOM	Lv2/findthematch_lv2_bugs1.png	Lv2/findthematch_lv2_bugs2.png	Lv2/findthematch_lv2_bugs3.png	-
2	3	1		3	RANDOM	Lv2/findthematch_lv2_plants2.png	Lv2/findthematch_lv2_plants3.png	Lv2/findthematch_lv2_plants1.png	-
2	3	2		3	RANDOM	Lv2/findthematch_lv2_bugs2.png	Lv2/findthematch_lv2_bugs1.png	Lv2/findthematch_lv2_bugs3.png	-
2	3	3		3	RANDOM	Lv2/findthematch_lv2_leaf2.png	Lv2/findthematch_lv2_leaf3.png	Lv2/findthematch_lv2_leaf1.png	-
2	3	4		3	RANDOM	Lv2/findthematch_lv2_monkey1.png	Lv2/findthematch_lv2_monkey3.png	Lv2/findthematch_lv2_monkey2.png	-
2	3	5		3	RANDOM	Lv2/findthematch_lv2_tree3.png	Lv2/findthematch_lv2_tree1.png	Lv2/findthematch_lv2_tree2.png	-
2	3	6		3	RANDOM	Lv2/findthematch_lv2_frog3.png	Lv2/findthematch_lv2_frog2.png	Lv2/findthematch_lv2_frog1.png	-
2	4	1		3	RANDOM	Lv2/findthematch_lv2_flower1.png	Lv2/findthematch_lv2_flower2.png	Lv2/findthematch_lv2_flower3.png	-
2	4	2		3	RANDOM	Lv2/findthematch_lv2_tree2.png	Lv2/findthematch_lv2_tree3.png	Lv2/findthematch_lv2_tree1.png	-
2	4	3		3	RANDOM	Lv2/findthematch_lv2_frog1.png	Lv2/findthematch_lv2_frog3.png	Lv2/findthematch_lv2_frog2.png	-
2	4	4		3	RANDOM	Lv2/findthematch_lv2_bugs2.png	Lv2/findthematch_lv2_bugs3.png	Lv2/findthematch_lv2_bugs1.png	-
2	4	5		3	RANDOM	Lv2/findthematch_lv2_tortoise3.png	Lv2/findthematch_lv2_tortoise1.png	Lv2/findthematch_lv2_tortoise2.png	-
2	4	6		3	RANDOM	Lv2/findthematch_lv2_butterfly3.png	Lv2/findthematch_lv2_butterfly2.png	Lv2/findthematch_lv2_butterfly1.png	-
2	5	1		3	RANDOM	Lv2/findthematch_lv2_leaf3.png	Lv2/findthematch_lv2_leaf2.png	Lv2/findthematch_lv2_leaf1.png	-
2	5	2		3	RANDOM	Lv2/findthematch_lv2_monkey3.png	Lv2/findthematch_lv2_monkey1.png	Lv2/findthematch_lv2_monkey2.png	-
2	5	3		3	RANDOM	Lv2/findthematch_lv2_bugs3.png	Lv2/findthematch_lv2_bugs2.png	Lv2/findthematch_lv2_bugs1.png	-
2	5	4		3	RANDOM	Lv2/findthematch_lv2_tree1.png	Lv2/findthematch_lv2_tree3.png	Lv2/findthematch_lv2_tree2.png	-
2	5	5		3	RANDOM	Lv2/findthematch_lv2_flower1.png	Lv2/findthematch_lv2_flower3.png	Lv2/findthematch_lv2_flower2.png	-
2	5	6		3	RANDOM	Lv2/findthematch_lv2_frog1.png	Lv2/findthematch_lv2_frog2.png	Lv2/findthematch_lv2_frog3.png	-
2	6	1		3	RANDOM	Lv2/findthematch_lv2_flower2.png	Lv2/findthematch_lv2_flower3.png	Lv2/findthematch_lv2_flower1.png	-
2	6	2		3	RANDOM	Lv2/findthematch_lv2_bugs1.png	Lv2/findthematch_lv2_bugs3.png	Lv2/findthematch_lv2_bugs2.png	-
2	6	3		3	RANDOM	Lv2/findthematch_lv2_leaf2.png	Lv2/findthematch_lv2_leaf3.png	Lv2/findthematch_lv2_leaf1.png	-
2	6	4		3	RANDOM	Lv2/findthematch_lv2_frog3.png	Lv2/findthematch_lv2_frog2.png	Lv2/findthematch_lv2_frog1.png	-
2	6	5		3	RANDOM	Lv2/findthematch_lv2_bird3.png	Lv2/findthematch_lv2_bird2.png	Lv2/findthematch_lv2_bird1.png	-
2	6	6		3	RANDOM	Lv2/findthematch_lv2_tree2.png	Lv2/findthematch_lv2_tree3.png	Lv2/findthematch_lv2_tree1.png	-
2	7	1		3	RANDOM	Lv2/findthematch_lv2_tree3.png	Lv2/findthematch_lv2_tree2.png	Lv2/findthematch_lv2_tree1.png	-
