#LanguageTag	#Level	#Worksheet	#ProblemNo	#Sentence	#SentenceSoundKeeper	#Word1	#Word2	#Word3	#Time
en-US	1	1	1	10 + 20 = [ 30 ]		20	40	50	0
en-US	1	1	2	20 + 30 = [ 50 ]		30	40	60	0
en-US	1	1	3	30 + 10 = [ 40 ]		50	60	70	0
en-US	1	1	4	50 + 20 = [ 70 ]		60	80	90	0
en-US	1	1	5	40 + 20 = [ 60 ]		70	50	80	0
en-US	1	2	1	20 + 60 = [ 80 ]		50	60	70	0
en-US	1	2	2	70 + 10 = [ 80 ]		60	70	90	0
en-US	1	2	3	30 + 40 = [ 70 ]		50	80	60	0
en-US	1	2	4	10 + 80 = [ 90 ]		70	80	100	0
en-US	1	2	5	40 + 10 = [ 50 ]		60	40	70	0
en-US	2	1	1	30 + 23 = [ 53 ]		43	23	63	0
en-US	2	1	2	20 + 36 = [ 56 ]		46	36	66	0
en-US	2	1	3	10 + 41 = [ 51 ]		31	41	61	0
en-US	2	1	4	40 + 19 = [ 59 ]		39	49	69	0
en-US	2	1	5	50 + 13 = [ 63 ]		33	43	53	0
en-US	2	2	1	10 + 56 = [ 66 ]		46	56	76	0
en-US	2	2	2	70 + 21 = [ 91 ]		81	71	101	0
en-US	2	2	3	60 + 15 = [ 75 ]		85	65	55	0
en-US	2	2	4	30 + 33 = [ 63 ]		73	53	43	0
en-US	2	2	5	20 + 57 = [ 77 ]		67	87	97	0
en-US	3	1	1	11 + 14 = [ 25 ]		20	39	35	0
en-US	3	1	2	15 + 12 = [ 27 ]		30	47	32	0
en-US	3	1	3	13 + 16 = [ 29 ]		39	25	30	0
en-US	3	1	4	17 + 11 = [ 28 ]		25	30	38	0
en-US	3	1	5	14 + 13 = [ 27 ]		20	17	33	0
en-US	3	2	1	16 + 12 = [ 28 ]		35	38	40	0
en-US	3	2	2	18 + 11 = [ 29 ]		30	25	39	0
en-US	3	2	3	12 + 14 = [ 26 ]		36	20	30	0
en-US	3	2	4	14 + 15 = [ 29 ]		17	39	20	0
en-US	3	2	5	13 + 13 = [ 26 ]		20	32	46	0
en-US	4	1	1	21 + 12 = [ 33 ]		20	53	31	0
en-US	4	1	2	11 + 35 = [ 46 ]		36	40	51	0
en-US	4	1	3	42 + 16 = [ 58 ] 		54	50	68	0
en-US	4	1	4	35 + 12 = [ 47 ]		60	45	57	0
en-US	4	1	5	18 + 21 = [ 39 ]		29	40	55	0
en-US	4	2	1	25 + 11 = [ 36 ]		30	26	45	0
en-US	4	2	2	33 + 24 = [ 57 ]		45	60	67	0
en-US	4	2	3	17 + 32 = [ 49 ]		39	52	60	0
en-US	4	2	4	41 + 25 = [ 66 ]		60	76	59	0
en-US	4	2	5	55 + 13 = [ 68 ]		78	85	60	0
en-US	5	1	1	73 + 12 = [ 85 ]		75	80	63	0
en-US	5	1	2	51 + 24 = [ 75 ]		57	90	85	0
en-US	5	1	3	64 + 14 = [ 78 ]		88	93	70	0
en-US	5	1	4	55 + 32 = [ 87 ]		83	70	77	0
en-US	5	1	5	25 + 71 = [ 96 ]		86	100	80	0
en-US	5	2	1	13 + 63 = [ 76 ]		70	85	66	0
en-US	5	2	2	22 + 64 = [ 86 ]		76	80	72	0
en-US	5	2	3	27 + 52 = [ 79 ]		60	69	83	0
en-US	5	2	4	31 + 67 = [ 98 ]		90	75	88	0
en-US	5	2	5	82 + 15 = [ 97 ]		100	107	92	0
en-US	6	1	1	12 + 68 = [ 80 ]		70	90	100	0
en-US	6	1	2	46 + 24 = [ 70 ]		50	60	80	0
en-US	6	1	3	53 + 37 = [ 90 ]		80	100	70	0
en-US	6	1	4	35 + 25 = [ 60 ]		70	50	80	0
en-US	6	1	5	79 + 21 = [ 100 ]		80	90	110	0
en-US	6	2	1	14 + 56 = [ 70 ]		60	80	40	0
en-US	6	2	2	43 + 37 = [ 80 ]		70	90	100	0
en-US	6	2	3	58 + 32 = [ 90 ]		100	110	80	0
en-US	6	2	4	36 + 34 = [ 70 ]		90	80	60	0
en-US	6	2	5	29 + 31 = [ 60 ]		40	50	70	0
en-US	7	1	1	56 + 15 = [ 71 ]		61	80	92	0
en-US	7	1	2	18 + 45 = [ 63 ]		73	60	75	0
en-US	7	1	3	42 + 19 = [ 61 ] 		51	70	69	0
en-US	7	1	4	55 + 27 = [ 82 ]		80	90	92	0
en-US	7	1	5	38 + 28 = [ 66 ]		56	60	74	0
en-US	7	2	1	25 + 47 = [ 72 ]		67	82	90	0
en-US	7	2	2	39 + 14 = [ 53 ]		63	71	50	0
en-US	7	2	3	17 + 54 = [ 71 ]		60	64	81	0
en-US	7	2	4	34 + 29 = [ 63 ]		74	80	53	0
en-US	7	2	5	67 + 15 = [ 82 ]		70	92	100	0
en-US	8	1	1	30 - 10 = [ 20 ]		10	30	40	0
en-US	8	1	2	50 - 20 = [ 30 ]		10	20	40	0
en-US	8	1	3	40 - 30 = [ 10 ]		20	30	40	0
en-US	8	1	4	70 - 20 = [ 50 ]		20	30	40	0
en-US	8	1	5	60 - 20 = [ 40 ]		30	50	60	0
en-US	8	2	1	80 - 60 = [ 20 ]		10	30	40	0
en-US	8	2	2	80 - 10 = [ 70 ]		40	50	60	0
en-US	8	2	3	70 - 40 = [ 30 ]		10	20	40	0
en-US	8	2	4	90 - 80 = [ 10 ]		20	30	40	0
en-US	8	2	5	50 - 10 = [ 40 ]		20	30	50	0
en-US	9	1	1	53 - 30 = [ 23 ]		13	20	30	0
en-US	9	1	2	56 - 20 = [ 36 ]		20	30	26	0
en-US	9	1	3	51 - 10 = [ 41 ]		31	30	20	0
en-US	9	1	4	59 - 40 = [ 19 ]		20	29	10	0
en-US	9	1	5	63 - 50 = [ 13 ]		23	30	10	0
en-US	9	2	1	66 - 10 = [ 56 ]		66	40	50	0
en-US	9	2	2	91 - 70 = [ 21 ]		31	20	30	0
en-US	9	2	3	75 - 60 = [ 15 ]		20	25	10	0
en-US	9	2	4	63 - 30 = [ 33 ]		20	30	43	0
en-US	9	2	5	77 - 20 = [ 57 ]		47	50	40	0
en-US	10	1	1	20 - 14 = [ 6 ]		4	5	7	0
en-US	10	1	2	20 - 12 = [ 8 ]		6	7	9	0
en-US	10	1	3	20 - 16 = [ 4 ]		2	3	5	0
en-US	10	1	4	20 - 11 = [ 9 ]		6	7	8	0
en-US	10	1	5	20 - 13 = [ 7 ]		5	6	8	0
en-US	10	2	1	20 - 12 = [ 8 ]		6	7	9	0
en-US	10	2	2	20 - 11 = [ 9 ]		6	7	8	0
en-US	10	2	3	20 - 14 = [ 6 ]		3	4	5	0
en-US	10	2	4	20 - 15 = [ 5 ]		3	4	6	0
en-US	10	2	5	20 - 13 = [ 7 ]		6	8	9	0
en-US	11	1	1	11 - 4 = [ 7 ]		5	6	8	0
en-US	11	1	2	15 - 7 = [ 8 ]		6	7	9	0
en-US	11	1	3	13 - 6 = [ 7 ]		4	5	6	0
en-US	11	1	4	17 - 8 = [ 9 ]		6	7	8	0
en-US	11	1	5	14 - 9 = [ 5 ]		6	7	8	0
en-US	11	2	1	16 - 8 = [ 8 ]		3	5	6	0
en-US	11	2	2	11 - 8 = [ 3 ]		1	2	4	0
en-US	11	2	3	12 - 4 = [ 8 ]		6	7	9	0
en-US	11	2	4	14 - 5 = [ 9 ]		6	7	8	0
en-US	11	2	5	13 - 7 = [ 6 ]		5	7	8	0
en-US	12	1	1	85 - 12 = [ 73 ]		83	75	80	0
en-US	12	1	2	75 - 24 = [ 51 ]		62	40	41	0
en-US	12	1	3	78 - 14 = [ 64 ]		43	54	50	0
en-US	12	1	4	87 - 32 = [ 55 ]		65	67	40	0
en-US	12	1	5	96 - 71 = [ 25 ]		20	15	36	0
en-US	12	2	1	76 - 63 = [ 13 ]		30	10	23	0
en-US	12	2	2	86 - 64 = [ 22 ]		20	32	16	0
en-US	12	2	3	79 - 52 = [ 27 ]		34	20	30	0
en-US	12	2	4	98 - 67 = [ 31 ]		21	18	40	0
en-US	12	2	5	97 - 15 = [ 82 ]		67	72	80	0
en-US	13	1	1	33 - 14 = [ 19 ]		29	14	20	0
en-US	13	1	2	43 - 16 = [ 27 ]		13	37	20	0
en-US	13	1	3	48 - 19 = [ 29 ] 		39	20	18	0
en-US	13	1	4	35 - 18 = [ 17 ]		10	27	25	0
en-US	13	1	5	31 - 13 = [ 18 ]		28	20	10	0
en-US	13	2	1	46 - 17 = [ 29 ]		27	19	30	0
en-US	13	2	2	42 - 14 = [ 28 ]		10	35	18	0
en-US	13	2	3	35 - 19 = [ 16 ]		20	26	10	0
en-US	13	2	4	41 - 15 = [ 26 ]		16	20	31	0
en-US	13	2	5	35 - 18 = [ 17 ]		11	20	27	0
en-US	14	1	1	25 - 9 = [ 16 ] 		6	19	20	0
en-US	14	1	2	33 - 25 = [ 8 ]		13	18	20	0
en-US	14	1	3	48 - 29 = [ 19 ]		20	18	9	0
en-US	14	1	4	34 - 27 = [ 7 ]		20	17	14	0
