#languageTag	level	stage	worksheet	multiplicand	multiplier	product
en-US	1	1	1	2	1	2
en-US	1	2	1	2	2	4
en-US	1	3	1	2	3	6
en-US	1	4	1	2	4	8
en-US	1	5	1	2	5	10
en-US	1	6	1	2	6	12
en-US	1	7	1	2	7	14
en-US	1	8	1	2	8	16
en-US	1	9	1	2	9	18
en-US	2	1	1	3	1	3
en-US	2	2	1	3	2	6
en-US	2	3	1	3	3	9
en-US	2	4	1	3	4	12
en-US	2	5	1	3	5	15
en-US	2	6	1	3	6	18
en-US	2	7	1	3	7	21
en-US	2	8	1	3	8	24
en-US	2	9	1	3	9	27
en-US	3	1	1	4	1	4
en-US	3	2	1	4	2	8
en-US	3	3	1	4	3	12
en-US	3	4	1	4	4	16
en-US	3	5	1	4	5	20
en-US	3	6	1	4	6	24
en-US	3	7	1	4	7	28
en-US	3	8	1	4	8	32
en-US	3	9	1	4	9	36
en-US	4	1	1	5	1	5
en-US	4	2	1	5	2	10
en-US	4	3	1	5	3	15
en-US	4	4	1	5	4	20
en-US	4	5	1	5	5	25
en-US	4	6	1	5	6	30
en-US	4	7	1	5	7	35
en-US	4	8	1	5	8	40
en-US	4	9	1	5	9	45
en-US	5	1	1	6	1	6
en-US	5	2	1	6	2	12
en-US	5	3	1	6	3	18
en-US	5	4	1	6	4	24
en-US	5	5	1	6	5	30
en-US	5	6	1	6	6	36
en-US	5	7	1	6	7	42
en-US	5	8	1	6	8	48
en-US	5	9	1	6	9	54
en-US	6	1	1	7	1	7
en-US	6	2	1	7	2	14
en-US	6	3	1	7	3	21
en-US	6	4	1	7	4	28
en-US	6	5	1	7	5	35
en-US	6	6	1	7	6	42
en-US	6	7	1	7	7	49
en-US	6	8	1	7	8	56
en-US	6	9	1	7	9	63
en-US	7	1	1	8	1	8
en-US	7	2	1	8	2	16
en-US	7	3	1	8	3	24
en-US	7	4	1	8	4	32
en-US	7	5	1	8	5	40
en-US	7	6	1	8	6	48
en-US	7	7	1	8	7	56
en-US	7	8	1	8	8	64
en-US	7	9	1	8	9	72
en-US	8	1	1	9	1	9
en-US	8	2	1	9	2	18
en-US	8	3	1	9	3	27
en-US	8	4	1	9	4	36
en-US	8	5	1	9	5	45
en-US	8	6	1	9	6	54
en-US	8	7	1	9	7	63
en-US	8	8	1	9	8	72
en-US	8	9	1	9	9	81
en-US	9	1	1	3	4	12
en-US	9	2	1	4	3	12
en-US	9	3	1	7	5	35
en-US	9	4	1	5	7	35
en-US	9	5	1	8	2	16
en-US	9	6	1	2	8	16
en-US	9	1	2	6	4	24
en-US	9	2	2	4	6	24
en-US	9	3	2	9	3	27
en-US	9	4	2	3	9	27
en-US	9	5	2	5	4	20
en-US	9	6	2	4	5	20
en-US	9	1	3	4	8	32
en-US	9	2	3	8	4	32
en-US	9	3	3	3	6	18
en-US	9	4	3	6	3	18
en-US	9	5	3	7	2	14
en-US	9	6	3	2	7	14
en-US	9	1	4	6	5	30
en-US	9	2	4	5	6	30
en-US	9	3	4	4	2	8
en-US	9	4	4	2	4	8
en-US	9	5	4	8	3	24
en-US	9	6	4	3	8	24
