# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceID		# MatchSound	# Image_A(0)	# Image_B(0)	# Level1은 현재 그림이 네장 뿐이다
en-US	1	1	1	1		star.wav	level1/circle.png	level1/circle.png	
en-US	1	1	1	2		star.wav	level1/rectangle.png	level1/rectangle.png	
en-US	1	1	1	3		star.wav	level1/square.png	level1/square.png	
en-US	1	1	1	4		star.wav	level1/triangle.png	level1/triangle.png	
en-US	1	1	2	1		star.wav	level1/circle.png	level1/circle.png	
en-US	1	1	2	2		star.wav	level1/rectangle.png	level1/rectangle.png	
en-US	1	1	2	3		star.wav	level1/square.png	level1/square.png	
en-US	1	1	2	4		star.wav	level1/triangle.png	level1/triangle.png	
en-US	2	1	1	1		star.wav	level1/circle.png	level2/lv2_stage1_circle.png	
en-US	2	1	1	2		star.wav	level1/rectangle.png	level2/lv2_stage1_rectangle.png	
en-US	2	1	1	3		star.wav	level1/square.png	level2/lv2_stage1_square.png	
en-US	2	1	1	4		star.wav	level1/triangle.png	level2/lv2_stage1_triangle.png	
en-US	2	1	2	1		star.wav	level2/lv2_stage1_circle.png	level2/lv2_stage2_circle.png	
en-US	2	1	2	2		star.wav	level2/lv2_stage1_rectangle.png	level2/lv2_stage2_rectangle.png	
en-US	2	1	2	3		star.wav	level2/lv2_stage1_square.png	level2/lv2_stage2_square.png	
en-US	2	1	2	4		star.wav	level2/lv2_stage1_triangle.png	level2/lv2_stage2_triangle.png	
en-US	3	1	1	1		star.wav	level3/matching_level3_1_type1_1.png	level3/matching_level3_1_type2_1.png	
en-US	3	1	1	2		star.wav	level3/matching_level3_1_type1_2.png	level3/matching_level3_1_type2_2.png	
en-US	3	1	1	3		star.wav	level3/matching_level3_1_type1_3.png	level3/matching_level3_1_type2_3.png	
en-US	3	1	1	4		star.wav	level3/matching_level3_1_type1_4.png	level3/matching_level3_1_type2_4.png	
en-US	3	1	2	1		star.wav	level3/matching_level3_2_type1_1.png	level3/matching_level3_2_type2_1.png	
en-US	3	1	2	2		star.wav	level3/matching_level3_2_type1_2.png	level3/matching_level3_2_type2_2.png	
en-US	3	1	2	3		star.wav	level3/matching_level3_2_type1_3.png	level3/matching_level3_2_type2_3.png	
en-US	3	1	2	4		star.wav	level3/matching_level3_2_type1_4.png	level3/matching_level3_2_type2_4.png	
en-US	4	1	1	1		star.wav	level4/number_level4_1_type1_1.png	level4/sign_language/card_asl_1.png	
en-US	4	1	1	2		star.wav	level4/number_level4_1_type1_2.png	level4/sign_language/card_asl_2.png	
en-US	4	1	1	3		star.wav	level4/number_level4_1_type1_3.png	level4/sign_language/card_asl_3.png	
en-US	4	1	1	4		star.wav	level4/number_level4_1_type1_4.png	level4/sign_language/card_asl_4.png	
en-US	4	1	1	5		star.wav	level4/number_level4_1_type1_5.png	level4/sign_language/card_asl_5.png	
en-US	4	1	2	1		star.wav	level4/number_level4_2_type1_1.png	level4/sign_language/card_asl_1.png	
en-US	4	1	2	2		star.wav	level4/number_level4_2_type1_2.png	level4/sign_language/card_asl_2.png	
en-US	4	1	2	3		star.wav	level4/number_level4_2_type1_3.png	level4/sign_language/card_asl_3.png	
en-US	4	1	2	4		star.wav	level4/number_level4_2_type1_4.png	level4/sign_language/card_asl_4.png	
en-US	4	1	2	5		star.wav	level4/number_level4_2_type1_5.png	level4/sign_language/card_asl_5.png	
en-US	5	1	1	1		star.wav	level5/1_1.png	level5/1_1.png	
en-US	5	1	1	2		star.wav	level5/2_1.png	level5/2_1.png	
en-US	5	1	1	3		star.wav	level5/3_1.png	level5/3_1.png	
en-US	5	1	1	4		star.wav	level5/4_1.png	level5/4_1.png	
en-US	5	1	1	5		star.wav	level5/5_1.png	level5/5_1.png	
en-US	5	1	2	1		star.wav	level5/1_1.png	level5/1_2.png	
en-US	5	1	2	2		star.wav	level5/2_1.png	level5/2_2.png	
en-US	5	1	2	3		star.wav	level5/3_1.png	level5/3_2.png	
en-US	5	1	2	4		star.wav	level5/4_1.png	level5/4_2.png	
en-US	5	1	2	5		star.wav	level5/5_1.png	level5/5_2.png	
en-US	6	1	1	1		star.wav	level6/number_level6_1_type1_1.png	level6/number_level6_1_type2_1.png	
en-US	6	1	1	2		star.wav	level6/number_level6_1_type1_2.png	level6/number_level6_1_type2_2.png	
en-US	6	1	1	3		star.wav	level6/number_level6_1_type1_3.png	level6/number_level6_1_type2_3.png	
en-US	6	1	1	4		star.wav	level6/number_level6_1_type1_4.png	level6/number_level6_1_type2_4.png	
en-US	6	1	1	5		star.wav	level6/number_level6_1_type1_5.png	level6/number_level6_1_type2_5.png	
en-US	6	1	2	1		star.wav	level6/number_level6_2_type1_1.png	level6/number_level6_1_type2_1.png	
en-US	6	1	2	2		star.wav	level6/number_level6_2_type1_2.png	level6/number_level6_1_type2_2.png	
en-US	6	1	2	3		star.wav	level6/number_level6_2_type1_3.png	level6/number_level6_1_type2_3.png	
en-US	6	1	2	4		star.wav	level6/number_level6_2_type1_4.png	level6/number_level6_1_type2_4.png	
en-US	6	1	2	5		star.wav	level6/number_level6_2_type1_5.png	level6/number_level6_1_type2_5.png	
en-US	7	1	1	1		star.wav	level5/6_1.png	level5/6_1.png	
en-US	7	1	1	2		star.wav	level5/7_1.png	level5/7_1.png	
en-US	7	1	1	3		star.wav	level5/8_1.png	level5/8_1.png	
en-US	7	1	1	4		star.wav	level5/9_1.png	level5/9_1.png	
en-US	7	1	1	5		star.wav	level5/10_1.png	level5/10_1.png	
en-US	7	1	2	1		star.wav	level5/6_1.png	level5/6_2.png	
en-US	7	1	2	2		star.wav	level5/7_1.png	level5/7_2.png	
en-US	7	1	2	3		star.wav	level5/8_1.png	level5/8_2.png	
en-US	7	1	2	4		star.wav	level5/9_1.png	level5/9_2.png	
en-US	7	1	2	5		star.wav	level5/10_1.png	level5/10_2.png	
en-US	8	1	1	1		star.wav	level8/number_level8_1_type1_1.png	level8/number_level8_type2_1.png	
