# LanguageTag	# Level	# Worksheet	# Problem		# AssetType	# AssetCount
en-US	1	1	1		Ant	1
en-US	1	1	2		Bee	2
en-US	1	1	3		Beetle	3
en-US	1	1	4		BlueButterfly	4
en-US	1	1	5		StagBeetle	5
en-US	1	1	6		Ladybug	6
en-US	1	1	7		Moth	7
en-US	1	1	8		Spider	8
en-US	1	1	9		StagBeetle	9
en-US	1	1	10		YellowButterfly	10
en-US	2	1	1		Moth	6
en-US	2	1	2		YellowButterfly	5
en-US	2	1	3		Spider	4
en-US	2	1	4		StagBeetle	2
en-US	2	1	5		BlueButterfly	9
en-US	2	1	6		Ladybug	7
en-US	2	1	7		Ant	3
en-US	2	1	8		Beetle	1
en-US	2	1	9		Bee	10
en-US	2	1	10		StagBeetle	8
en-US	2	1	1		Beetle	8
en-US	2	1	2		Ladybug	6
en-US	2	1	3		StagBeetle	9
en-US	2	1	4		StagBeetle	3
en-US	2	1	5		Bee	2
en-US	2	1	6		BlueButterfly	7
en-US	2	1	7		YellowButterfly	5
en-US	2	1	8		Spider	10
en-US	2	1	9		Moth	4
en-US	2	1	10		Ant	1
en-US	2	2	1		Moth	6
en-US	2	2	2		Bee	3
en-US	2	2	3		Beetle	10
en-US	2	2	4		Ant	9
en-US	2	2	5		Spider	1
en-US	2	2	6		StagBeetle	7
en-US	2	2	7		Ladybug	5
en-US	2	2	8		StagBeetle	2
en-US	2	2	9		BlueButterfly	8
en-US	2	2	10		YellowButterfly	4
en-US	2	3	1		YellowButterfly	4
en-US	2	3	2		StagBeetle	2
en-US	2	3	3		Beetle	10
en-US	2	3	4		Moth	6
en-US	2	3	5		StagBeetle	3
en-US	2	3	6		Spider	7
en-US	2	3	7		Ladybug	9
en-US	2	3	8		Bee	8
en-US	2	3	9		Ant	5
en-US	2	3	10		BlueButterfly	1
en-US	2	4	1		Moth	5
en-US	2	4	2		Ant	9
en-US	2	4	3		Ladybug	8
en-US	2	4	4		Bee	6
en-US	2	4	5		StagBeetle	1
en-US	2	4	6		BlueButterfly	7
en-US	2	4	7		StagBeetle	2
en-US	2	4	8		Beetle	3
en-US	2	4	9		YellowButterfly	4
en-US	2	4	10		Spider	10
en-US	2	5	1		Bee	10
en-US	2	5	2		Ant	1
en-US	2	5	3		Moth	7
en-US	2	5	4		StagBeetle	3
en-US	2	5	5		Ladybug	6
en-US	2	5	6		BlueButterfly	9
en-US	2	5	7		YellowButterfly	4
en-US	2	5	8		StagBeetle	5
en-US	2	5	9		Beetle	2
en-US	2	5	10		Spider	8
