		#문제시트 번호		#문제로 내는 수	#시작 시 물탱크 내 물방울 수
#languageTag	level	worksheet	problem	objectNo	suggestNo
en-US	1	1	1	100	0
en-US	1	1	2	0	100
en-US	1	1	3	10	0
en-US	1	1	4	0	10
en-US	1	1	5	1	0
en-US	1	1	6	0	1
en-US	2	1	1	14	0
en-US	2	1	2	15	0
en-US	2	1	3	13	0
en-US	2	1	4	17	0
en-US	2	1	5	12	0
en-US	2	2	1	13	0
en-US	2	2	2	16	0
en-US	2	2	3	12	0
en-US	2	2	4	18	0
en-US	2	2	5	11	0
en-US	2	3	1	16	0
en-US	2	3	2	12	0
en-US	2	3	3	19	0
en-US	2	3	4	15	0
en-US	2	3	5	13	0
en-US	3	1	1	30	0
en-US	3	1	2	50	0
en-US	3	1	3	20	0
en-US	3	1	4	70	0
en-US	3	1	5	60	0
en-US	3	2	1	40	0
en-US	3	2	2	70	0
en-US	3	2	3	10	0
en-US	3	2	4	80	0
en-US	3	2	5	30	0
en-US	3	3	1	50	0
en-US	3	3	2	20	0
en-US	3	3	3	90	0
en-US	3	3	4	60	0
en-US	3	3	5	40	0
en-US	3	1	1	24	0
en-US	3	1	2	35	0
en-US	3	1	3	47	0
en-US	3	1	4	62	0
en-US	3	1	5	74	0
en-US	4	2	1	26	0
en-US	4	2	2	37	0
en-US	4	2	3	53	0
en-US	4	2	4	72	0
en-US	4	2	5	84	0
en-US	4	3	1	28	0
en-US	4	3	2	46	0
en-US	4	3	3	55	0
en-US	4	3	4	83	0
en-US	4	3	5	91	0
en-US	4	4	1	25	0
en-US	4	4	2	48	0
en-US	4	4	3	63	0
en-US	4	4	4	74	0
en-US	4	4	5	92	0
en-US	5	1	1	35	25
en-US	5	1	2	47	37
en-US	5	1	3	53	43
en-US	5	1	4	64	54
en-US	5	1	5	88	78
en-US	5	2	1	27	17
en-US	5	2	2	43	33
en-US	5	2	3	54	44
en-US	5	2	4	72	62
en-US	5	2	5	95	85
en-US	5	3	1	38	28
en-US	5	3	2	47	37
en-US	5	3	3	65	55
en-US	5	3	4	82	72
en-US	5	3	5	94	84
en-US	6	1	1	25	35
en-US	6	1	2	38	48
en-US	6	1	3	52	62
en-US	6	1	4	68	78
en-US	6	1	5	74	84
en-US	6	2	1	12	22
en-US	6	2	2	38	48
en-US	6	2	3	43	53
en-US	6	2	4	74	84
en-US	6	2	5	83	93
en-US	6	3	1	28	38
en-US	6	3	2	43	53
en-US	6	3	3	57	67
en-US	6	3	4	72	82
en-US	6	3	5	85	95
en-US	7	1	1	116	0
en-US	7	1	2	108	0
en-US	7	1	3	112	0
en-US	7	1	4	117	0
en-US	7	1	5	103	0
en-US	7	2	1	113	0
en-US	7	2	2	106	0
en-US	7	2	3	119	0
en-US	7	2	4	115	0
en-US	7	2	5	104	0
en-US	7	3	1	114	0
en-US	7	3	2	107	0
en-US	7	3	3	118	0
en-US	7	3	4	113	0
en-US	7	3	5	105	0
en-US	8	1	1	70	30
en-US	8	1	2	80	50
en-US	8	1	3	60	20
en-US	8	1	4	80	40
en-US	8	1	5	80	70
en-US	8	2	1	60	40
en-US	8	2	2	80	50
en-US	8	2	3	50	30
en-US	8	2	4	70	60
en-US	8	2	5	90	80
en-US	8	3	1	70	20
en-US	8	3	2	90	60
en-US	8	3	3	70	50
en-US	8	3	4	60	40
en-US	8	3	5	80	70
en-US	9	1	1	40	60
en-US	9	1	2	30	70
en-US	9	1	3	40	90
en-US	9	1	4	20	50
en-US	9	1	5	10	40
en-US	9	2	1	50	80
en-US	9	2	2	30	50
en-US	9	2	3	50	60
en-US	9	2	4	40	70
en-US	9	2	5	10	30
en-US	9	3	1	20	70
en-US	9	3	2	40	50
en-US	9	3	3	30	60
en-US	9	3	4	50	90
en-US	9	3	5	20	40
en-US	10	1	1	64	60
en-US	10	1	2	36	6
en-US	10	1	3	73	43
en-US	10	1	4	29	26
en-US	10	1	5	74	52
en-US	10	2	1	45	40
en-US	10	2	2	27	7
en-US	10	2	3	63	23
en-US	10	2	4	39	34
en-US	10	2	5	77	41
en-US	10	3	1	57	50
en-US	10	3	2	48	8
en-US	10	3	3	56	36
en-US	10	3	4	68	63
en-US	10	3	5	68	23
en-US	11	1	1	17	8
en-US	11	1	2	13	9
en-US	11	1	3	12	4
en-US	11	1	4	12	3
en-US	11	1	5	14	7
en-US	11	2	1	11	2
en-US	11	2	2	12	8
en-US	11	2	3	15	7
en-US	11	2	4	14	9
en-US	11	2	5	11	6
en-US	11	3	1	11	4
en-US	11	3	2	14	6
en-US	11	3	3	14	5
en-US	11	3	4	16	9
en-US	11	3	5	13	8
en-US	12	1	1	23	16
en-US	12	1	2	22	14
en-US	12	1	3	26	18
en-US	12	1	4	21	13
en-US	12	1	5	20	15
en-US	12	2	1	22	15
en-US	12	2	2	21	12
en-US	12	2	3	23	17
en-US	12	2	4	22	14
en-US	12	2	5	25	18
en-US	12	3	1	21	13
en-US	12	3	2	20	16
en-US	12	3	3	23	14
en-US	12	3	4	27	19
en-US	12	3	5	23	17
en-US	13	1	1	20	13
en-US	13	1	2	53	45
en-US	13	1	3	33	26
en-US	13	1	4	41	37
en-US	13	1	5	71	64
en-US	13	2	1	24	16
en-US	13	2	2	41	35
en-US	13	2	3	53	48
en-US	13	2	4	62	54
en-US	13	2	5	85	79
en-US	13	3	1	25	18
en-US	13	3	2	31	23
en-US	13	3	3	53	47
en-US	13	3	4	70	65
en-US	13	3	5	82	78
en-US	14	1	1	43	25
en-US	14	1	2	90	54
en-US	14	1	3	82	46
en-US	14	1	4	64	37
en-US	14	1	5	81	63
en-US	14	2	1	56	38
en-US	14	2	2	80	56
en-US	14	2	3	66	47
en-US	14	2	4	64	29
en-US	14	2	5	91	64
en-US	14	3	1	70	27
en-US	14	3	2	66	19
en-US	14	3	3	81	45
en-US	14	3	4	64	37
en-US	14	3	5	93	58
en-US	15	1	1	27	35
en-US	15	1	2	16	22
en-US	15	1	3	46	54
en-US	15	1	4	54	63
en-US	15	1	5	68	75
en-US	15	2	1	16	24
en-US	15	2	2	48	53
en-US	15	2	3	29	35
en-US	15	2	4	54	62
en-US	15	2	5	76	85
en-US	15	3	1	28	33
en-US	15	3	2	58	64
en-US	15	3	3	48	51
en-US	15	3	4	85	92
en-US	15	3	5	69	76
en-US	16	1	1	35	52
en-US	16	1	2	46	83
en-US	16	1	3	37	65
en-US	16	1	4	28	44
en-US	16	1	5	34	73
en-US	16	2	1	28	63
en-US	16	2	2	19	56
en-US	16	2	3	27	45
en-US	16	2	4	35	74
en-US	16	2	5	36	82
en-US	16	3	1	27	55
en-US	16	3	2	45	64
en-US	16	3	3	18	46
en-US	16	3	4	58	72
en-US	16	3	5	36	83
en-US	17	1	1	100	0
en-US	17	1	2	300	0
en-US	17	1	3	600	0
en-US	17	1	4	400	0
en-US	17	1	5	700	0
en-US	17	2	1	200	0
en-US	17	2	2	500	0
en-US	17	2	3	800	0
en-US	17	2	4	300	0
en-US	17	2	5	400	0
en-US	17	3	1	100	0
en-US	17	3	2	400	0
en-US	17	3	3	600	0
en-US	17	3	4	300	0
en-US	17	3	5	500	0
en-US	18	1	1	538	0
en-US	18	1	2	462	0
en-US	18	1	3	647	0
en-US	18	1	4	825	0
en-US	18	1	5	384	0
en-US	18	2	1	481	0
en-US	18	2	2	628	0
en-US	18	2	3	742	0
en-US	18	2	4	537	0
en-US	18	2	5	831	0
en-US	18	3	1	527	0
en-US	18	3	2	385	0
en-US	18	3	3	639	0
en-US	18	3	4	472	0
en-US	18	3	5	815	0
en-US	19	1	1	500	200
en-US	19	1	2	600	400
en-US	19	1	3	300	100
en-US	19	1	4	700	300
en-US	19	1	5	400	200
en-US	19	2	1	600	300
en-US	19	2	2	800	400
en-US	19	2	3	400	200
en-US	19	2	4	500	100
en-US	19	2	5	700	300
en-US	19	3	1	700	400
en-US	19	3	2	400	200
en-US	19	3	3	600	400
en-US	19	3	4	500	200
en-US	19	3	5	800	500
en-US	20	1	1	300	400
en-US	20	1	2	200	600
en-US	20	1	3	400	700
en-US	20	1	4	100	500
en-US	20	1	5	500	800
en-US	20	2	1	200	500
en-US	20	2	2	100	300
en-US	20	2	3	400	700
en-US	20	2	4	300	400
en-US	20	2	5	500	600
en-US	20	3	1	100	400
en-US	20	3	2	500	800
en-US	20	3	3	300	500
en-US	20	3	4	200	400
en-US	20	3	5	400	700
en-US	21	1	1	253	153
en-US	21	1	2	446	436
en-US	21	1	3	448	348
en-US	21	1	4	592	582
en-US	21	1	5	758	658
en-US	21	2	1	448	438
en-US	21	2	2	365	265
en-US	21	2	3	651	641
en-US	21	2	4	576	476
en-US	21	2	5	749	739
en-US	21	3	1	454	354
en-US	21	3	2	281	271
en-US	21	3	3	628	528
en-US	21	3	4	766	756
en-US	21	3	5	488	388
en-US	22	1	1	391	491
en-US	22	1	2	548	648
en-US	22	1	3	279	379
en-US	22	1	4	763	773
en-US	22	1	5	428	438
en-US	22	2	1	481	581
en-US	22	2	2	746	846
en-US	22	2	3	335	435
en-US	22	2	4	829	839
en-US	22	2	5	628	638
en-US	22	3	1	639	739
en-US	22	3	2	382	482
en-US	22	3	3	743	843
en-US	22	3	4	548	558
en-US	22	3	5	673	683
en-US	23	1	1	24	100
en-US	23	1	2	133	400
en-US	23	1	3	65	300
en-US	23	1	4	18	200
en-US	23	1	5	216	500
en-US	23	2	1	72	200
en-US	23	2	2	148	500
en-US	23	2	3	61	300
