#languageTag	#level	#worksheet	#problemNo	#limitComboTime	#firstValue	#secondValue	#mathSign	#rightAnswer	#example1	#example2	#example3	#example4	#example5	#example6	#example7	#example8	#example9	#example10	#example11	#example12	#example13	#example14	#example15
en-US	1	1	1	4	1	1	+	2	1	2	3	4	5	6	7	8	9						
en-US	1	1	2	4	2	1	+	3	1	2	3	4	5	6	7	8	9						
en-US	1	1	3	4	3	1	+	4	1	2	3	4	5	6	7	8	9						
en-US	1	1	4	4	4	1	+	5	1	2	3	4	5	6	7	8	9						
en-US	1	1	5	4	5	1	+	6	1	2	3	4	5	6	7	8	9						
en-US	1	1	6	4	6	1	+	7	1	2	3	4	5	6	7	8	9						
en-US	1	1	7	4	7	1	+	8	1	2	3	4	5	6	7	8	9						
en-US	1	1	8	4	8	1	+	9	1	2	3	4	5	6	7	8	9						
en-US	1	1	9	4	7	2	+	9	1	2	3	4	5	6	7	8	9						
en-US	1	1	10	4	6	2	+	8	1	2	3	4	5	6	7	8	9						
en-US	1	1	11	4	5	2	+	7	1	2	3	4	5	6	7	8	9						
en-US	1	1	12	4	4	2	+	6	1	2	3	4	5	6	7	8	9						
en-US	1	1	13	4	3	2	+	5	1	2	3	4	5	6	7	8	9						
en-US	1	1	14	4	2	2	+	4	1	2	3	4	5	6	7	8	9						
en-US	1	1	15	4	1	2	+	3	1	2	3	4	5	6	7	8	9						
en-US	2	1	1	4	0	1	+	1	1	2	3	4	5	6	7	8	9						
en-US	2	1	2	4	1	1	+	2	1	2	3	4	5	6	7	8	9						
en-US	2	1	3	4	2	1	+	3	1	2	3	4	5	6	7	8	9						
en-US	2	1	4	4	3	1	+	4	1	2	3	4	5	6	7	8	9						
en-US	2	1	5	4	4	1	+	5	1	2	3	4	5	6	7	8	9						
en-US	2	1	6	4	3	2	+	5	1	2	3	4	5	6	7	8	9						
en-US	2	1	7	4	2	2	+	4	1	2	3	4	5	6	7	8	9						
en-US	2	1	8	4	1	2	+	3	1	2	3	4	5	6	7	8	9						
en-US	2	1	9	4	0	2	+	2	1	2	3	4	5	6	7	8	9						
en-US	2	1	10	4	0	3	+	3	1	2	3	4	5	6	7	8	9						
en-US	2	1	11	4	1	3	+	4	1	2	3	4	5	6	7	8	9						
en-US	2	1	12	4	2	3	+	5	1	2	3	4	5	6	7	8	9						
en-US	2	1	13	4	2	4	+	6	1	2	3	4	5	6	7	8	9						
en-US	2	1	14	4	0	4	+	4	1	2	3	4	5	6	7	8	9						
en-US	2	1	15	4	1	4	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	1	1	4	1	2	+	3	1	2	3	4	5	6	7	8	9						
en-US	3	1	2	4	2	2	+	4	1	2	3	4	5	6	7	8	9						
en-US	3	1	3	4	3	2	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	1	4	4	4	2	+	6	1	2	3	4	5	6	7	8	9						
en-US	3	1	5	4	5	2	+	7	1	2	3	4	5	6	7	8	9						
en-US	3	1	6	4	6	2	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	1	7	4	7	2	+	9	1	2	3	4	5	6	7	8	9						
en-US	3	1	8	4	6	3	+	9	1	2	3	4	5	6	7	8	9						
en-US	3	1	9	4	5	3	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	1	10	4	3	5	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	1	11	4	4	5	+	9	1	2	3	4	5	6	7	8	9						
en-US	3	1	12	4	4	4	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	1	13	4	4	3	+	7	1	2	3	4	5	6	7	8	9						
en-US	3	1	14	4	4	2	+	6	1	2	3	4	5	6	7	8	9						
en-US	3	1	15	4	4	1	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	2	1	4	1	3	+	4	1	2	3	4	5	6	7	8	9						
en-US	3	2	2	4	2	3	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	2	3	4	3	3	+	6	1	2	3	4	5	6	7	8	9						
en-US	3	2	4	4	4	3	+	7	1	2	3	4	5	6	7	8	9						
en-US	3	2	5	4	5	3	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	2	6	4	6	3	+	9	1	2	3	4	5	6	7	8	9						
en-US	3	2	7	4	5	4	+	9	1	2	3	4	5	6	7	8	9						
en-US	3	2	8	4	4	4	+	8	1	2	3	4	5	6	7	8	9						
en-US	3	2	9	4	3	4	+	7	1	2	3	4	5	6	7	8	9						
en-US	3	2	10	4	3	3	+	6	1	2	3	4	5	6	7	8	9						
en-US	3	2	11	4	3	2	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	2	12	4	3	1	+	4	1	2	3	4	5	6	7	8	9						
en-US	3	2	13	4	4	1	+	5	1	2	3	4	5	6	7	8	9						
en-US	3	2	14	4	5	1	+	6	1	2	3	4	5	6	7	8	9						
en-US	3	2	15	4	6	1	+	7	1	2	3	4	5	6	7	8	9						
en-US	4	1	1	4	9	1	-	8	1	2	3	4	5	6	7	8	9						
en-US	4	1	2	4	8	1	-	7	1	2	3	4	5	6	7	8	9						
en-US	4	1	3	4	7	1	-	6	1	2	3	4	5	6	7	8	9						
