								
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# Type	# Word	# GoodImage	# BadImage	# Sound
en-US	1	1	1	LEGIT	bat	images/bat.png	images/cow.png	en/legit/bat.m4a
en-US	1	1	2	LEGIT	bed	images/bed.png	images/cow.png	en/legit/bed.m4a
en-US	1	1	3	LEGIT	cat	images/cat.png	images/pig.png	en/legit/cat.m4a
en-US	1	1	4	LEGIT	man	images/man.png	images/bat.png	en/legit/man.m4a
en-US	1	1	5	LEGIT	cow	images/cow.png	images/pig.png	en/legit/cow.m4a
en-US	1	1	6	LEGIT	pig	images/pig.png	images/bat.png	en/legit/pig.m4a
en-US	1	1	7	LEGIT	bug	images/bug.png	images/cow.png	en/legit/bug.m4a
en-US	1	2	1	LEGIT	sun	images/sun.png	images/mom.png	en/legit/sun.m4a
en-US	1	2	2	LEGIT	mom	images/mom.png	images/bed.png	en/legit/mom.m4a
en-US	1	2	3	LEGIT	cow	images/cow.png	images/man.png	en/legit/cow.m4a
en-US	1	2	4	LEGIT	bat	images/bat.png	images/man.png	en/legit/bat.m4a
en-US	1	2	5	LEGIT	bug	images/bug.png	images/bat.png	en/legit/bug.m4a
en-US	1	2	6	LEGIT	bed	images/bed.png	images/sun.png	en/legit/bed.m4a
en-US	1	2	7	LEGIT	pig	images/pig.png	images/bat.png	en/legit/pig.m4a
en-US	1	3	1	LEGIT	bug	images/bug.png	images/cow.png	en/legit/bug.m4a
en-US	1	3	2	LEGIT	cow	images/cow.png	images/cat.png	en/legit/cow.m4a
en-US	1	3	3	LEGIT	mom	images/mom.png	images/sun.png	en/legit/mom.m4a
en-US	1	3	4	LEGIT	man	images/man.png	images/bat.png	en/legit/man.m4a
en-US	1	3	5	LEGIT	cat	images/cat.png	images/bug.png	en/legit/cat.m4a
en-US	1	3	6	LEGIT	pig	images/pig.png	images/cow.png	en/legit/pig.m4a
en-US	1	3	7	LEGIT	bat	images/bat.png	images/cow.png	en/legit/bat.m4a
en-US	1	4	1	LEGIT	cow	images/cow.png	images/sun.png	en/legit/cow.m4a
en-US	1	4	2	LEGIT	cat	images/cat.png	images/mom.png	en/legit/cat.m4a
en-US	1	4	3	LEGIT	man	images/man.png	images/bug.png	en/legit/man.m4a
en-US	1	4	4	LEGIT	mom	images/mom.png	images/pig.png	en/legit/mom.m4a
en-US	1	4	5	LEGIT	pig	images/pig.png	images/man.png	en/legit/pig.m4a
en-US	1	4	6	LEGIT	sun	images/sun.png	images/man.png	en/legit/sun.m4a
en-US	1	4	7	LEGIT	bat	images/bat.png	images/bug.png	en/legit/bat.m4a
en-US	1	5	1	LEGIT	sun	images/sun.png	images/cow.png	en/legit/sun.m4a
en-US	1	5	2	LEGIT	bat	images/bat.png	images/bed.png	en/legit/bat.m4a
en-US	1	5	3	LEGIT	cat	images/cat.png	images/bed.png	en/legit/cat.m4a
en-US	1	5	4	LEGIT	bug	images/bug.png	images/cat.png	en/legit/bug.m4a
en-US	1	5	5	LEGIT	mom	images/mom.png	images/bed.png	en/legit/mom.m4a
en-US	1	5	6	LEGIT	bed	images/bed.png	images/man.png	en/legit/bed.m4a
en-US	1	5	7	LEGIT	pig	images/pig.png	images/man.png	en/legit/pig.m4a
en-US	1	6	1	LEGIT	cat	images/cat.png	images/bat.png	en/legit/cat.m4a
en-US	1	6	2	LEGIT	bed	images/bed.png	images/bat.png	en/legit/bed.m4a
en-US	1	6	3	LEGIT	cow	images/cow.png	images/bed.png	en/legit/cow.m4a
en-US	1	6	4	LEGIT	bug	images/bug.png	images/cat.png	en/legit/bug.m4a
en-US	1	6	5	LEGIT	bat	images/bat.png	images/pig.png	en/legit/bat.m4a
en-US	1	6	6	LEGIT	man	images/man.png	images/cow.png	en/legit/man.m4a
en-US	1	6	7	LEGIT	sun	images/sun.png	images/mom.png	en/legit/sun.m4a
en-US	1	7	1	LEGIT	cow	images/cow.png	images/bat.png	en/legit/cow.m4a
en-US	1	7	2	LEGIT	pig	images/pig.png	images/bug.png	en/legit/pig.m4a
en-US	1	7	3	LEGIT	man	images/man.png	images/mom.png	en/legit/man.m4a
en-US	1	7	4	LEGIT	bed	images/bed.png	images/mom.png	en/legit/bed.m4a
en-US	1	7	5	LEGIT	bat	images/bat.png	images/cat.png	en/legit/bat.m4a
en-US	1	7	6	LEGIT	bug	images/bug.png	images/man.png	en/legit/bug.m4a
en-US	1	7	7	LEGIT	mom	images/mom.png	images/bat.png	en/legit/mom.m4a
en-US	2	1	1	LEGIT	ball	images/ball.png	images/city.png	en/legit/ball.m4a
en-US	2	1	2	LEGIT	corn	images/corn.png	images/rain.png	en/legit/corn.m4a
en-US	2	1	3	LEGIT	farm	images/farm.png	images/book.png	en/legit/farm.m4a
en-US	2	1	4	LEGIT	tree	images/tree.png	images/door.png	en/legit/tree.m4a
en-US	2	1	5	LEGIT	roof	images/roof.png	images/city.png	en/legit/roof.m4a
en-US	2	1	6	LEGIT	news	images/news.png	images/fish.png	en/legit/news.m4a
en-US	2	1	7	LEGIT	milk	images/milk.png	images/gift.png	en/legit/milk.m4a
en-US	2	2	1	LEGIT	fish	images/fish.png	images/tree.png	en/legit/fish.m4a
en-US	2	2	2	LEGIT	ball	images/ball.png	images/tree.png	en/legit/ball.m4a
en-US	2	2	3	LEGIT	door	images/door.png	images/fish.png	en/legit/door.m4a
en-US	2	2	4	LEGIT	milk	images/milk.png	images/tree.png	en/legit/milk.m4a
en-US	2	2	5	LEGIT	duck	images/duck.png	images/door.png	en/legit/duck.m4a
en-US	2	2	6	LEGIT	fire	images/fire.png	images/door.png	en/legit/fire.m4a
en-US	2	2	7	LEGIT	book	images/book.png	images/frog.png	en/legit/book.m4a
en-US	2	3	1	LEGIT	farm	images/farm.png	images/lion.png	en/legit/farm.m4a
