title,The World,book_en_205_page_0_1.m4a,book_en_205_page_0.png,landscape,audio,
page,1,book_en_205_page_1.png,wordwrap,
paragraph
sentence,book_en_205_page_1_1.m4a,0,
word,0,0.470108,The,en-uk_the.m4a,0.373,
word,0.470108,1.08636,world,en-uk_world.m4a,0.456,
word,1.08636,1.28716,is,en-uk_is.m4a,0.359,
word,1.28716,1.71639,so,en-uk_so.m4a,0.912,
word,1.71639,2.45916,big.,en-uk_big.m4a,0.767521,
page,2,book_en_205_page_2.png,wordwrap,
paragraph
sentence,book_en_205_page_2_1.m4a,0,
word,0,0.481629,The,en-uk_the.m4a,0.352,
word,0.481629,1.16466,world,en-uk_world.m4a,0.422,
word,1.16466,1.46622,is,en-uk_is.m4a,0.461,
word,1.46622,2.01649,also,en-uk_also.m4a,0.633,
word,2.01649,2.39981,called,en-uk_called.m4a,0.765,
word,2.39981,2.76651,the,en-uk_the.m4a,0.53,
word,2.76651,3.74896,‘earth’.,en-uk_earth.m4a,0.871521,
page,3,book_en_205_page_3.png,wordwrap,
paragraph
sentence,book_en_205_page_3_1.m4a,0,
word,0,0.365895,The,en-uk_the.m4a,0.464,
word,0.365895,1.16574,earth,en-uk_earth.m4a,0.496,
word,1.16574,1.40064,is,en-uk_is.m4a,0.624,
word,1.40064,1.97946,round.,en-uk_round.m4a,0.933208,
page,4,book_en_205_page_4.png,wordwrap,
paragraph
sentence,book_en_205_page_4_1.m4a,0,
word,0,0.378398,The,en-uk_the.m4a,0.414,
word,0.378398,1.29698,earth,en-uk_earth.m4a,0.552,
word,1.29698,1.68197,has,en-uk_has.m4a,0.497,
word,1.68197,1.85072,a,en-uk_a.m4a,0.435,
word,1.85072,1.95051,lot,en-uk_lot.m4a,0.483,
word,1.95051,2.52096,of,en-uk_of.m4a,0.483,
word,2.52096,2.83419,land.,en-uk_land.m4a,1.09681,
page,5,book_en_205_page_5.png,wordwrap,
paragraph
sentence,book_en_205_page_5_1.m4a,0,
word,0,0.517326,The,en-uk_the.m4a,0.485,
word,0.517326,1.26637,earth,en-uk_earth.m4a,0.501,
word,1.26637,1.53683,has,en-uk_has.m4a,0.425,
word,1.53683,1.73399,a,en-uk_a.m4a,0.298,
word,1.73399,2.05265,lot,en-uk_lot.m4a,0.474,
word,2.05265,2.34697,of,en-uk_of.m4a,0.425,
word,2.34697,2.82297,water.,en-uk_water.m4a,0.915229,
page,6,book_en_205_page_6.png,wordwrap,
paragraph
sentence,book_en_205_page_6_1.m4a,0,
word,0,0.586584,The,en-uk_the.m4a,0.4,
word,0.586584,1.25374,earth,en-uk_earth.m4a,0.452,
word,1.25374,1.47136,has,en-uk_has.m4a,0.421,
word,1.47136,1.88533,more,en-uk_more.m4a,0.573,
word,1.88533,2.40082,water,en-uk_water.m4a,0.784,
word,2.40082,2.61655,than,en-uk_than.m4a,0.526,
word,2.61655,3.1337,land.,en-uk_land.m4a,0.934958,
page,7,book_en_205_page_7.png,wordwrap,
paragraph
sentence,book_en_205_page_7_1.m4a,0,
word,0,0.470837,The,en-uk_the.m4a,0.461,
word,0.470837,1.11384,earth,en-uk_earth.m4a,0.511,
word,1.11384,1.39997,has,en-uk_has.m4a,0.722,
word,1.39997,1.86386,one,en-uk_one.m4a,0.591,
word,1.86386,2.27041,moon.,en-uk_moon.m4a,0.923542,
page,8,book_en_205_page_8.png,wordwrap,
paragraph
sentence,book_en_205_page_8_1.m4a,0,
word,0,0.466857,The,en-uk_the.m4a,0.426,
word,0.466857,1.05868,earth,en-uk_earth.m4a,0.601,
word,1.05868,1.34248,is,en-uk_is.m4a,0.581,
word,1.34248,1.61696,our,en-uk_our.m4a,0.651,
word,1.61696,2.38642,planet.,en-uk_planet.m4a,1.0365,
