title,Five Mangoes,book_en_212_page_0_1.m4a,book_en_212_page_0,landscape,audio,
page,1,book_en_212_page_1,wordwrap,
paragraph
sentence,book_en_212_page_1_1.m4a,0,
word,0,0.491578,I,en-uk_i.m4a,0.2,
word,0.491578,1.03435,need,en-uk_need.m4a,0.2,
word,1.03435,1.68518,five,en-uk_five.m4a,0.2,
word,1.68518,2.8597,mangoes.,en-uk_mangoes.m4a,0.2,
page,2,book_en_212_page_2,wordwrap,
paragraph
sentence,book_en_212_page_2_1.m4a,0,
word,0,0.463475,I,en-uk_i.m4a,0.2,
word,0.463475,0.989023,pick,en-uk_pick.m4a,0.2,
word,0.989023,1.8565,one,en-uk_one.m4a,0.2,
word,1.8565,2.8656,mango.,en-uk_mango.m4a,0.2,
page,3,book_en_212_page_3,wordwrap,
paragraph
sentence,book_en_212_page_3_1.m4a,0,
word,0,0.484113,I,en-uk_i.m4a,0.2,
word,0.484113,1.11836,have,en-uk_have.m4a,0.2,
word,1.11836,1.95591,one,en-uk_one.m4a,0.2,
word,1.95591,2.8747,mango.,en-uk_mango.m4a,0.2,
page,4,book_en_212_page_4,wordwrap,
paragraph
sentence,book_en_212_page_4_1.m4a,0,
word,0,0.466199,I,en-uk_i.m4a,0.2,
word,0.466199,1.09163,pick,en-uk_pick.m4a,0.2,
word,1.09163,1.47618,one,en-uk_one.m4a,0.2,
word,1.47618,1.88423,more,en-uk_more.m4a,0.2,
word,1.88423,2.7931,mango.,en-uk_mango.m4a,0.2,
page,5,book_en_212_page_5,wordwrap,
paragraph
sentence,book_en_212_page_5_1.m4a,0,
word,0,0.533077,I,en-uk_i.m4a,0.2,
word,0.533077,1.05933,have,en-uk_have.m4a,0.2,
word,1.05933,1.82627,two,en-uk_two.m4a,0.2,
word,1.82627,2.78534,mangoes.,en-uk_mangoes.m4a,0.2,
page,6,book_en_212_page_6,wordwrap,
paragraph
sentence,book_en_212_page_6_1.m4a,0,
word,0,0.466713,I,en-uk_i.m4a,0.2,
word,0.466713,0.833289,pick,en-uk_pick.m4a,0.2,
word,0.833289,1.40077,one,en-uk_one.m4a,0.2,
word,1.40077,1.83766,more,en-uk_more.m4a,0.2,
word,1.83766,2.44683,mango.,en-uk_mango.m4a,0.2,
page,7,book_en_212_page_7,wordwrap,
paragraph
sentence,book_en_212_page_7_1.m4a,0,
word,0,0.46362,I,en-uk_i.m4a,0.2,
word,0.46362,0.947761,have,en-uk_have.m4a,0.2,
word,0.947761,1.57373,three,en-uk_three.m4a,0.2,
word,1.57373,2.73187,mangoes.,en-uk_mangoes.m4a,0.2,
page,8,book_en_212_page_8,wordwrap,
paragraph
sentence,book_en_212_page_8_1.m4a,0,
word,0,0.440976,I,en-uk_i.m4a,0.2,
word,0.440976,0.791231,pick,en-uk_pick.m4a,0.2,
word,0.791231,1.28319,one,en-uk_one.m4a,0.2,
word,1.28319,1.67521,more,en-uk_more.m4a,0.2,
word,1.67521,2.36776,mango.,en-uk_mango.m4a,0.2,
page,9,book_en_212_page_9,wordwrap,
paragraph
sentence,book_en_212_page_9_1.m4a,0,
word,0,0.442572,I,en-uk_i.m4a,0.2,
word,0.442572,1.15171,have,en-uk_have.m4a,0.2,
word,1.15171,2.0189,four,en-uk_four.m4a,0.2,
word,2.0189,3.08707,mangoes.,en-uk_mangoes.m4a,0.2,
page,10,book_en_212_page_10,wordwrap,
paragraph
sentence,book_en_212_page_10_1.m4a,0,
word,0,0.42352,I,en-uk_i.m4a,0.2,
word,0.42352,0.924795,pick,en-uk_pick.m4a,0.2,
word,0.924795,1.4003,one,en-uk_one.m4a,0.2,
word,1.4003,1.95075,last,en-uk_last.m4a,0.2,
word,1.95075,2.72238,mango.,en-uk_mango.m4a,0.2,
page,11,book_en_212_page_11,wordwrap,
paragraph
sentence,book_en_212_page_11_1.m4a,0,
word,0,0.437556,How,en-uk_how.m4a,0.2,
word,0.437556,0.829123,many,en-uk_many.m4a,0.2,
word,0.829123,1.72289,mangoes?,en-uk_mangoes.m4a,0.2,
page,12,book_en_212_page_12,wordwrap,
paragraph
sentence,book_en_212_page_12_1.m4a,0,
word,0,1.27704,"One,",en-uk_one.m4a,0.2,
word,1.27704,2.74191,"two,",en-uk_two.m4a,0.2,
word,2.74191,4.45216,"three,",en-uk_three.m4a,0.2,
word,4.45216,5.53647,"four,",en-uk_four.m4a,0.2,
word,5.53647,6.83867,five,en-uk_five.m4a,0.2,
word,6.83867,7.9371,mangoes!,en-uk_mangoes.m4a,0.2,
