title,Cats Everywhere,book_en_215_page_0_1.m4a,book_en_215_page_0,portrait,audio,
page,1,book_en_215_page_1,wordwrap,
paragraph
sentence,book_en_215_page_1_1.m4a,0,
word,0,0.792422,Cats,en-uk_cats.m4a,0.2,
word,0.792422,1.09121,can,en-uk_can.m4a,0.2,
word,1.09121,1.26624,be,en-uk_be.m4a,0.2,
word,1.26624,2.16039,big,en-uk_big.m4a,0.2,
word,2.16039,2.6906,or,en-uk_or.m4a,0.2,
word,2.6906,3.4446,small.,en-uk_small.m4a,0.2,
page,2,book_en_215_page_2,wordwrap,
paragraph
sentence,book_en_215_page_2_1.m4a,0,
word,0,0.637587,Cats,en-uk_cats.m4a,0.2,
word,0.637587,0.871278,can,en-uk_can.m4a,0.2,
word,0.871278,1.32126,have,en-uk_have.m4a,0.2,
word,1.32126,2.24556,stripes.,en-uk_stripes.m4a,0.2,
page,3,book_en_215_page_3,wordwrap,
paragraph
sentence,book_en_215_page_3_1.m4a,0,
word,0,0.766861,Cats,en-uk_cats.m4a,0.2,
word,0.766861,1.10847,can,en-uk_can.m4a,0.2,
word,1.10847,1.86959,have,en-uk_have.m4a,0.2,
word,1.86959,2.94317,spots.,en-uk_spots.m4a,0.2,
page,4,book_en_215_page_4,wordwrap,
paragraph
sentence,book_en_215_page_4_1.m4a,0,
word,0,0.757901,Cats,en-uk_cats.m4a,0.2,
word,0.757901,1.01532,can,en-uk_can.m4a,0.2,
word,1.01532,1.77384,live,en-uk_live.m4a,0.2,
word,1.77384,2.01549,in,en-uk_in.m4a,0.2,
word,2.01549,2.97224,trees.,en-uk_trees.m4a,0.2,
page,5,book_en_215_page_5,wordwrap,
paragraph
sentence,book_en_215_page_5_1.m4a,0,
word,0,0.784259,Cats,en-uk_cats.m4a,0.2,
word,0.784259,1.05095,can,en-uk_can.m4a,0.2,
word,1.05095,1.85946,live,en-uk_live.m4a,0.2,
word,1.85946,2.05104,on,en-uk_on.m4a,0.2,
word,2.05104,3.21204,mountains.,en-uk_mountains.m4a,0.2,
page,6,book_en_215_page_6,wordwrap,
paragraph
sentence,book_en_215_page_6_1.m4a,0,
word,0,0.781131,Some,en-uk_some.m4a,0.2,
word,0.781131,1.27278,cats,en-uk_cats.m4a,0.2,
word,1.27278,1.59724,like,en-uk_like.m4a,0.2,
word,1.59724,1.85589,the,en-uk_the.m4a,0.2,
word,1.85589,2.55803,sun.,en-uk_sun.m4a,0.2,
page,7,book_en_215_page_7,wordwrap,
paragraph
sentence,book_en_215_page_7_1.m4a,0,
word,0,0.641242,Some,en-uk_some.m4a,0.2,
word,0.641242,1.16622,cats,en-uk_cats.m4a,0.2,
word,1.16622,1.42414,like,en-uk_like.m4a,0.2,
word,1.42414,1.66885,the,en-uk_the.m4a,0.2,
word,1.66885,2.50714,moon.,en-uk_moon.m4a,0.2,
page,8,book_en_215_page_8,wordwrap,
paragraph
sentence,book_en_215_page_8_1.m4a,0,
word,0,0.582834,Some,en-uk_some.m4a,0.2,
word,0.582834,1.13993,cats,en-uk_cats.m4a,0.2,
word,1.13993,1.33988,have,en-uk_have.m4a,0.2,
word,1.33988,2.08953,long,en-uk_long.m4a,0.2,
word,2.08953,3.08125,ears.,en-uk_ears.m4a,0.2,
page,9,book_en_215_page_9,wordwrap,
paragraph
sentence,book_en_215_page_9_1.m4a,0,
word,0,0.629129,Some,en-uk_some.m4a,0.2,
word,0.629129,1.30153,cats,en-uk_cats.m4a,0.2,
word,1.30153,1.54317,are,en-uk_are.m4a,0.2,
word,1.54317,2.43447,scary.,en-uk_scary.m4a,0.2,
page,10,book_en_215_page_10,wordwrap,
paragraph
sentence,book_en_215_page_10_1.m4a,0,
word,0,0.449395,But,en-uk_but.m4a,0.2,
word,0.449395,1.13997,all,en-uk_all.m4a,0.2,
word,1.13997,1.67473,cats,en-uk_cats.m4a,0.2,
word,1.67473,2.1554,like,en-uk_like.m4a,0.2,
word,2.1554,2.385,to,en-uk_to.m4a,0.2,
word,2.385,3.05218,play.,en-uk_play.m4a,0.2,
page,11,book_en_215_page_11,wordwrap,
paragraph
sentence,book_en_215_page_11_1.m4a,0,
word,0,0.625041,And,en-uk_and.m4a,0.2,
word,0.625041,1.18315,all,en-uk_all.m4a,0.2,
word,1.18315,2.00917,cats,en-uk_cats.m4a,0.2,
word,2.00917,2.92476,like,en-uk_like.m4a,0.2,
word,2.92476,3.62628,mice!,en-uk_mice.m4a,0.2,
