title,Rain!,book_en_234_page_0_1.m4a,book_en_234_page_0,portrait,audio,
page,1,book_en_234_page_1,wordwrap,
paragraph
sentence,book_en_234_page_1_1.m4a,0,
word,0,0.828911,Rain,en-uk_rain.m4a,0.2,
word,0.828911,1.18274,is,en-uk_is.m4a,0.2,
word,1.18274,2.42503,water.,en-uk_water.m4a,0.2,
page,2,book_en_234_page_2,wordwrap,
paragraph
sentence,book_en_234_page_2_1.m4a,0,
word,0,0.698617,Rain,en-uk_rain.m4a,0.2,
word,0.698617,1.56479,falls,en-uk_falls.m4a,0.2,
word,1.56479,1.83323,from,en-uk_from.m4a,0.2,
word,1.83323,2.69456,clouds.,en-uk_clouds.m4a,0.2,
page,3,book_en_234_page_3,wordwrap,
paragraph
sentence,book_en_234_page_3_1.m4a,0,
word,0,0.706206,Rain,en-uk_rain.m4a,0.2,
word,0.706206,1.54419,falls,en-uk_falls.m4a,0.2,
word,1.54419,1.83248,on,en-uk_on.m4a,0.2,
word,1.83248,2.09761,the,en-uk_the.m4a,0.2,
word,2.09761,2.71531,ground.,en-uk_ground.m4a,0.2,
page,4,book_en_234_page_4,wordwrap,
paragraph
sentence,book_en_234_page_4_1.m4a,0,
word,0,0.670929,Rain,en-uk_rain.m4a,0.2,
word,0.670929,1.4084,falls,en-uk_falls.m4a,0.2,
word,1.4084,1.84276,on,en-uk_on.m4a,0.2,
word,1.84276,2.10641,the,en-uk_the.m4a,0.2,
word,2.10641,2.90188,plants.,en-uk_plants.m4a,0.2,
page,5,book_en_234_page_5,wordwrap,
paragraph
sentence,book_en_234_page_5_1.m4a,0,
word,0,0.719236,Rain,en-uk_rain.m4a,0.2,
word,0.719236,1.13372,can,en-uk_can.m4a,0.2,
word,1.13372,1.41218,make,en-uk_make.m4a,0.2,
word,1.41218,2.23844,floods.,en-uk_floods.m4a,0.2,
page,6,book_en_234_page_6,wordwrap,
paragraph
sentence,book_en_234_page_6_1.m4a,0,
word,0,0.628064,Rain,en-uk_rain.m4a,0.2,
word,0.628064,1.3236,dries,en-uk_dries.m4a,0.2,
word,1.3236,1.677,in,en-uk_in.m4a,0.2,
word,1.677,1.92535,the,en-uk_the.m4a,0.2,
word,1.92535,2.63236,sun.,en-uk_sun.m4a,0.2,
