title,From Head to Foot,book_en_302_page_0_1.m4a,book_en_302_page_0,portrait,audio,
page,1,book_en_302_page_1,wordwrap,
paragraph
sentence,book_en_302_page_1_1.m4a,0,
word,0.273171,0.592299,This,en-uk_this.m4a,0.2,
word,0.592299,1.02579,is,en-uk_is.m4a,0.2,
word,1.02579,1.36137,your,en-uk_your.m4a,0.2,
word,1.36137,1.77898,head.,en-uk_head.m4a,0.2,
sentence,book_en_302_page_1_2.m4a,2.77898,
word,0.148914,0.61429,This,en-uk_this.m4a,0.2,
word,0.61429,1.01104,is,en-uk_is.m4a,0.2,
word,1.01104,1.35108,your,en-uk_your.m4a,0.2,
word,1.35108,1.79764,hair.,en-uk_hair.m4a,0.2,
page,2,book_en_302_page_2,wordwrap,
paragraph
sentence,book_en_302_page_2_1.m4a,0,
word,0.149282,0.666576,This,en-uk_this.m4a,0.2,
word,0.666576,1.13537,is,en-uk_is.m4a,0.2,
word,1.13537,1.58322,your,en-uk_your.m4a,0.2,
word,1.58322,2.0305,ear.,en-uk_ear.m4a,0.2,
sentence,book_en_302_page_2_2.m4a,3.0305,
word,0.33028,0.881009,This,en-uk_this.m4a,0.2,
word,0.881009,1.21416,is,en-uk_is.m4a,0.2,
word,1.21416,1.59923,your,en-uk_your.m4a,0.2,
word,1.59923,2.10179,face.,en-uk_face.m4a,0.2,
page,3,book_en_302_page_3,wordwrap,
paragraph
sentence,book_en_302_page_3_1.m4a,0,
word,0.436114,0.802489,Here,en-uk_here.m4a,0.2,
word,0.802489,1.10188,is,en-uk_is.m4a,0.2,
word,1.10188,1.42079,your,en-uk_your.m4a,0.2,
word,1.42079,1.90156,neck.,en-uk_neck.m4a,0.2,
page,4,book_en_302_page_4,wordwrap,
paragraph
sentence,book_en_302_page_4_1.m4a,0,
word,0.383582,0.782947,Here,en-uk_here.m4a,0.2,
word,0.782947,1.16929,are,en-uk_are.m4a,0.2,
word,1.16929,1.6846,our,en-uk_our.m4a,0.2,
word,1.6846,2.52195,shoulders.,en-uk_shoulders.m4a,0.2,
page,5,book_en_302_page_5,wordwrap,
paragraph
sentence,book_en_302_page_5_1.m4a,0,
word,0.501828,0.802627,This,en-uk_this.m4a,0.2,
word,0.802627,1.08594,is,en-uk_is.m4a,0.2,
word,1.08594,1.43591,your,en-uk_your.m4a,0.2,
word,1.43591,2.03236,stomach.,en-uk_stomach.m4a,0.2,
page,6,book_en_302_page_6,wordwrap,
paragraph
sentence,book_en_302_page_6_1.m4a,0,
word,0.0466608,0.584556,This,en-uk_this.m4a,0.2,
word,0.584556,1.16933,is,en-uk_is.m4a,0.2,
word,1.16933,1.58705,your,en-uk_your.m4a,0.2,
word,1.58705,2.17166,chest.,en-uk_chest.m4a,0.2,
page,7,book_en_302_page_7,wordwrap,
paragraph
sentence,book_en_302_page_7_1.m4a,0,
word,0.502395,0.984252,This,en-uk_this.m4a,0.2,
word,0.984252,1.3335,is,en-uk_is.m4a,0.2,
word,1.3335,1.70051,your,en-uk_your.m4a,0.2,
word,1.70051,2.07215,hand.,en-uk_hand.m4a,0.2,
page,8,book_en_302_page_8,wordwrap,
paragraph
sentence,book_en_302_page_8_1.m4a,0,
word,0.552383,1.00077,These,en-uk_these.m4a,0.2,
word,1.00077,1.45075,are,en-uk_are.m4a,0.2,
word,1.45075,2.1175,our,en-uk_our.m4a,0.2,
word,2.1175,2.97166,hands.,en-uk_hands.m4a,0.2,
page,9,book_en_302_page_9,wordwrap,
paragraph
sentence,book_en_302_page_9_1.m4a,0,
word,0.590877,1.05195,These,en-uk_these.m4a,0.2,
word,1.05195,1.63327,are,en-uk_are.m4a,0.2,
word,1.63327,2.08319,our,en-uk_our.m4a,0.2,
word,2.08319,2.82542,knees.,en-uk_knees.m4a,0.2,
page,10,book_en_302_page_10,wordwrap,
paragraph
sentence,book_en_302_page_10_1.m4a,0,
word,0.41813,0.85276,This,en-uk_this.m4a,0.2,
word,0.85276,1.2316,is,en-uk_is.m4a,0.2,
word,1.2316,1.63153,my,en-uk_my.m4a,0.2,
word,1.63153,2.13143,foot.,en-uk_foot.m4a,0.2,
sentence,book_en_302_page_10_2.m4a,3.13143,
word,0.465192,0.799937,Where,en-uk_where.m4a,0.2,
word,0.799937,1.06661,is,en-uk_is.m4a,0.2,
word,1.06661,1.36657,your,en-uk_your.m4a,0.2,
word,1.36657,1.88383,foot?,en-uk_foot.m4a,0.2,
page,11,book_en_302_page_11,wordwrap,
paragraph
sentence,book_en_302_page_11_1.m4a,0,
word,0.446968,0.729293,Here,en-uk_here.m4a,0.2,
word,0.729293,1.02783,is,en-uk_is.m4a,0.2,
word,1.02783,1.37697,your,en-uk_your.m4a,0.2,
word,1.37697,1.82118,foot.,en-uk_foot.m4a,0.2,
