title,Rainbow,book_en_304_page_0_1.m4a,book_en_304_page_0,landscape,audio,
page,1,book_en_304_page_1,wordwrap,
paragraph
sentence,book_en_304_page_1_1.m4a,0,
word,0,0.251132,The,en-uk_the.m4a,0.2,
word,0.251132,1.23399,rainbow,en-uk_rainbow.m4a,0.2,
word,1.23399,1.50196,has,en-uk_has.m4a,0.2,
word,1.50196,2.11876,seven,en-uk_seven.m4a,0.2,
word,2.11876,2.88785,colors.,en-uk_colors.m4a,0.2,
sentence,book_en_304_page_1_2.m4a,3.88785,
word,0,0.399861,Can,en-uk_can.m4a,0.2,
word,0.399861,1.0188,you,en-uk_you.m4a,0.2,
word,1.0188,1.50529,count,en-uk_count.m4a,0.2,
word,1.50529,1.81544,them?,en-uk_them.m4a,0.2,
page,2,book_en_304_page_2,wordwrap,
paragraph
sentence,book_en_304_page_2_1.m4a,0,
word,0,0.778844,One!,en-uk_one.m4a,0.2,
sentence,book_en_304_page_2_2.m4a,1.77884,
word,0,0.359648,The,en-uk_the.m4a,0.2,
word,0.359648,0.908366,first,en-uk_first.m4a,0.2,
word,0.908366,1.60994,color,en-uk_color.m4a,0.2,
word,1.60994,1.97177,is,en-uk_is.m4a,0.2,
word,1.97177,2.64794,red.,en-uk_red.m4a,0.2,
page,3,book_en_304_page_3,wordwrap,
paragraph
sentence,book_en_304_page_3_1.m4a,0,
word,0,1.4278,Kweyu,en-uk_kweyu.m4a,0.2,
word,1.4278,1.70958,is,en-uk_is.m4a,0.2,
word,1.70958,2.1999,wearing,en-uk_wearing.m4a,0.2,
word,2.1999,2.54698,a,en-uk_a.m4a,0.2,
word,2.54698,3.08724,red,en-uk_red.m4a,0.2,
word,3.08724,3.91871,shirt.,en-uk_shirt.m4a,0.2,
page,4,book_en_304_page_4,wordwrap,
paragraph
sentence,book_en_304_page_4_1.m4a,0,
word,0,0.653696,Two!,en-uk_two.m4a,0.2,
sentence,book_en_304_page_4_2.m4a,1.6537,
word,0,0.391428,The,en-uk_the.m4a,0.2,
word,0.391428,1.06021,second,en-uk_second.m4a,0.2,
word,1.06021,1.61697,color,en-uk_color.m4a,0.2,
word,1.61697,2.08501,is,en-uk_is.m4a,0.2,
word,2.08501,2.92601,orange.,en-uk_orange.m4a,0.2,
page,5,book_en_304_page_5,wordwrap,
paragraph
sentence,book_en_304_page_5_1.m4a,0,
word,0,0.843666,This,en-uk_this.m4a,0.2,
word,0.843666,1.16906,is,en-uk_is.m4a,0.2,
word,1.16906,1.51738,an,en-uk_an.m4a,0.2,
word,1.51738,2.47826,orange,en-uk_orange.m4a,0.2,
word,2.47826,3.52308,orange.,en-uk_orange.m4a,0.2,
page,6,book_en_304_page_6,wordwrap,
paragraph
sentence,book_en_304_page_6_1.m4a,0,
word,0,0.836735,Three!,en-uk_three.m4a,0.2,
sentence,book_en_304_page_6_2.m4a,1.83673,
word,0,0.316427,The,en-uk_the.m4a,0.2,
word,0.316427,0.893568,third,en-uk_third.m4a,0.2,
word,0.893568,1.52703,color,en-uk_color.m4a,0.2,
word,1.52703,2.15099,is,en-uk_is.m4a,0.2,
word,2.15099,2.68651,yellow.,en-uk_yellow.m4a,0.2,
page,7,book_en_304_page_7,wordwrap,
paragraph
sentence,book_en_304_page_7_1.m4a,0,
word,0,0.34988,The,en-uk_the.m4a,0.2,
word,0.34988,1.15067,egg’s,en-uk_egg1s.m4a,0.2,
word,1.15067,1.99282,yolk,en-uk_yolk.m4a,0.2,
word,1.99282,2.27114,is,en-uk_is.m4a,0.2,
word,2.27114,2.8954,yellow.,en-uk_yellow.m4a,0.2,
page,8,book_en_304_page_8,wordwrap,
paragraph
sentence,book_en_304_page_8_1.m4a,0,
word,0,0.694762,Four!,en-uk_four.m4a,0.2,
sentence,book_en_304_page_8_2.m4a,1.69476,
word,0,0.46025,The,en-uk_the.m4a,0.2,
word,0.46025,1.01742,fourth,en-uk_fourth.m4a,0.2,
word,1.01742,1.64216,color,en-uk_color.m4a,0.2,
word,1.64216,2.12682,is,en-uk_is.m4a,0.2,
word,2.12682,2.95136,green.,en-uk_green.m4a,0.2,
page,9,book_en_304_page_9,wordwrap,
paragraph
sentence,book_en_304_page_9_1.m4a,0,
word,0,0.401708,The,en-uk_the.m4a,0.2,
word,0.401708,1.37543,plants,en-uk_plants.m4a,0.2,
word,1.37543,1.67162,are,en-uk_are.m4a,0.2,
word,1.67162,2.33088,green.,en-uk_green.m4a,0.2,
page,10,book_en_304_page_10,wordwrap,
paragraph
sentence,book_en_304_page_10_1.m4a,0,
word,0,1.05481,Five!,en-uk_five.m4a,0.2,
sentence,book_en_304_page_10_2.m4a,2.05481,
word,0,0.334845,The,en-uk_the.m4a,0.2,
word,0.334845,0.935073,fifth,en-uk_fifth.m4a,0.2,
word,0.935073,1.73731,color,en-uk_color.m4a,0.2,
word,1.73731,1.97573,is,en-uk_is.m4a,0.2,
word,1.97573,2.61129,blue.,en-uk_blue.m4a,0.2,
page,11,book_en_304_page_11,wordwrap,
paragraph
sentence,book_en_304_page_11_1.m4a,0,
word,0,0.37971,The,en-uk_the.m4a,0.2,
word,0.37971,1.21361,beautiful,en-uk_beautiful.m4a,0.2,
word,1.21361,1.98889,sky,en-uk_sky.m4a,0.2,
word,1.98889,2.39077,is,en-uk_is.m4a,0.2,
