title,Let’s Learn About Shapes!,book_en_308_page_0_1.m4a,book_en_308_page_0,landscape,audio,
page,1,book_en_308_page_1,wordwrap,
paragraph
sentence,book_en_308_page_1_1.m4a,0,
word,0.331708,0.65727,There,en-uk_there.m4a,0.2,
word,0.65727,0.924321,are,en-uk_are.m4a,0.2,
word,0.924321,1.54033,many,en-uk_many.m4a,0.2,
word,1.54033,2.20932,shapes.,en-uk_shapes.m4a,0.2,
sentence,book_en_308_page_1_2.m4a,3.20932,
word,0.413022,0.760482,Let’s,en-uk_let1s.m4a,0.2,
word,0.760482,1.40222,learn,en-uk_learn.m4a,0.2,
word,1.40222,1.76356,about,en-uk_about.m4a,0.2,
word,1.76356,1.88499,them!,en-uk_them.m4a,0.2,
page,2,book_en_308_page_2,wordwrap,
paragraph
sentence,book_en_308_page_2_1.m4a,0,
word,0.388192,0.691459,A,en-uk_a.m4a,0.2,
word,0.691459,1.58592,triangle,en-uk_triangle.m4a,0.2,
word,1.58592,1.92016,has,en-uk_has.m4a,0.2,
word,1.92016,2.37247,three,en-uk_three.m4a,0.2,
word,2.37247,3.31744,sides,en-uk_sides.m4a,0.2,
word,3.31744,3.57137,and,en-uk_and.m4a,0.2,
word,3.57137,3.99802,three,en-uk_three.m4a,0.2,
word,3.99802,4.65293,angles.,en-uk_angles.m4a,0.2,
page,3,book_en_308_page_3,wordwrap,
paragraph
sentence,book_en_308_page_3_1.m4a,0,
word,0.427014,0.64039,A,en-uk_a.m4a,0.2,
word,0.64039,1.5591,square,en-uk_square.m4a,0.2,
word,1.5591,1.78467,has,en-uk_has.m4a,0.2,
word,1.78467,2.42454,four,en-uk_four.m4a,0.2,
word,2.42454,3.10556,equal,en-uk_equal.m4a,0.2,
word,3.10556,4.37244,sides,en-uk_sides.m4a,0.2,
word,4.37244,4.57109,and,en-uk_and.m4a,0.2,
word,4.57109,5.40996,four,en-uk_four.m4a,0.2,
word,5.40996,6.067,equal,en-uk_equal.m4a,0.2,
word,6.067,6.51692,angles.,en-uk_angles.m4a,0.2,
page,4,book_en_308_page_4,wordwrap,
paragraph
sentence,book_en_308_page_4_1.m4a,0,
word,0.450324,0.770114,A,en-uk_a.m4a,0.2,
word,0.770114,1.63703,rectangle,en-uk_rectangle.m4a,0.2,
word,1.63703,1.9721,has,en-uk_has.m4a,0.2,
word,1.9721,2.68984,four,en-uk_four.m4a,0.2,
word,2.68984,3.27689,equal,en-uk_equal.m4a,0.2,
word,3.27689,4.02324,angles,en-uk_angles.m4a,0.2,
word,4.02324,4.29814,too.,en-uk_too.m4a,0.2,
sentence,book_en_308_page_4_2.m4a,5.29814,
word,0.412126,1.15773,But,en-uk_but.m4a,0.2,
word,1.15773,1.39824,it,en-uk_it.m4a,0.2,
word,1.39824,1.7186,has,en-uk_has.m4a,0.2,
word,1.7186,2.1198,two,en-uk_two.m4a,0.2,
word,2.1198,2.50647,long,en-uk_long.m4a,0.2,
word,2.50647,3.74531,sides,en-uk_sides.m4a,0.2,
word,3.74531,4.07972,and,en-uk_and.m4a,0.2,
word,4.07972,4.53171,two,en-uk_two.m4a,0.2,
word,4.53171,4.9453,short,en-uk_short.m4a,0.2,
word,4.9453,5.3951,sides.,en-uk_sides.m4a,0.2,
page,5,book_en_308_page_5,wordwrap,
paragraph
sentence,book_en_308_page_5_1.m4a,0,
word,0.403721,0.693348,A,en-uk_a.m4a,0.2,
word,0.693348,1.6422,circle,en-uk_circle.m4a,0.2,
word,1.6422,2.05694,has,en-uk_has.m4a,0.2,
word,2.05694,2.54728,no,en-uk_no.m4a,0.2,
word,2.54728,4.14643,angles.,en-uk_angles.m4a,0.2,
word,4.14643,4.71999,It,en-uk_it.m4a,0.2,
word,4.71999,5.1868,is,en-uk_is.m4a,0.2,
word,5.1868,6.11963,perfectly,en-uk_perfectly.m4a,0.2,
word,6.11963,6.59728,round.,en-uk_round.m4a,0.2,
page,6,book_en_308_page_6,wordwrap,
paragraph
sentence,book_en_308_page_6_1.m4a,0,
word,0.439556,0.825019,An,en-uk_an.m4a,0.2,
word,0.825019,1.50391,oval,en-uk_oval.m4a,0.2,
word,1.50391,1.79763,is,en-uk_is.m4a,0.2,
word,1.79763,2.19701,like,en-uk_like.m4a,0.2,
word,2.19701,2.47797,a,en-uk_a.m4a,0.2,
word,2.47797,3.58491,"circle,",en-uk_circle.m4a,0.2,
word,3.58491,3.90488,but,en-uk_but.m4a,0.2,
word,3.90488,4.17151,it,en-uk_it.m4a,0.2,
word,4.17151,4.39778,is,en-uk_is.m4a,0.2,
word,4.39778,5.03818,not,en-uk_not.m4a,0.2,
word,5.03818,5.6911,perfectly,en-uk_perfectly.m4a,0.2,
word,5.6911,6.07853,round.,en-uk_round.m4a,0.2,
