title,We Have Mangoes,book_en_310_page_0_1.m4a,book_en_310_page_0,landscape,audio,
page,1,book_en_310_page_1,wordwrap,
paragraph
sentence,book_en_310_page_1_1.m4a,0,
word,0,0.624748,He,en-uk_he.m4a,0.2,
word,0.624748,1.12695,has,en-uk_has.m4a,0.2,
word,1.12695,1.32728,a,en-uk_a.m4a,0.2,
word,1.32728,2.05206,mango.,en-uk_mango.m4a,0.2,
page,2,book_en_310_page_2,wordwrap,
paragraph
sentence,book_en_310_page_2_1.m4a,0,
word,0,0.718858,She,en-uk_she.m4a,0.2,
word,0.718858,1.17286,has,en-uk_has.m4a,0.2,
word,1.17286,1.35722,a,en-uk_a.m4a,0.2,
word,1.35722,2.2402,mango.,en-uk_mango.m4a,0.2,
sentence,book_en_310_page_2_2.m4a,3.2402,
word,0,0.584994,I,en-uk_i.m4a,0.2,
word,0.584994,1.23557,want,en-uk_want.m4a,0.2,
word,1.23557,1.59535,a,en-uk_a.m4a,0.2,
word,1.59535,2.43265,mango.,en-uk_mango.m4a,0.2,
page,3,book_en_310_page_3,wordwrap,
paragraph
sentence,book_en_310_page_3_1.m4a,0,
word,0,0.615776,They,en-uk_they.m4a,0.2,
word,0.615776,1.03496,have,en-uk_have.m4a,0.2,
word,1.03496,2.03397,mangoes.,en-uk_mangoes.m4a,0.2,
sentence,book_en_310_page_3_2.m4a,3.28685,
word,0,0.659617,I,en-uk_i.m4a,0.2,
word,0.659617,1.07958,want,en-uk_want.m4a,0.2,
word,1.07958,1.33329,a,en-uk_a.m4a,0.2,
word,1.33329,2.29642,mango.,en-uk_mango.m4a,0.2,
page,4,book_en_310_page_4,wordwrap,
paragraph
sentence,book_en_310_page_4_1.m4a,0,
word,0,0.54719,They,en-uk_they.m4a,0.2,
word,0.54719,1.11474,all,en-uk_all.m4a,0.2,
word,1.11474,1.46798,have,en-uk_have.m4a,0.2,
word,1.46798,2.28685,mangoes.,en-uk_mangoes.m4a,0.2,
sentence,book_en_310_page_4_2.m4a,3,
word,0,0.648888,We,en-uk_we.m4a,0.2,
word,0.648888,1.10277,want,en-uk_want.m4a,0.2,
word,1.10277,2.33703,mangoes!,en-uk_mangoes.m4a,0.2,
page,5,book_en_310_page_5,wordwrap,
paragraph
sentence,book_en_310_page_5_1.m4a,0,
word,0,0.798633,I,en-uk_i.m4a,0.2,
word,0.798633,1.39926,have,en-uk_have.m4a,0.2,
word,1.39926,1.57582,a,en-uk_a.m4a,0.2,
word,1.57582,2.37646,mango!,en-uk_mango.m4a,0.2,
page,6,book_en_310_page_6,wordwrap,
paragraph
sentence,book_en_310_page_6_1.m4a,0,
word,0,0.468994,We,en-uk_we.m4a,0.2,
word,0.468994,1.02319,all,en-uk_all.m4a,0.2,
word,1.02319,1.34337,have,en-uk_have.m4a,0.2,
word,1.34337,2.24383,mangoes!,en-uk_mangoes.m4a,0.2,
page,7,book_en_310_page_7,wordwrap,
paragraph
sentence,book_en_310_page_7_1.m4a,0,
word,0,1.33229,Everyone,en-uk_everyone.m4a,0.2,
word,1.33229,1.85708,has,en-uk_has.m4a,0.2,
word,1.85708,2.09051,a,en-uk_a.m4a,0.2,
word,2.09051,2.90338,mango.,en-uk_mango.m4a,0.2,
page,8,book_en_310_page_8,wordwrap,
paragraph
sentence,book_en_310_page_8_1.m4a,0,
word,0,0.339089,Do,en-uk_do.m4a,0.2,
word,0.339089,0.908519,you,en-uk_you.m4a,0.2,
word,0.908519,1.1422,have,en-uk_have.m4a,0.2,
word,1.1422,1.34398,a,en-uk_a.m4a,0.2,
word,1.34398,1.92483,mango?,en-uk_mango.m4a,0.2,
