title,One Sun,book_en_315_page_0_1.m4a,book_en_315_page_0,portrait,audio,
page,1,book_en_315_page_1,wordwrap,
paragraph
sentence,book_en_315_page_1_1.m4a,0,
word,0.235586,0.900094,Seven,en-uk_seven.m4a,0.2,
word,0.900094,1.54365,suns,en-uk_suns.m4a,0.2,
word,1.54365,2.01626,burn,en-uk_burn.m4a,0.2,
word,2.01626,2.96113,bright,en-uk_bright.m4a,0.2,
word,2.96113,3.19343,and,en-uk_and.m4a,0.2,
word,3.19343,3.85145,hot.,en-uk_hot.m4a,0.2,
page,2,book_en_315_page_2,wordwrap,
paragraph
sentence,book_en_315_page_2_1.m4a,0,
word,0,1.17392,Six,en-uk_six.m4a,0.2,
word,1.17392,1.40612,get,en-uk_get.m4a,0.2,
word,1.40612,2.09324,hit.,en-uk_hit.m4a,0.2,
sentence,book_en_315_page_2_2.m4a,3.09324,
word,0.0581195,0.65929,One,en-uk_one.m4a,0.2,
word,0.65929,1.46103,sun,en-uk_sun.m4a,0.2,
word,1.46103,1.62024,does,en-uk_does.m4a,0.2,
word,1.62024,2.39712,not.,en-uk_not.m4a,0.2,
page,3,book_en_315_page_3,wordwrap,
paragraph
sentence,book_en_315_page_3_1.m4a,0,
word,0,0.292259,To,en-uk_to.m4a,0.2,
word,0.292259,0.526107,be,en-uk_be.m4a,0.2,
word,0.526107,1.5759,"safe,",en-uk_safe.m4a,0.2,
word,1.5759,1.91586,the,en-uk_the.m4a,0.2,
word,1.91586,2.29993,one,en-uk_one.m4a,0.2,
word,2.29993,2.81744,sun,en-uk_sun.m4a,0.2,
word,2.81744,3.48315,hides,en-uk_hides.m4a,0.2,
word,3.48315,4.14986,here.,en-uk_here.m4a,0.2,
page,4,book_en_315_page_4,wordwrap,
paragraph
sentence,book_en_315_page_4_1.m4a,0,
word,0,0.994098,Animals,en-uk_animals.m4a,0.2,
word,0.994098,1.35025,are,en-uk_are.m4a,0.2,
word,1.35025,1.95118,full,en-uk_full.m4a,0.2,
word,1.95118,2.12748,of,en-uk_of.m4a,0.2,
word,2.12748,2.7419,fear.,en-uk_fear.m4a,0.2,
page,5,book_en_315_page_5,wordwrap,
paragraph
sentence,book_en_315_page_5_1.m4a,0,
word,0,0.60091,“Ask,en-uk_ask.m4a,0.2,
word,0.60091,0.798173,for,en-uk_for.m4a,0.2,
word,0.798173,1.47184,"light,”",en-uk_light.m4a,0.2,
sentence,book_en_315_page_5_2.m4a,2.47184,
word,0,0.73143,Rabbit,en-uk_rabbit.m4a,0.2,
word,0.73143,1.41943,cries.,en-uk_cries.m4a,0.2,
page,6,book_en_315_page_6,wordwrap,
paragraph
sentence,book_en_315_page_6_1.m4a,0,
word,0,0.721201,Lion,en-uk_lion.m4a,0.2,
word,0.721201,1.31104,"says,",en-uk_says.m4a,0.2,
sentence,book_en_315_page_6_2.m4a,2.31104,
word,0,1.06034,"“Sun,",en-uk_sun.m4a,0.2,
word,1.06034,2.05953,please,en-uk_please.m4a,0.2,
word,2.05953,2.68571,rise.”,en-uk_rise.m4a,0.2,
page,7,book_en_315_page_7,wordwrap,
paragraph
sentence,book_en_315_page_7_1.m4a,0,
word,0,1.07574,Sun,en-uk_sun.m4a,0.2,
word,1.07574,1.7195,goes,en-uk_goes.m4a,0.2,
word,1.7195,2.11408,up.,en-uk_up.m4a,0.2,
sentence,book_en_315_page_7_2.m4a,3.11408,
word,0,0.789545,Cock,en-uk_cock.m4a,0.2,
word,0.789545,1.25628,can,en-uk_can.m4a,0.2,
word,1.25628,1.89615,crow.,en-uk_crow.m4a,0.2,
page,8,book_en_315_page_8,wordwrap,
paragraph
sentence,book_en_315_page_8_1.m4a,0,
word,0,0.548076,All,en-uk_all.m4a,0.2,
word,0.548076,0.887381,are,en-uk_are.m4a,0.2,
word,0.887381,2.03157,happy,en-uk_happy.m4a,0.2,
word,2.03157,2.45185,down,en-uk_down.m4a,0.2,
word,2.45185,3.20444,below.,en-uk_below.m4a,0.2,
