title,Colors on the Street,book_en_328_page_0_1.m4a,book_en_328_page_0,portrait,audio,
page,1,book_en_328_page_1,wordwrap,
paragraph
sentence,book_en_328_page_1_1.m4a,0,
word,0,0.458392,What,en-uk_what.m4a,0.2,
word,0.458392,0.705164,can,en-uk_can.m4a,0.2,
word,0.705164,0.92409,we,en-uk_we.m4a,0.2,
word,0.92409,1.34278,eat,en-uk_eat.m4a,0.2,
word,1.34278,1.93159,today?,en-uk_today.m4a,0.2,
page,2,book_en_328_page_2,wordwrap,
paragraph
sentence,book_en_328_page_2_1.m4a,0,
word,0,0.458784,This,en-uk_this.m4a,0.2,
word,0.458784,0.885084,red,en-uk_red.m4a,0.2,
word,0.885084,1.4259,food,en-uk_food.m4a,0.2,
word,1.4259,1.53799,can,en-uk_can.m4a,0.2,
word,1.53799,1.75921,be,en-uk_be.m4a,0.2,
word,1.75921,2.30977,hot.,en-uk_hot.m4a,0.2,
page,3,book_en_328_page_3,wordwrap,
paragraph
sentence,book_en_328_page_3_1.m4a,0,
word,0,0.529567,This,en-uk_this.m4a,0.2,
word,0.529567,1.0802,purple,en-uk_purple.m4a,0.2,
word,1.0802,1.64818,food,en-uk_food.m4a,0.2,
word,1.64818,1.92118,is,en-uk_is.m4a,0.2,
word,1.92118,2.34011,not,en-uk_not.m4a,0.2,
word,2.34011,2.80866,hot.,en-uk_hot.m4a,0.2,
page,4,book_en_328_page_4,wordwrap,
paragraph
sentence,book_en_328_page_4_1.m4a,0,
word,0,0.689083,Cool,en-uk_cool.m4a,0.2,
word,0.689083,1.11272,and,en-uk_and.m4a,0.2,
word,1.11272,1.98177,"sweet,",en-uk_sweet.m4a,0.2,
word,1.98177,2.33093,this,en-uk_this.m4a,0.2,
word,2.33093,2.73113,food,en-uk_food.m4a,0.2,
word,2.73113,2.94866,is,en-uk_is.m4a,0.2,
word,2.94866,3.60014,pink.,en-uk_pink.m4a,0.2,
page,5,book_en_328_page_5,wordwrap,
paragraph
sentence,book_en_328_page_5_1.m4a,0,
word,0,0.644071,Yellow,en-uk_yellow.m4a,0.2,
word,0.644071,1.18412,food,en-uk_food.m4a,0.2,
word,1.18412,1.40686,can,en-uk_can.m4a,0.2,
word,1.40686,1.66075,make,en-uk_make.m4a,0.2,
word,1.66075,1.87734,a,en-uk_a.m4a,0.2,
word,1.87734,2.40873,drink.,en-uk_drink.m4a,0.2,
page,6,book_en_328_page_6,wordwrap,
paragraph
sentence,book_en_328_page_6_1.m4a,0,
word,0,0.391972,I,en-uk_i.m4a,0.2,
word,0.391972,0.601484,can,en-uk_can.m4a,0.2,
word,0.601484,0.843677,have,en-uk_have.m4a,0.2,
word,0.843677,1.04113,a,en-uk_a.m4a,0.2,
word,1.04113,1.47691,green,en-uk_green.m4a,0.2,
word,1.47691,1.80266,"drink,",en-uk_drink.m4a,0.2,
word,1.80266,2.42669,too.,en-uk_too.m4a,0.2,
page,7,book_en_328_page_7,wordwrap,
paragraph
sentence,book_en_328_page_7_1.m4a,0,
word,0,0.367295,Is,en-uk_is.m4a,0.2,
word,0.367295,0.618063,this,en-uk_this.m4a,0.2,
word,0.618063,1.04234,white,en-uk_white.m4a,0.2,
word,1.04234,1.63588,food,en-uk_food.m4a,0.2,
word,1.63588,1.86208,good,en-uk_good.m4a,0.2,
word,1.86208,2.1672,for,en-uk_for.m4a,0.2,
word,2.1672,2.42694,you?,en-uk_you.m4a,0.2,
page,8,book_en_328_page_8,wordwrap,
paragraph
sentence,book_en_328_page_8_1.m4a,0,
word,0,0.459675,This,en-uk_this.m4a,0.2,
word,0.459675,1.10077,brown,en-uk_brown.m4a,0.2,
word,1.10077,1.68564,food,en-uk_food.m4a,0.2,
word,1.68564,1.92013,is,en-uk_is.m4a,0.2,
word,1.92013,2.76742,sweet.,en-uk_sweet.m4a,0.2,
page,9,book_en_328_page_9,wordwrap,
paragraph
sentence,book_en_328_page_9_1.m4a,0,
word,0,0.924911,Foods,en-uk_foods.m4a,0.2,
word,0.924911,1.11878,have,en-uk_have.m4a,0.2,
word,1.11878,1.61808,many,en-uk_many.m4a,0.2,
word,1.61808,2.2717,colors.,en-uk_colors.m4a,0.2,
sentence,book_en_328_page_9_2.m4a,3.2717,
word,0,0.768688,Lots,en-uk_lots.m4a,0.2,
word,0.768688,0.935856,of,en-uk_of.m4a,0.2,
word,0.935856,1.5802,colors,en-uk_colors.m4a,0.2,
word,1.5802,1.79245,I,en-uk_i.m4a,0.2,
word,1.79245,2.01085,can,en-uk_can.m4a,0.2,
word,2.01085,2.6668,eat.,en-uk_eat.m4a,0.2,
