title,Like an Elephant,book_en_343_page_0_1.m4a,book_en_343_page_0,portrait,audio,
page,1,book_en_343_page_1,wordwrap,
paragraph
sentence,book_en_343_page_1_1.m4a,0,
word,0,0.349921,These,en-uk_these.m4a,0.2,
word,0.349921,0.616647,are,en-uk_are.m4a,0.2,
word,0.616647,1.34901,elephants.,en-uk_elephants.m4a,0.2,
sentence,book_en_343_page_1_2.m4a,2.41717,
word,0,0.349996,Let’s,en-uk_let's.m4a,0.2,
word,0.349996,0.616701,learn,en-uk_learn.m4a,0.2,
word,0.616701,0.916679,about,en-uk_about.m4a,0.2,
word,0.916679,1.39934,them.,en-uk_them.m4a,0.2,
page,2,book_en_343_page_2,wordwrap,
paragraph
sentence,book_en_343_page_2_1.m4a,0,
word,0,0.416561,This,en-uk_this.m4a,0.2,
word,0.416561,0.633264,is,en-uk_is.m4a,0.2,
word,0.633264,0.78328,an,en-uk_an.m4a,0.2,
word,0.78328,1.21686,elephant,en-uk_elephant.m4a,0.2,
word,1.21686,1.4,and,en-uk_and.m4a,0.2,
word,1.4,1.56645,its,en-uk_its.m4a,0.2,
word,1.56645,2.1335,baby.,en-uk_baby.m4a,0.2,
sentence,book_en_343_page_2_2.m4a,3.10345,
word,0,0.266282,A,en-uk_a.m4a,0.2,
word,0.266282,0.516448,baby,en-uk_baby.m4a,0.2,
word,0.516448,1.04955,elephant,en-uk_elephant.m4a,0.2,
word,1.04955,1.23288,is,en-uk_is.m4a,0.2,
word,1.23288,1.5328,called,en-uk_called.m4a,0.2,
word,1.5328,1.64968,a,en-uk_a.m4a,0.2,
word,1.64968,2.16625,calf.,en-uk_calf.m4a,0.2,
page,3,book_en_343_page_3,wordwrap,
paragraph
sentence,book_en_343_page_3_1.m4a,0,
word,0,0.316876,An,en-uk_an.m4a,0.2,
word,0.316876,0.733587,elephant’s,en-uk_elephants.m4a,0.2,
word,0.733587,1.1669,nose,en-uk_nose.m4a,0.2,
word,1.1669,1.39983,is,en-uk_is.m4a,0.2,
word,1.39983,1.76686,called,en-uk_called.m4a,0.2,
word,1.76686,1.90011,a,en-uk_a.m4a,0.2,
word,1.90011,2.45029,trunk.,en-uk_trunk.m4a,0.2,
page,4,book_en_343_page_4,wordwrap,
paragraph
sentence,book_en_343_page_4_1.m4a,0,
word,0,0.600506,Elephants,en-uk_elephants.m4a,0.2,
word,0.600506,0.899653,use,en-uk_use.m4a,0.2,
word,0.899653,1.16664,their,en-uk_their.m4a,0.2,
word,1.16664,1.55013,trunks,en-uk_trunks.m4a,0.2,
word,1.55013,1.76646,to,en-uk_to.m4a,0.2,
word,1.76646,2.11674,throw,en-uk_throw.m4a,0.2,
word,2.11674,2.70024,dirt.,en-uk_dirt.m4a,0.2,
page,5,book_en_343_page_5,wordwrap,
paragraph
sentence,book_en_343_page_5_1.m4a,0,
word,0,0.466906,Elephants,en-uk_elephants.m4a,0.2,
word,0.466906,0.766476,use,en-uk_use.m4a,0.2,
word,0.766476,1.1168,their,en-uk_their.m4a,0.2,
word,1.1168,1.58327,trunks,en-uk_trunks.m4a,0.2,
word,1.58327,1.80025,to,en-uk_to.m4a,0.2,
word,1.80025,2.38329,eat.,en-uk_eat.m4a,0.2,
page,6,book_en_343_page_6,wordwrap,
paragraph
sentence,book_en_343_page_6_1.m4a,0,
word,0,0.499362,Elephants,en-uk_elephants.m4a,0.2,
word,0.499362,0.789793,use,en-uk_use.m4a,0.2,
word,0.789793,1.11662,their,en-uk_their.m4a,0.2,
word,1.11662,1.49997,trunks,en-uk_trunks.m4a,0.2,
word,1.49997,1.71626,to,en-uk_to.m4a,0.2,
word,1.71626,2.48278,bathe.,en-uk_bathe.m4a,0.2,
page,7,book_en_343_page_7,wordwrap,
paragraph
sentence,book_en_343_page_7_1.m4a,0,
word,0,0.383273,Some,en-uk_some.m4a,0.2,
word,0.383273,0.86639,elephants,en-uk_elephants.m4a,0.2,
word,0.86639,1.06645,have,en-uk_have.m4a,0.2,
word,1.06645,1.81633,tusks.,en-uk_tusks.m4a,0.2,
sentence,book_en_343_page_7_2.m4a,2.89653,
word,0,0.50047,Tusks,en-uk_tusks.m4a,0.2,
word,0.50047,0.800265,are,en-uk_are.m4a,0.2,
word,0.800265,1.20029,big,en-uk_big.m4a,0.2,
word,1.20029,1.65921,teeth!,en-uk_teeth.m4a,0.2,
page,8,book_en_343_page_8,wordwrap,
paragraph
sentence,book_en_343_page_8_1.m4a,0,
word,0,0.56639,Elephants,en-uk_elephants.m4a,0.2,
word,0.56639,0.83284,have,en-uk_have.m4a,0.2,
word,0.83284,1.26642,wrinkly,en-uk_wrinkly.m4a,0.2,
word,1.26642,2.03332,skin.,en-uk_skin.m4a,0.2,
sentence,book_en_343_page_8_2.m4a,2.98025,
word,0,0.250215,And,en-uk_and.m4a,0.2,
word,0.250215,0.732988,elephants,en-uk_elephants.m4a,0.2,
word,0.732988,0.966393,have,en-uk_have.m4a,0.2,
word,0.966393,1.46655,big,en-uk_big.m4a,0.2,
word,1.46655,2.13308,eyes!,en-uk_eyes.m4a,0.2,
