title,My Five Senses,book_en_345_page_0_1.m4a,book_en_345_page_0,portrait,audio,
page,1,book_en_345_page_1,wordwrap,
paragraph
sentence,book_en_345_page_1_1.m4a,0,
word,0,0.316316,I,en-uk_i.m4a,0.2,
word,0.316316,0.566192,have,en-uk_have.m4a,0.2,
word,0.566192,0.933016,five,en-uk_five.m4a,0.2,
word,0.933016,1.71622,senses.,en-uk_senses.m4a,0.2,
sentence,book_en_345_page_1_2.m4a,2.64737,
word,0,0.333266,They,en-uk_they.m4a,0.2,
word,0.333266,0.599954,help,en-uk_help.m4a,0.2,
word,0.599954,0.900496,me,en-uk_me.m4a,0.2,
word,0.900496,1.15009,know,en-uk_know.m4a,0.2,
word,1.15009,1.30018,my,en-uk_my.m4a,0.2,
word,1.30018,1.85667,world.,en-uk_world.m4a,0.2,
page,2,book_en_345_page_2,wordwrap,
paragraph
sentence,book_en_345_page_2_1.m4a,0,
word,0,0.699914,Sight.,en-uk_sight.m4a,0.2,
paragraph
sentence,book_en_345_page_2_2.m4a,1.72592,
word,0,0.249683,I,en-uk_i.m4a,0.2,
word,0.249683,0.499617,use,en-uk_use.m4a,0.2,
word,0.499617,0.716098,my,en-uk_my.m4a,0.2,
word,0.716098,1.09958,eyes,en-uk_eyes.m4a,0.2,
word,1.09958,1.36619,to,en-uk_to.m4a,0.2,
word,1.36619,1.94957,see.,en-uk_see.m4a,0.2,
page,3,book_en_345_page_3,wordwrap,
paragraph
sentence,book_en_345_page_3_1.m4a,0,
word,0,0.753832,Taste.,en-uk_taste.m4a,0.2,
paragraph
sentence,book_en_345_page_3_2.m4a,1.75383,
word,0,0.266335,I,en-uk_i.m4a,0.2,
word,0.266335,0.499753,use,en-uk_use.m4a,0.2,
word,0.499753,0.733249,my,en-uk_my.m4a,0.2,
word,0.733249,1.15005,tongue,en-uk_tongue.m4a,0.2,
word,1.15005,1.41652,to,en-uk_to.m4a,0.2,
word,1.41652,2.04995,taste.,en-uk_taste.m4a,0.2,
page,4,book_en_345_page_4,wordwrap,
paragraph
sentence,book_en_345_page_4_1.m4a,0,
word,0,0.656122,Touch.,en-uk_touch.m4a,0.2,
paragraph
sentence,book_en_345_page_4_2.m4a,1.65612,
word,0,0.249843,I,en-uk_i.m4a,0.2,
word,0.249843,0.51664,use,en-uk_use.m4a,0.2,
word,0.51664,0.766692,my,en-uk_my.m4a,0.2,
word,0.766692,1.28339,fingers,en-uk_fingers.m4a,0.2,
word,1.28339,1.48313,to,en-uk_to.m4a,0.2,
word,1.48313,2.19974,touch.,en-uk_touch.m4a,0.2,
page,5,book_en_345_page_5,wordwrap,
paragraph
sentence,book_en_345_page_5_1.m4a,0,
word,0,0.898735,Hearing.,en-uk_hearing.m4a,0.2,
paragraph
sentence,book_en_345_page_5_2.m4a,1.89982,
word,0,0.25016,I,en-uk_i.m4a,0.2,
word,0.25016,0.499962,use,en-uk_use.m4a,0.2,
word,0.499962,0.733442,my,en-uk_my.m4a,0.2,
word,0.733442,1.16649,ears,en-uk_ears.m4a,0.2,
word,1.16649,1.4677,to,en-uk_to.m4a,0.2,
word,1.4677,2.08345,hear.,en-uk_hear.m4a,0.2,
page,6,book_en_345_page_6,wordwrap,
paragraph
sentence,book_en_345_page_6_1.m4a,0,
word,0,1.10173,Smell.,en-uk_smell.m4a,0.2,
paragraph
sentence,book_en_345_page_6_2.m4a,1.97204,
word,0,0.300072,I,en-uk_i.m4a,0.2,
word,0.300072,0.533625,use,en-uk_use.m4a,0.2,
word,0.533625,0.767023,my,en-uk_my.m4a,0.2,
word,0.767023,1.33337,nose,en-uk_nose.m4a,0.2,
word,1.33337,1.58364,to,en-uk_to.m4a,0.2,
word,1.58364,2.31671,smell.,en-uk_smell.m4a,0.2,
