title,Our Friend the Cow,book_en_347_page_0_1.m4a,book_en_347_page_0,landscape,audio,
page,1,book_en_347_page_1,wordwrap,
paragraph
sentence,book_en_347_page_1_1.m4a,0,
word,0,0.316898,Good,en-uk_good.m4a,0.2,
word,0.316898,0.617316,"morning,",en-uk_morning.m4a,0.2,
word,0.617316,1.0232,cow!,en-uk_cow.m4a,0.2,
sentence,book_en_347_page_1_2.m4a,2.0232,
word,0,0.333175,Time,en-uk_time.m4a,0.2,
word,0.333175,0.516558,to,en-uk_to.m4a,0.2,
word,0.516558,0.819145,wake,en-uk_wake.m4a,0.2,
word,0.819145,1.19984,up.,en-uk_up.m4a,0.2,
page,2,book_en_347_page_2,wordwrap,
paragraph
sentence,book_en_347_page_2_1.m4a,0,
word,0,0.333382,Cows,en-uk_cows.m4a,0.2,
word,0.333382,0.700119,live,en-uk_live.m4a,0.2,
word,0.700119,0.882973,all,en-uk_all.m4a,0.2,
word,0.882973,1.18495,over,en-uk_over.m4a,0.2,
word,1.18495,1.36667,the,en-uk_the.m4a,0.2,
word,1.36667,1.98384,world.,en-uk_world.m4a,0.2,
page,3,book_en_347_page_3,wordwrap,
paragraph
sentence,book_en_347_page_3_1.m4a,0,
word,0,0.416468,Some,en-uk_some.m4a,0.2,
word,0.416468,0.68306,people,en-uk_people.m4a,0.2,
word,0.68306,0.984408,take,en-uk_take.m4a,0.2,
word,0.984408,1.33343,care,en-uk_care.m4a,0.2,
word,1.33343,1.58315,of,en-uk_of.m4a,0.2,
word,1.58315,2.19998,cows.,en-uk_cows.m4a,0.2,
sentence,book_en_347_page_3_2.m4a,3.26766,
word,0,0.383203,Cows,en-uk_cows.m4a,0.2,
word,0.383203,0.7166,help,en-uk_help.m4a,0.2,
word,0.7166,1.14986,people,en-uk_people.m4a,0.2,
word,1.14986,1.84962,work.,en-uk_work.m4a,0.2,
page,4,book_en_347_page_4,wordwrap,
paragraph
sentence,book_en_347_page_4_1.m4a,0,
word,0,0.466726,Cows,en-uk_cows.m4a,0.2,
word,0.466726,0.816411,make,en-uk_make.m4a,0.2,
word,0.816411,1.33307,milk.,en-uk_milk.m4a,0.2,
sentence,book_en_347_page_4_2.m4a,2.43503,
word,0,0.349745,Baby,en-uk_baby.m4a,0.2,
word,0.349745,0.68328,cows,en-uk_cows.m4a,0.2,
word,0.68328,1.01636,eat,en-uk_eat.m4a,0.2,
word,1.01636,1.68347,grass.,en-uk_grass.m4a,0.2,
page,5,book_en_347_page_5,wordwrap,
paragraph
sentence,book_en_347_page_5_1.m4a,0,
word,0,0.282862,A,en-uk_a.m4a,0.2,
word,0.282862,0.55034,baby,en-uk_baby.m4a,0.2,
word,0.55034,0.933161,cow,en-uk_cow.m4a,0.2,
word,0.933161,1.18329,is,en-uk_is.m4a,0.2,
word,1.18329,1.44977,called,en-uk_called.m4a,0.2,
word,1.44977,1.56683,a,en-uk_a.m4a,0.2,
word,1.56683,2.10052,calf.,en-uk_calf.m4a,0.2,
page,6,book_en_347_page_6,wordwrap,
paragraph
sentence,book_en_347_page_6_1.m4a,0,
word,0,0.399971,Cows,en-uk_cows.m4a,0.2,
word,0.399971,0.716821,eat,en-uk_eat.m4a,0.2,
word,0.716821,1.33372,grass.,en-uk_grass.m4a,0.2,
sentence,book_en_347_page_6_2.m4a,2.39556,
word,0,0.350018,Some,en-uk_some.m4a,0.2,
word,0.350018,0.59981,people,en-uk_people.m4a,0.2,
word,0.59981,1.01654,eat,en-uk_eat.m4a,0.2,
word,1.01654,1.64992,cows.,en-uk_cows.m4a,0.2,
page,7,book_en_347_page_7,wordwrap,
paragraph
sentence,book_en_347_page_7_1.m4a,0,
word,0,0.349615,Cows,en-uk_cows.m4a,0.2,
word,0.349615,0.616407,live,en-uk_live.m4a,0.2,
word,0.616407,0.682818,in,en-uk_in.m4a,0.2,
word,0.682818,1.23301,"groups,",en-uk_groups.m4a,0.2,
word,1.23301,1.74941,just,en-uk_just.m4a,0.2,
word,1.74941,1.933,like,en-uk_like.m4a,0.2,
word,1.933,2.2495,people,en-uk_people.m4a,0.2,
word,2.2495,2.66381,do.,en-uk_do.m4a,0.2,
