title,Birds and Planes Fly,book_en_351_page_0_1.m4a,book_en_351_page_0,portrait,audio,
page,1,book_en_351_page_1,wordwrap,
paragraph
sentence,book_en_351_page_1_1.m4a,0,
word,0,0.400117,This,en-uk_this.m4a,0.2,
word,0.400117,0.733616,is,en-uk_is.m4a,0.2,
word,0.733616,0.916699,an,en-uk_an.m4a,0.2,
word,0.916699,1.61716,airplane!,en-uk_airplane.m4a,0.2,
sentence,book_en_351_page_1_2.m4a,2.64095,
word,0,0.533815,Airplanes,en-uk_airplanes.m4a,0.2,
word,0.533815,0.900418,fly,en-uk_fly.m4a,0.2,
word,0.900418,1.13396,in,en-uk_in.m4a,0.2,
word,1.13396,1.28361,the,en-uk_the.m4a,0.2,
word,1.28361,1.96757,sky.,en-uk_sky.m4a,0.2,
page,2,book_en_351_page_2,wordwrap,
paragraph
sentence,book_en_351_page_2_1.m4a,0,
word,0,0.349662,This,en-uk_this.m4a,0.2,
word,0.349662,0.666657,is,en-uk_is.m4a,0.2,
word,0.666657,0.84943,a,en-uk_a.m4a,0.2,
word,0.84943,1.4493,bird.,en-uk_bird.m4a,0.2,
sentence,book_en_351_page_2_2.m4a,2.3827,
word,0,0.39987,Birds,en-uk_birds.m4a,0.2,
word,0.39987,0.750011,fly,en-uk_fly.m4a,0.2,
word,0.750011,0.916622,in,en-uk_in.m4a,0.2,
word,0.916622,1.04437,the,en-uk_the.m4a,0.2,
word,1.04437,1.43318,"sky,",en-uk_sky.m4a,0.2,
word,1.43318,1.90667,too.,en-uk_too.m4a,0.2,
page,3,book_en_351_page_3,wordwrap,
paragraph
sentence,book_en_351_page_3_1.m4a,0,
word,0,0.367205,This,en-uk_this.m4a,0.2,
word,0.367205,0.81696,airplane,en-uk_airplane.m4a,0.2,
word,0.81696,1.08375,wing,en-uk_wing.m4a,0.2,
word,1.08375,1.30022,is,en-uk_is.m4a,0.2,
word,1.30022,1.68346,made,en-uk_made.m4a,0.2,
word,1.68346,1.95006,from,en-uk_from.m4a,0.2,
word,1.95006,2.53252,metal.,en-uk_metal.m4a,0.2,
page,4,book_en_351_page_4,wordwrap,
paragraph
sentence,book_en_351_page_4_1.m4a,0,
word,0,0.299866,Do,en-uk_do.m4a,0.2,
word,0.299866,0.466305,you,en-uk_you.m4a,0.2,
word,0.466305,0.603066,see,en-uk_see.m4a,0.2,
word,0.603066,0.866168,this,en-uk_this.m4a,0.2,
word,0.866168,1.23272,bird’s,en-uk_birds.m4a,0.2,
word,1.23272,1.78354,wings?,en-uk_wings.m4a,0.2,
sentence,book_en_351_page_4_2.m4a,2.83603,
word,0,0.366837,They,en-uk_they.m4a,0.2,
word,0.366837,0.533629,are,en-uk_are.m4a,0.2,
word,0.533629,0.783153,made,en-uk_made.m4a,0.2,
word,0.783153,1.03351,from,en-uk_from.m4a,0.2,
word,1.03351,1.66095,feathers.,en-uk_feathers.m4a,0.2,
page,5,book_en_351_page_5,wordwrap,
paragraph
sentence,book_en_351_page_5_1.m4a,0,
word,0,0.516567,Airplanes,en-uk_airplanes.m4a,0.2,
word,0.516567,0.766525,can,en-uk_can.m4a,0.2,
word,0.766525,1.09972,fly,en-uk_fly.m4a,0.2,
word,1.09972,1.28311,so,en-uk_so.m4a,0.2,
word,1.28311,2.03287,high!,en-uk_high.m4a,0.2,
sentence,book_en_351_page_5_2.m4a,3.02311,
word,0,0.332931,This,en-uk_this.m4a,0.2,
word,0.332931,0.816327,airplane,en-uk_airplane.m4a,0.2,
word,0.816327,1.03314,is,en-uk_is.m4a,0.2,
word,1.03314,1.44952,above,en-uk_above.m4a,0.2,
word,1.44952,1.59969,the,en-uk_the.m4a,0.2,
word,1.59969,2.21707,clouds.,en-uk_clouds.m4a,0.2,
page,6,book_en_351_page_6,wordwrap,
paragraph
sentence,book_en_351_page_6_1.m4a,0,
word,0,0.367066,Birds,en-uk_birds.m4a,0.2,
word,0.367066,0.733469,fly,en-uk_fly.m4a,0.2,
word,0.733469,1.21701,lower,en-uk_lower.m4a,0.2,
word,1.21701,1.41681,than,en-uk_than.m4a,0.2,
word,1.41681,2.21463,airplanes.,en-uk_airplanes.m4a,0.2,
sentence,book_en_351_page_6_2.m4a,3.21463,
word,0,0.416798,This,en-uk_this.m4a,0.2,
word,0.416798,0.733398,bird,en-uk_bird.m4a,0.2,
word,0.733398,0.933478,is,en-uk_is.m4a,0.2,
word,0.933478,1.41635,below,en-uk_below.m4a,0.2,
word,1.41635,1.61679,the,en-uk_the.m4a,0.2,
word,1.61679,1.93287,tree,en-uk_tree.m4a,0.2,
word,1.93287,2.74957,branches.,en-uk_branches.m4a,0.2,
page,7,book_en_351_page_7,wordwrap,
paragraph
sentence,book_en_351_page_7_1.m4a,0,
word,0,0.717039,Airplanes,en-uk_airplanes.m4a,0.2,
word,0.717039,0.966828,land,en-uk_land.m4a,0.2,
word,0.966828,1.23372,at,en-uk_at.m4a,0.2,
word,1.23372,1.96724,airports.,en-uk_airports.m4a,0.2,
page,8,book_en_351_page_8,wordwrap,
paragraph
sentence,book_en_351_page_8_1.m4a,0,
word,0,0.550166,Most,en-uk_most.m4a,0.2,
word,0.550166,0.933367,birds,en-uk_birds.m4a,0.2,
word,0.933367,1.26673,land,en-uk_land.m4a,0.2,
word,1.26673,1.50014,in,en-uk_in.m4a,0.2,
word,1.50014,2.43366,trees.,en-uk_trees.m4a,0.2,
