title,The Mouse and the Lion,book_en_401_page_0_1.m4a,book_en_401_page_0,portrait,audio,
page,1,book_en_401_page_1,wordwrap,
paragraph
sentence,book_en_401_page_1_1.m4a,0,
word,0,0.841802,Mouse,en-uk_mouse.m4a,0.2,
word,0.841802,1.11191,was,en-uk_was.m4a,0.2,
word,1.11191,1.9015,hungry.,en-uk_hungry.m4a,0.2,
sentence,book_en_401_page_1_2.m4a,2.9015,
word,0,0.305342,He,en-uk_he.m4a,0.2,
word,0.305342,0.598939,looked,en-uk_looked.m4a,0.2,
word,0.598939,0.78981,for,en-uk_for.m4a,0.2,
word,0.78981,1.44246,food,en-uk_food.m4a,0.2,
word,1.44246,1.7766,among,en-uk_among.m4a,0.2,
word,1.7766,1.93836,the,en-uk_the.m4a,0.2,
word,1.93836,2.61794,grass.,en-uk_grass.m4a,0.2,
page,2,book_en_401_page_2,wordwrap,
paragraph
sentence,book_en_401_page_2_1.m4a,0,
word,0,0.417402,He,en-uk_he.m4a,0.2,
word,0.417402,1.00897,found,en-uk_found.m4a,0.2,
word,1.00897,1.65106,Lion,en-uk_lion.m4a,0.2,
word,1.65106,2.38408,instead!,en-uk_instead.m4a,0.2,
sentence,book_en_401_page_2_2.m4a,3.38408,
word,0,0.885731,Lion,en-uk_lion.m4a,0.2,
word,0.885731,1.14298,was,en-uk_was.m4a,0.2,
word,1.14298,1.96977,"hungry,",en-uk_hungry.m4a,0.2,
word,1.96977,2.51302,too.,en-uk_too.m4a,0.2,
page,3,book_en_401_page_3,wordwrap,
paragraph
sentence,book_en_401_page_3_1.m4a,0,
word,0,1.53612,Lion,en-uk_lion.m4a,0.2,
word,1.53612,2.79583,roared.,en-uk_roared.m4a,0.2,
sentence,book_en_401_page_3_2.m4a,3.79583,
word,0,0.828152,Mouse,en-uk_mouse.m4a,0.2,
word,0.828152,1.20043,"said,",en-uk_said.m4a,0.2,
sentence,book_en_401_page_3_3.m4a,5.99626,
word,0,1.02057,"“Please,",en-uk_please.m4a,0.2,
word,1.02057,1.3678,Lion.,en-uk_lion.m4a,0.2,
sentence,book_en_401_page_3_4.m4a,8.36406,
word,0,0.259887,Do,en-uk_do.m4a,0.2,
word,0.259887,0.691684,not,en-uk_not.m4a,0.2,
word,0.691684,1.07667,eat,en-uk_eat.m4a,0.2,
word,1.07667,1.48968,me.”,en-uk_me.m4a,0.2,
page,4,book_en_401_page_4,wordwrap,
paragraph
sentence,book_en_401_page_4_1.m4a,0,
word,0,0.599694,Mouse,en-uk_mouse.m4a,0.2,
word,0.599694,1.19438,"said,",en-uk_said.m4a,0.2,
sentence,book_en_401_page_4_2.m4a,2.19438,
word,0,0.483252,“Let,en-uk_let.m4a,0.2,
word,0.483252,0.742743,me,en-uk_me.m4a,0.2,
word,0.742743,1.84277,go.,en-uk_go.m4a,0.2,
word,1.84277,2.80973,"Someday,",en-uk_someday.m4a,0.2,
word,2.80973,3.06654,I,en-uk_i.m4a,0.2,
word,3.06654,3.27615,will,en-uk_will.m4a,0.2,
word,3.27615,3.52802,help,en-uk_help.m4a,0.2,
word,3.52802,3.96596,you.”,en-uk_you.m4a,0.2,
page,5,book_en_401_page_5,wordwrap,
paragraph
sentence,book_en_401_page_5_1.m4a,0,
word,0,0.875579,Lion,en-uk_lion.m4a,0.2,
word,0.875579,1.28383,"said,",en-uk_said.m4a,0.2,
sentence,book_en_401_page_5_2.m4a,2.28383,
word,0,0.22575,“That,en-uk_that.m4a,0.2,
word,0.22575,0.610724,is,en-uk_is.m4a,0.2,
word,0.610724,1.21726,silly.,en-uk_silly.m4a,0.2,
sentence,book_en_401_page_5_3.m4a,4.50109,
word,0,0.633389,How,en-uk_how.m4a,0.2,
word,0.633389,0.842073,can,en-uk_can.m4a,0.2,
word,0.842073,1.03247,a,en-uk_a.m4a,0.2,
word,1.03247,1.3404,little,en-uk_little.m4a,0.2,
word,1.3404,1.80774,mouse,en-uk_mouse.m4a,0.2,
word,1.80774,2.07684,help,en-uk_help.m4a,0.2,
word,2.07684,2.73111,me?,en-uk_me.m4a,0.2,
sentence,book_en_401_page_5_4.m4a,8.2322,
word,0,0.829288,But,en-uk_but.m4a,0.2,
word,0.829288,1.33634,you,en-uk_you.m4a,0.2,
word,1.33634,1.5577,may,en-uk_may.m4a,0.2,
word,1.5577,2.07957,go.”,en-uk_go.m4a,0.2,
page,6,book_en_401_page_6,wordwrap,
paragraph
sentence,book_en_401_page_6_1.m4a,0,
word,0,0.359878,A,en-uk_a.m4a,0.2,
word,0.359878,0.721644,few,en-uk_few.m4a,0.2,
word,0.721644,1.08907,days,en-uk_days.m4a,0.2,
word,1.08907,1.98176,"later,",en-uk_later.m4a,0.2,
word,1.98176,2.52815,Lion,en-uk_lion.m4a,0.2,
word,2.52815,2.89494,got,en-uk_got.m4a,0.2,
word,2.89494,3.60492,stuck.,en-uk_stuck.m4a,0.2,
sentence,book_en_401_page_6_2.m4a,4.60492,
word,0,0.772567,Wire,en-uk_wire.m4a,0.2,
word,0.772567,1.00071,was,en-uk_was.m4a,0.2,
word,1.00071,1.90223,twisted,en-uk_twisted.m4a,0.2,
word,1.90223,2.24202,around,en-uk_around.m4a,0.2,
word,2.24202,2.42368,his,en-uk_his.m4a,0.2,
word,2.42368,3.16385,legs.,en-uk_legs.m4a,0.2,
page,7,book_en_401_page_7,wordwrap,
paragraph
sentence,book_en_401_page_7_1.m4a,0,
word,0,0.76356,"“Help,”",en-uk_help.m4a,0.2,
sentence,book_en_401_page_7_2.m4a,1.76356,
word,0,0.758382,Lion,en-uk_lion.m4a,0.2,
word,0.758382,1.27175,cried.,en-uk_cried.m4a,0.2,
sentence,book_en_401_page_7_3.m4a,4.03531,
word,0,0.407845,“I,en-uk_i.m4a,0.2,
word,0.407845,0.783041,am,en-uk_am.m4a,0.2,
word,0.783041,1.5395,trapped!”,en-uk_trapped.m4a,0.2,
page,8,book_en_401_page_8,wordwrap,
paragraph
sentence,book_en_401_page_8_1.m4a,0,
word,0,0.860957,Mouse,en-uk_mouse.m4a,0.2,
word,0.860957,1.46087,rushed,en-uk_rushed.m4a,0.2,
word,1.46087,1.98873,back.,en-uk_back.m4a,0.2,
sentence,book_en_401_page_8_2.m4a,2.98873,
word,0,0.492317,He,en-uk_he.m4a,0.2,
word,0.492317,0.775601,"said,",en-uk_said.m4a,0.2,
sentence,book_en_401_page_8_3.m4a,4.76433,
word,0.072012,0.28322,“I,en-uk_i.m4a,0.2,
word,0.28322,0.513377,can,en-uk_can.m4a,0.2,
word,0.513377,0.982605,use,en-uk_use.m4a,0.2,
word,0.982605,1.19948,my,en-uk_my.m4a,0.2,
word,1.19948,1.78556,teeth.,en-uk_teeth.m4a,0.2,
sentence,book_en_401_page_8_4.m4a,7.54989,
word,0,0.671347,You,en-uk_you.m4a,0.2,
word,0.671347,0.900655,will,en-uk_will.m4a,0.2,
word,0.900655,1.14722,be,en-uk_be.m4a,0.2,
word,1.14722,1.75934,free.”,en-uk_free.m4a,0.2,
page,9,book_en_401_page_9,wordwrap,
paragraph
sentence,book_en_401_page_9_1.m4a,0,
word,0,0.734045,Lion,en-uk_lion.m4a,0.2,
word,0.734045,1.05875,"said,",en-uk_said.m4a,0.2,
sentence,book_en_401_page_9_2.m4a,2.05875,
word,0,0.414411,“Thank,en-uk_thank.m4a,0.2,
word,0.414411,0.764386,"you,",en-uk_you.m4a,0.2,
word,0.764386,1.38948,Mouse.,en-uk_mouse.m4a,0.2,
sentence,book_en_401_page_9_3.m4a,4.44823,
word,0,0.359866,You,en-uk_you.m4a,0.2,
word,0.359866,0.582637,are,en-uk_are.m4a,0.2,
word,0.582637,1.35098,"little,",en-uk_little.m4a,0.2,
word,1.35098,2.05964,but,en-uk_but.m4a,0.2,
word,2.05964,2.23686,you,en-uk_you.m4a,0.2,
word,2.23686,2.46816,are,en-uk_are.m4a,0.2,
word,2.46816,2.66826,a,en-uk_a.m4a,0.2,
word,2.66826,3.13986,good,en-uk_good.m4a,0.2,
word,3.13986,3.64685,friend.”,en-uk_friend.m4a,0.2,
