title,Playing,book_en_402_page_0_1.m4a,book_en_402_page_0,landscape,audio,
page,1,book_en_402_page_1,wordwrap,
paragraph
sentence,book_en_402_page_1_1.m4a,0,
word,0,0.408926,My,en-uk_my.m4a,0.2,
word,0.408926,1.10387,friends,en-uk_friends.m4a,0.2,
word,1.10387,1.28823,and,en-uk_and.m4a,0.2,
word,1.28823,1.61783,I,en-uk_i.m4a,0.2,
word,1.61783,2.00279,like,en-uk_like.m4a,0.2,
word,2.00279,2.26094,to,en-uk_to.m4a,0.2,
word,2.26094,2.86544,play.,en-uk_play.m4a,0.2,
page,2,book_en_402_page_2,wordwrap,
paragraph
sentence,book_en_402_page_2_1.m4a,0,
word,0,0.855227,Judy,en-uk_judy.m4a,0.2,
word,0.855227,1.58816,plays,en-uk_plays.m4a,0.2,
word,1.58816,2.23667,football.,en-uk_football.m4a,0.2,
sentence,book_en_402_page_2_2.m4a,3.23667,
word,0,0.601201,She,en-uk_she.m4a,0.2,
word,0.601201,0.908008,has,en-uk_has.m4a,0.2,
word,0.908008,1.18872,a,en-uk_a.m4a,0.2,
word,1.18872,1.8418,strong,en-uk_strong.m4a,0.2,
word,1.8418,2.26789,kick.,en-uk_kick.m4a,0.2,
page,3,book_en_402_page_3,wordwrap,
paragraph
sentence,book_en_402_page_3_1.m4a,0,
word,0,0.81568,Kelly,en-uk_kelly.m4a,0.2,
word,0.81568,1.12279,goes,en-uk_goes.m4a,0.2,
word,1.12279,1.66317,swimming.,en-uk_swimming.m4a,0.2,
sentence,book_en_402_page_3_2.m4a,2.66317,
word,0,0.640755,She,en-uk_she.m4a,0.2,
word,0.640755,1.30965,swims,en-uk_swims.m4a,0.2,
word,1.30965,1.99533,far.,en-uk_far.m4a,0.2,
page,4,book_en_402_page_4,wordwrap,
paragraph
sentence,book_en_402_page_4_1.m4a,0,
word,0,0.950245,David,en-uk_david.m4a,0.2,
word,0.950245,1.43088,plays,en-uk_plays.m4a,0.2,
word,1.43088,2.32891,hide-and-seek.,en-uk_hide-and-seek.m4a,0.2,
sentence,book_en_402_page_4_2.m4a,3.32891,
word,0,0.472211,Who,en-uk_who.m4a,0.2,
word,0.472211,0.818895,will,en-uk_will.m4a,0.2,
word,0.818895,1.24814,find,en-uk_find.m4a,0.2,
word,1.24814,1.71118,him?,en-uk_him.m4a,0.2,
page,5,book_en_402_page_5,wordwrap,
paragraph
sentence,book_en_402_page_5_1.m4a,0,
word,0,0.815666,Faith,en-uk_faith.m4a,0.2,
word,0.815666,1.34946,likes,en-uk_likes.m4a,0.2,
word,1.34946,1.64336,to,en-uk_to.m4a,0.2,
word,1.64336,2.09903,read.,en-uk_read.m4a,0.2,
sentence,book_en_402_page_5_2.m4a,3.09903,
word,0,0.392214,She,en-uk_she.m4a,0.2,
word,0.392214,0.609671,can,en-uk_can.m4a,0.2,
word,0.609671,1.18576,read,en-uk_read.m4a,0.2,
word,1.18576,1.76786,all,en-uk_all.m4a,0.2,
word,1.76786,2.11911,day,en-uk_day.m4a,0.2,
word,2.11911,2.69828,long.,en-uk_long.m4a,0.2,
page,6,book_en_402_page_6,wordwrap,
paragraph
sentence,book_en_402_page_6_1.m4a,0,
word,0,0.386985,I,en-uk_i.m4a,0.2,
word,0.386985,0.678595,ask,en-uk_ask.m4a,0.2,
word,0.678595,1.1771,"them,",en-uk_them.m4a,0.2,
sentence,book_en_402_page_6_2.m4a,2.1771,
word,0,0.275368,“Can,en-uk_can.m4a,0.2,
word,0.275368,0.517062,I,en-uk_i.m4a,0.2,
word,0.517062,0.918376,play,en-uk_play.m4a,0.2,
word,0.918376,1.11743,with,en-uk_with.m4a,0.2,
word,1.11743,1.52102,you?”,en-uk_you.m4a,0.2,
page,7,book_en_402_page_7,wordwrap,
paragraph
sentence,book_en_402_page_7_1.m4a,0,
