title,Nia and the Dirt Monsters,book_en_404_page_0_1.m4a,book_en_404_page_0,landscape,audio,
page,1,book_en_404_page_1,wordwrap,
paragraph
sentence,book_en_404_page_1_1.m4a,0,
word,0,0.987836,Nia,en-uk_nia.m4a,0.2,
word,0.987836,1.38617,goes,en-uk_goes.m4a,0.2,
word,1.38617,2.14615,outside,en-uk_outside.m4a,0.2,
word,2.14615,2.33529,to,en-uk_to.m4a,0.2,
word,2.33529,2.86683,play.,en-uk_play.m4a,0.2,
page,2,book_en_404_page_2,wordwrap,
paragraph
sentence,book_en_404_page_2_1.m4a,0,
word,0,0.908689,Nia,en-uk_nia.m4a,0.2,
word,0.908689,1.32584,plays,en-uk_plays.m4a,0.2,
word,1.32584,1.4924,with,en-uk_with.m4a,0.2,
word,1.4924,1.72189,her,en-uk_her.m4a,0.2,
word,1.72189,2.21076,boat,en-uk_boat.m4a,0.2,
word,2.21076,2.3906,in,en-uk_in.m4a,0.2,
word,2.3906,2.58478,the,en-uk_the.m4a,0.2,
word,2.58478,3.08259,rain.,en-uk_rain.m4a,0.2,
sentence,book_en_404_page_2_2.m4a,4.08259,
word,0,0.675814,She,en-uk_she.m4a,0.2,
word,0.675814,1.21745,gets,en-uk_gets.m4a,0.2,
word,1.21745,1.93379,dirty.,en-uk_dirty.m4a,0.2,
page,3,book_en_404_page_3,wordwrap,
paragraph
sentence,book_en_404_page_3_1.m4a,0,
word,0,0.602079,She,en-uk_she.m4a,0.2,
word,0.602079,0.925963,makes,en-uk_makes.m4a,0.2,
word,0.925963,1.07194,a,en-uk_a.m4a,0.2,
word,1.07194,1.81084,castle,en-uk_castle.m4a,0.2,
word,1.81084,2.03968,out,en-uk_out.m4a,0.2,
word,2.03968,2.29319,of,en-uk_of.m4a,0.2,
word,2.29319,2.84363,sand.,en-uk_sand.m4a,0.2,
sentence,book_en_404_page_3_2.m4a,3.84363,
word,0.0482845,0.516121,She,en-uk_she.m4a,0.2,
word,0.516121,1.03265,gets,en-uk_gets.m4a,0.2,
word,1.03265,1.84596,dirtier.,en-uk_dirtier.m4a,0.2,
page,4,book_en_404_page_4,wordwrap,
paragraph
sentence,book_en_404_page_4_1.m4a,0,
word,0,0.572937,Mother,en-uk_mother.m4a,0.2,
word,0.572937,1.04871,"says,",en-uk_says.m4a,0.2,
sentence,book_en_404_page_4_2.m4a,2.04871,
word,0,0.293838,“You,en-uk_you.m4a,0.2,
word,0.293838,0.660677,are,en-uk_are.m4a,0.2,
word,0.660677,1.38602,too,en-uk_too.m4a,0.2,
word,1.38602,1.90422,dirty!,en-uk_dirty.m4a,0.2,
sentence,book_en_404_page_4_3.m4a,4.95293,
word,0,0.383753,Take,en-uk_take.m4a,0.2,
word,0.383753,0.632093,this,en-uk_this.m4a,0.2,
word,0.632093,1.36099,soap,en-uk_soap.m4a,0.2,
word,1.36099,1.59264,and,en-uk_and.m4a,0.2,
word,1.59264,1.83575,get,en-uk_get.m4a,0.2,
word,1.83575,2.60086,clean.”,en-uk_clean.m4a,0.2,
page,5,book_en_404_page_5,wordwrap,
paragraph
sentence,book_en_404_page_5_1.m4a,0,
word,0,0.667869,Nia,en-uk_nia.m4a,0.2,
word,0.667869,1.15703,"says,",en-uk_says.m4a,0.2,
sentence,book_en_404_page_5_2.m4a,2.15703,
word,0,0.334228,“I,en-uk_i.m4a,0.2,
word,0.334228,0.756924,don't,en-uk_don1t.m4a,0.2,
word,0.756924,1.14044,want,en-uk_want.m4a,0.2,
word,1.14044,1.41726,to,en-uk_to.m4a,0.2,
word,1.41726,2.02161,wash.”,en-uk_wash.m4a,0.2,
sentence,book_en_404_page_5_3.m4a,5.17864,
word,0,0.575333,She,en-uk_she.m4a,0.2,
word,0.575333,1.10155,kicks,en-uk_kicks.m4a,0.2,
word,1.10155,1.34727,the,en-uk_the.m4a,0.2,
word,1.34727,1.64138,soap.,en-uk_soap.m4a,0.2,
page,6,book_en_404_page_6,wordwrap,
paragraph
sentence,book_en_404_page_6_1.m4a,0,
word,0.226947,0.478635,That,en-uk_that.m4a,0.2,
word,0.478635,1.20083,"night,",en-uk_night.m4a,0.2,
word,1.20083,1.66875,she,en-uk_she.m4a,0.2,
word,1.66875,2.56105,dreams,en-uk_dreams.m4a,0.2,
word,2.56105,2.78738,she,en-uk_she.m4a,0.2,
word,2.78738,3.02886,is,en-uk_is.m4a,0.2,
word,3.02886,3.22637,a,en-uk_a.m4a,0.2,
word,3.22637,4.02608,princess.,en-uk_princess.m4a,0.2,
sentence,book_en_404_page_6_2.m4a,5.02608,
word,0.210392,0.532049,Dirt,en-uk_dirt.m4a,0.2,
word,0.532049,1.17658,monsters,en-uk_monsters.m4a,0.2,
word,1.17658,1.9109,attack,en-uk_attack.m4a,0.2,
word,1.9109,2.07871,the,en-uk_the.m4a,0.2,
word,2.07871,2.7356,castle!,en-uk_castle.m4a,0.2,
page,7,book_en_404_page_7,wordwrap,
paragraph
sentence,book_en_404_page_7_1.m4a,0,
word,0,0.311259,The,en-uk_the.m4a,0.2,
word,0.311259,1.05184,dirt,en-uk_dirt.m4a,0.2,
word,1.05184,1.22521,and,en-uk_and.m4a,0.2,
word,1.22521,2.02792,bugs,en-uk_bugs.m4a,0.2,
word,2.02792,2.28246,are,en-uk_are.m4a,0.2,
word,2.28246,2.7432,all,en-uk_all.m4a,0.2,
word,2.7432,3.20261,around,en-uk_around.m4a,0.2,
word,3.20261,3.54424,her.,en-uk_her.m4a,0.2,
sentence,book_en_404_page_7_2.m4a,4.54424,
word,0,0.819499,Nia,en-uk_nia.m4a,0.2,
word,0.819499,1.2615,tries,en-uk_tries.m4a,0.2,
word,1.2615,1.55787,to,en-uk_to.m4a,0.2,
word,1.55787,1.95201,run,en-uk_run.m4a,0.2,
word,1.95201,2.66249,away.,en-uk_away.m4a,0.2,
page,8,book_en_404_page_8,wordwrap,
paragraph
sentence,book_en_404_page_8_1.m4a,0,
word,0,0.792272,Super,en-uk_super.m4a,0.2,
word,0.792272,1.35991,Soap,en-uk_soap.m4a,0.2,
word,1.35991,1.82757,comes,en-uk_comes.m4a,0.2,
word,1.82757,1.99818,to,en-uk_to.m4a,0.2,
word,1.99818,2.39461,save,en-uk_save.m4a,0.2,
word,2.39461,2.64283,the,en-uk_the.m4a,0.2,
word,2.64283,3.10982,day!,en-uk_day.m4a,0.2,
sentence,book_en_404_page_8_2.m4a,4.10982,
word,0,0.457819,“I,en-uk_i.m4a,0.2,
word,0.457819,0.709885,will,en-uk_will.m4a,0.2,
word,0.709885,1.18598,clean,en-uk_clean.m4a,0.2,
word,1.18598,1.54997,up,en-uk_up.m4a,0.2,
word,1.54997,1.69406,the,en-uk_the.m4a,0.2,
word,1.69406,2.4768,"monsters,”",en-uk_monsters.m4a,0.2,
sentence,book_en_404_page_8_3.m4a,7.58662,
word,0,0.388679,he,en-uk_he.m4a,0.2,
word,0.388679,0.886803,says.,en-uk_says.m4a,0.2,
page,9,book_en_404_page_9,wordwrap,
paragraph
sentence,book_en_404_page_9_1.m4a,0,
word,0,0.787114,Super,en-uk_super.m4a,0.2,
word,0.787114,1.37253,Soap,en-uk_soap.m4a,0.2,
word,1.37253,1.70969,sends,en-uk_sends.m4a,0.2,
word,1.70969,2.1229,out,en-uk_out.m4a,0.2,
word,2.1229,3.02381,bubbles.,en-uk_bubbles.m4a,0.2,
sentence,book_en_404_page_9_2.m4a,4.02381,
word,0,0.404235,The,en-uk_the.m4a,0.2,
word,0.404235,1.17938,bubbles,en-uk_bubbles.m4a,0.2,
word,1.17938,1.55125,chase,en-uk_chase.m4a,0.2,
word,1.55125,2.19306,away,en-uk_away.m4a,0.2,
word,2.19306,2.4484,the,en-uk_the.m4a,0.2,
word,2.4484,3.0343,bugs,en-uk_bugs.m4a,0.2,
word,3.0343,3.31684,and,en-uk_and.m4a,0.2,
word,3.31684,3.81753,dirt.,en-uk_dirt.m4a,0.2,
page,10,book_en_404_page_10,wordwrap,
paragraph
sentence,book_en_404_page_10_1.m4a,0,
word,0,0.376114,In,en-uk_in.m4a,0.2,
word,0.376114,0.646618,the,en-uk_the.m4a,0.2,
word,0.646618,1.50496,"morning,",en-uk_morning.m4a,0.2,
word,1.50496,2.14196,Mother,en-uk_mother.m4a,0.2,
word,2.14196,2.46871,gives,en-uk_gives.m4a,0.2,
word,2.46871,2.92661,Nia,en-uk_nia.m4a,0.2,
word,2.92661,3.23887,soap.,en-uk_soap.m4a,0.2,
sentence,book_en_404_page_10_2.m4a,4.23887,
word,0,0.588378,Nia,en-uk_nia.m4a,0.2,
word,0.588378,1.13125,"says,",en-uk_says.m4a,0.2,
sentence,book_en_404_page_10_3.m4a,6.37011,
word,0,0.893303,“Now,en-uk_now.m4a,0.2,
word,0.893303,1.10338,I,en-uk_i.m4a,0.2,
word,1.10338,1.48753,like,en-uk_like.m4a,0.2,
word,1.48753,1.76098,to,en-uk_to.m4a,0.2,
word,1.76098,2.25558,wash.”,en-uk_wash.m4a,0.2,
page,11,book_en_404_page_11,wordwrap,
paragraph
sentence,book_en_404_page_11_1.m4a,0,
word,0,0.824201,Nia,en-uk_nia.m4a,0.2,
word,0.824201,1.07725,goes,en-uk_goes.m4a,0.2,
word,1.07725,1.89635,outside,en-uk_outside.m4a,0.2,
word,1.89635,2.06029,to,en-uk_to.m4a,0.2,
word,2.06029,2.66086,play.,en-uk_play.m4a,0.2,
sentence,book_en_404_page_11_2.m4a,3.66086,
word,0,0.501489,She,en-uk_she.m4a,0.2,
word,0.501489,0.681036,will,en-uk_will.m4a,0.2,
word,0.681036,1.04941,wash,en-uk_wash.m4a,0.2,
word,1.04941,1.23978,with,en-uk_with.m4a,0.2,
word,1.23978,1.89455,soap,en-uk_soap.m4a,0.2,
word,1.89455,2.07621,when,en-uk_when.m4a,0.2,
word,2.07621,2.34774,she,en-uk_she.m4a,0.2,
word,2.34774,2.71927,gets,en-uk_gets.m4a,0.2,
word,2.71927,3.24245,home!,en-uk_home.m4a,0.2,
