title,Shaaban and the Dancing Dinosaur,book_en_409_page_0_1.m4a,book_en_409_page_0,landscape,audio,
page,1,book_en_409_page_1,wordwrap,
paragraph
sentence,book_en_409_page_1_1.m4a,0,
word,0.062794,0.891332,Shaaban,en-uk_shaaban.m4a,0.2,
word,0.891332,1.5012,looked,en-uk_looked.m4a,0.2,
word,1.5012,1.92542,across,en-uk_across.m4a,0.2,
word,1.92542,2.12398,the,en-uk_the.m4a,0.2,
word,2.12398,2.82439,dry,en-uk_dry.m4a,0.2,
word,2.82439,3.35787,desert.,en-uk_desert.m4a,0.2,
sentence,book_en_409_page_1_2.m4a,4.35787,
word,0,0.29236,“The,en-uk_the.m4a,0.2,
word,0.29236,0.90958,desert,en-uk_desert.m4a,0.2,
word,0.90958,1.16161,is,en-uk_is.m4a,0.2,
word,1.16161,1.61726,so,en-uk_so.m4a,0.2,
word,1.61726,2.39215,"large,”",en-uk_large.m4a,0.2,
sentence,book_en_409_page_1_3.m4a,7.75002,
word,0,0.208178,he,en-uk_he.m4a,0.2,
word,0.208178,0.658345,said.,en-uk_said.m4a,0.2,
page,2,book_en_409_page_2,wordwrap,
paragraph
sentence,book_en_409_page_2_1.m4a,0,
word,0,0.519976,He,en-uk_he.m4a,0.2,
word,0.519976,0.92137,sang,en-uk_sang.m4a,0.2,
word,0.92137,1.08833,a,en-uk_a.m4a,0.2,
word,1.08833,1.59401,song.,en-uk_song.m4a,0.2,
sentence,book_en_409_page_2_2.m4a,1.65834,
word,0,0.343287,“The,en-uk_the.m4a,0.2,
word,0.343287,1.01576,desert,en-uk_desert.m4a,0.2,
word,1.01576,1.21035,has,en-uk_has.m4a,0.2,
word,1.21035,1.55818,room,en-uk_room.m4a,0.2,
word,1.55818,1.85769,for,en-uk_for.m4a,0.2,
word,1.85769,2.03524,a,en-uk_a.m4a,0.2,
word,2.03524,2.72954,dancing,en-uk_dancing.m4a,0.2,
word,2.72954,3.95927,"dinosaur,”",en-uk_dinosaur.m4a,0.2,
sentence,book_en_409_page_2_3.m4a,6.61762,
word,0,0.329766,he,en-uk_he.m4a,0.2,
word,0.329766,0.799025,sang.,en-uk_sang.m4a,0.2,
page,3,book_en_409_page_3,wordwrap,
paragraph
sentence,book_en_409_page_3_1.m4a,0,
word,0,0.355802,A,en-uk_a.m4a,0.2,
word,0.355802,1.43572,dinosaur,en-uk_dinosaur.m4a,0.2,
word,1.43572,1.72778,came,en-uk_came.m4a,0.2,
word,1.72778,2.0615,up,en-uk_up.m4a,0.2,
word,2.0615,2.53886,beside,en-uk_beside.m4a,0.2,
word,2.53886,2.95714,him.,en-uk_him.m4a,0.2,
sentence,book_en_409_page_3_2.m4a,3.95714,
word,0,0.729138,Shaaban,en-uk_shaaban.m4a,0.2,
word,0.729138,1.05567,must,en-uk_must.m4a,0.2,
word,1.05567,1.34002,have,en-uk_have.m4a,0.2,
word,1.34002,1.61847,been,en-uk_been.m4a,0.2,
word,1.61847,2.47029,dreaming!,en-uk_dreaming.m4a,0.2,
page,4,book_en_409_page_4,wordwrap,
paragraph
sentence,book_en_409_page_4_1.m4a,0,
word,0,0.399316,“I,en-uk_i.m4a,0.2,
word,0.399316,1.02459,sang,en-uk_sang.m4a,0.2,
word,1.02459,1.21609,for,en-uk_for.m4a,0.2,
word,1.21609,1.41731,a,en-uk_a.m4a,0.2,
word,1.41731,2.11168,"dinosaur,”",en-uk_dinosaur.m4a,0.2,
sentence,book_en_409_page_4_2.m4a,3.11168,
word,0,0.333734,he,en-uk_he.m4a,0.2,
word,0.333734,0.729365,said.,en-uk_said.m4a,0.2,
sentence,book_en_409_page_4_3.m4a,4.84104,
word,0,0.789379,“Now,en-uk_now.m4a,0.2,
word,0.789379,1.43936,let,en-uk_let.m4a,0.2,
word,1.43936,1.69447,us,en-uk_us.m4a,0.2,
word,1.69447,2.1641,sing,en-uk_sing.m4a,0.2,
word,2.1641,2.45596,for,en-uk_for.m4a,0.2,
word,2.45596,3.01796,rain!”,en-uk_rain.m4a,0.2,
page,5,book_en_409_page_5,wordwrap,
paragraph
sentence,book_en_409_page_5_1.m4a,0,
word,0,1.00103,Shaaban,en-uk_shaaban.m4a,0.2,
word,1.00103,1.22496,and,en-uk_and.m4a,0.2,
word,1.22496,1.43455,the,en-uk_the.m4a,0.2,
word,1.43455,2.30163,dinosaur,en-uk_dinosaur.m4a,0.2,
word,2.30163,2.73557,sang,en-uk_sang.m4a,0.2,
word,2.73557,3.21251,and,en-uk_and.m4a,0.2,
word,3.21251,4.15671,danced.,en-uk_danced.m4a,0.2,
sentence,book_en_409_page_5_2.m4a,5.15671,
word,0,0.852585,"“Rain,",en-uk_rain.m4a,0.2,
word,0.852585,2.11613,"rain,",en-uk_rain.m4a,0.2,
word,2.11613,2.89984,come,en-uk_come.m4a,0.2,
word,2.89984,3.57195,today.”,en-uk_today.m4a,0.2,
page,6,book_en_409_page_6,wordwrap,
paragraph
sentence,book_en_409_page_6_1.m4a,0,
word,0,0.896993,Together,en-uk_together.m4a,0.2,
word,0.896993,1.10294,they,en-uk_they.m4a,0.2,
word,1.10294,1.53806,sang,en-uk_sang.m4a,0.2,
word,1.53806,1.92264,and,en-uk_and.m4a,0.2,
word,1.92264,2.56929,danced,en-uk_danced.m4a,0.2,
word,2.56929,2.79371,up,en-uk_up.m4a,0.2,
word,2.79371,3.00538,a,en-uk_a.m4a,0.2,
word,3.00538,3.6307,storm.,en-uk_storm.m4a,0.2,
page,7,book_en_409_page_7,wordwrap,
paragraph
sentence,book_en_409_page_7_1.m4a,0,
word,0,0.759669,Shaaban,en-uk_shaaban.m4a,0.2,
word,0.759669,1.11049,and,en-uk_and.m4a,0.2,
word,1.11049,1.36896,the,en-uk_the.m4a,0.2,
word,1.36896,2.26207,dinosaur,en-uk_dinosaur.m4a,0.2,
word,2.26207,2.95746,enjoyed,en-uk_enjoyed.m4a,0.2,
word,2.95746,3.21149,the,en-uk_the.m4a,0.2,
word,3.21149,3.82585,rain.,en-uk_rain.m4a,0.2,
page,8,book_en_409_page_8,wordwrap,
paragraph
sentence,book_en_409_page_8_1.m4a,0,
word,0,0.61755,“I,en-uk_i.m4a,0.2,
word,0.61755,1.14292,love,en-uk_love.m4a,0.2,
word,1.14292,1.38624,the,en-uk_the.m4a,0.2,
word,1.38624,1.93658,"rain,”",en-uk_rain.m4a,0.2,
sentence,book_en_409_page_8_2.m4a,2.93658,
word,0,0.694549,said,en-uk_said.m4a,0.2,
word,0.694549,1.22717,Shaaban.,en-uk_shaaban.m4a,0.2,
sentence,book_en_409_page_8_3.m4a,5.16374,
word,0,0.392017,“I,en-uk_i.m4a,0.2,
word,0.392017,0.899653,love,en-uk_love.m4a,0.2,
word,0.899653,1.28402,my,en-uk_my.m4a,0.2,
word,1.28402,2.10224,dancing,en-uk_dancing.m4a,0.2,
word,2.10224,2.96458,dinosaur.”,en-uk_dinosaur.m4a,0.2,
