title,Let’s Do Math!,book_en_416_page_0_1.m4a,book_en_416_page_0,portrait,audio,
page,1,book_en_416_page_1,wordwrap,
paragraph
sentence,book_en_416_page_1_1.m4a,0,
word,0,0.266688,I,en-uk_i.m4a,0.2,
word,0.266688,0.533458,have,en-uk_have.m4a,0.2,
word,0.533458,0.933501,three,en-uk_three.m4a,0.2,
word,0.933501,1.41662,pebbles.,en-uk_pebbles.m4a,0.2,
page,2,book_en_416_page_2,wordwrap,
paragraph
sentence,book_en_416_page_2_1.m4a,0,
word,0,0.2,My,en-uk_my.m4a,0.2,
word,0.2,0.5,friend,en-uk_friend.m4a,0.2,
word,0.5,0.8,gives,en-uk_gives.m4a,0.2,
word,0.8,0.9,me,en-uk_me.m4a,0.2,
word,0.9,1.2,four,en-uk_four.m4a,0.2,
word,1.2,1.5,more,en-uk_more.m4a,0.2,
word,1.5,2.1,pebbles.,en-uk_pebbles.m4a,0.2,
sentence,book_en_416_page_2_2.m4a,3.35299,
word,0,0.266619,How,en-uk_how.m4a,0.2,
word,0.266619,0.516725,many,en-uk_many.m4a,0.2,
word,0.516725,0.916808,pebbles,en-uk_pebbles.m4a,0.2,
word,0.916808,1.08339,do,en-uk_do.m4a,0.2,
word,1.08339,1.24996,I,en-uk_i.m4a,0.2,
word,1.24996,1.66646,have?,en-uk_have.m4a,0.2,
page,3,book_en_416_page_3,wordwrap,
paragraph
sentence,book_en_416_page_3_1.m4a,0,
word,0,0.2,Three,en-uk_three.m4a,0.2,
word,0.2,0.7,pebbles,en-uk_pebbles.m4a,0.2,
word,0.7,1,plus,en-uk_plus.m4a,0.2,
word,1,1.3,four,en-uk_four.m4a,0.2,
word,1.3,1.8,pebbles.,en-uk_pebbles.m4a,0.2,
sentence,book_en_416_page_3_2.m4a,3.10748,
word,0,0.2,What,en-uk_what.m4a,0.2,
word,0.2,0.3,is,en-uk_is.m4a,0.2,
word,0.3,0.6,three,en-uk_three.m4a,0.2,
word,0.6,0.8,plus,en-uk_plus.m4a,0.2,
word,0.8,1.2,four?,en-uk_four.m4a,0.2,
page,4,book_en_416_page_4,wordwrap,
paragraph
sentence,book_en_416_page_4_1.m4a,0,
word,0,0.2,Three,en-uk_three.m4a,0.2,
word,0.2,0.5,plus,en-uk_plus.m4a,0.2,
word,0.5,0.7,four,en-uk_four.m4a,0.2,
word,0.7,1.1,is,en-uk_is.m4a,0.2,
word,1.1,1.6,seven!,en-uk_seven.m4a,0.2,
sentence,book_en_416_page_4_2.m4a,2.88385,
word,0,0.33349,I,en-uk_i.m4a,0.2,
word,0.33349,0.549935,have,en-uk_have.m4a,0.2,
word,0.549935,0.983208,seven,en-uk_seven.m4a,0.2,
word,0.983208,1.56668,pebbles.,en-uk_pebbles.m4a,0.2,
page,5,book_en_416_page_5,wordwrap,
paragraph
sentence,book_en_416_page_5_1.m4a,0,
word,0,0.249978,I,en-uk_i.m4a,0.2,
word,0.249978,0.383209,have,en-uk_have.m4a,0.2,
word,0.383209,0.733256,five,en-uk_five.m4a,0.2,
word,0.733256,1.02529,bottle,en-uk_bottle.m4a,0.2,
word,1.02529,1.43331,caps.,en-uk_caps.m4a,0.2,
page,6,book_en_416_page_6,wordwrap,
paragraph
sentence,book_en_416_page_6_1.m4a,0,
