title,Let’s Learn About the Clock,book_en_424_page_0_1.m4a,book_en_424_page_0,portrait,audio,
page,1,book_en_424_page_1,wordwrap,
paragraph
sentence,book_en_424_page_1_1.m4a,0,
word,0,0.283161,A,en-uk_a.m4a,0.2,
word,0.283161,0.599882,clock,en-uk_clock.m4a,0.2,
word,0.599882,1.03315,counts,en-uk_counts.m4a,0.2,
word,1.03315,1.39982,hours,en-uk_hours.m4a,0.2,
word,1.39982,1.68681,and,en-uk_and.m4a,0.2,
word,1.68681,2.35046,minutes.,en-uk_minutes.m4a,0.2,
page,2,book_en_424_page_2,wordwrap,
paragraph
sentence,book_en_424_page_2_1.m4a,0,
word,0,0.300078,The,en-uk_the.m4a,0.2,
word,0.300078,0.56692,short,en-uk_short.m4a,0.2,
word,0.56692,0.932974,hand,en-uk_hand.m4a,0.2,
word,0.932974,1.20001,points,en-uk_points.m4a,0.2,
word,1.20001,1.3499,to,en-uk_to.m4a,0.2,
word,1.3499,1.6001,the,en-uk_the.m4a,0.2,
word,1.6001,2.10001,hour.,en-uk_hour.m4a,0.2,
sentence,book_en_424_page_2_2.m4a,3.05424,
word,0,0.282893,The,en-uk_the.m4a,0.2,
word,0.282893,0.583259,long,en-uk_long.m4a,0.2,
word,0.583259,0.883102,hand,en-uk_hand.m4a,0.2,
word,0.883102,1.21678,points,en-uk_points.m4a,0.2,
word,1.21678,1.38317,to,en-uk_to.m4a,0.2,
word,1.38317,1.58328,the,en-uk_the.m4a,0.2,
word,1.58328,2.08308,minute.,en-uk_minute.m4a,0.2,
page,3,book_en_424_page_3,wordwrap,
paragraph
sentence,book_en_424_page_3_1.m4a,0,
word,0,0.300159,The,en-uk_the.m4a,0.2,
word,0.300159,0.566856,long,en-uk_long.m4a,0.2,
word,0.566856,0.833087,hand,en-uk_hand.m4a,0.2,
word,0.833087,0.983083,is,en-uk_is.m4a,0.2,
word,0.983083,1.33334,pointing,en-uk_pointing.m4a,0.2,
word,1.33334,1.48337,at,en-uk_at.m4a,0.2,
word,1.48337,1.58325,the,en-uk_the.m4a,0.2,
word,1.58325,2.08367,12.,en-uk_12.m4a,0.2,
sentence,book_en_424_page_3_2.m4a,3.138,
word,0,0.266687,The,en-uk_the.m4a,0.2,
word,0.266687,0.600512,short,en-uk_short.m4a,0.2,
word,0.600512,0.888027,hand,en-uk_hand.m4a,0.2,
word,0.888027,1.05032,is,en-uk_is.m4a,0.2,
word,1.05032,1.41677,pointing,en-uk_pointing.m4a,0.2,
word,1.41677,1.5838,at,en-uk_at.m4a,0.2,
word,1.5838,1.75078,the,en-uk_the.m4a,0.2,
word,1.75078,2.10199,1.,en-uk_1.m4a,0.2,
paragraph
sentence,book_en_424_page_3_3.m4a,6.32426,
word,0,0.333027,That,en-uk_that.m4a,0.2,
word,0.333027,0.63314,means,en-uk_means.m4a,0.2,
word,0.63314,0.866212,it,en-uk_it.m4a,0.2,
word,0.866212,0.982639,is,en-uk_is.m4a,0.2,
word,0.982639,1.33303,one,en-uk_one.m4a,0.2,
word,1.33303,1.93292,o’clock.,en-uk_o'clock.m4a,0.2,
page,4,book_en_424_page_4,wordwrap,
paragraph
sentence,book_en_424_page_4_1.m4a,0,
word,0,0.266775,The,en-uk_the.m4a,0.2,
word,0.266775,0.566271,long,en-uk_long.m4a,0.2,
word,0.566271,0.933273,hand,en-uk_hand.m4a,0.2,
word,0.933273,1.09983,is,en-uk_is.m4a,0.2,
