title,Life in the Ocean,book_en_426_page_0_1.m4a,book_en_426_page_0,portrait,audio,
page,1,book_en_426_page_1,wordwrap,
paragraph
sentence,book_en_426_page_1_1.m4a,0,
word,0,0.282845,The,en-uk_the.m4a,0.2,
word,0.282845,0.649629,ocean,en-uk_ocean.m4a,0.2,
word,0.649629,0.816139,is,en-uk_is.m4a,0.2,
word,0.816139,1.13324,made,en-uk_made.m4a,0.2,
word,1.13324,1.24962,of,en-uk_of.m4a,0.2,
word,1.24962,1.91676,water.,en-uk_water.m4a,0.2,
sentence,book_en_426_page_1_2.m4a,2.92939,
word,0,0.350767,Many,en-uk_many.m4a,0.2,
word,0.350767,0.667422,kinds,en-uk_kinds.m4a,0.2,
word,0.667422,0.884027,of,en-uk_of.m4a,0.2,
word,0.884027,1.28404,animals,en-uk_animals.m4a,0.2,
word,1.28404,1.517,live,en-uk_live.m4a,0.2,
word,1.517,1.76718,in,en-uk_in.m4a,0.2,
word,1.76718,1.95072,the,en-uk_the.m4a,0.2,
word,1.95072,2.48489,ocean.,en-uk_ocean.m4a,0.2,
page,2,book_en_426_page_2,wordwrap,
paragraph
sentence,book_en_426_page_2_1.m4a,0,
word,0,0.366658,This,en-uk_this.m4a,0.2,
word,0.366658,0.61633,is,en-uk_is.m4a,0.2,
word,0.61633,0.749661,a,en-uk_a.m4a,0.2,
word,0.749661,1.45013,clownfish.,en-uk_clownfish.m4a,0.2,
sentence,book_en_426_page_2_2.m4a,2.58224,
word,0,0.283119,The,en-uk_the.m4a,0.2,
word,0.283119,0.749774,clownfish,en-uk_clownfish.m4a,0.2,
word,0.749774,1.04403,has,en-uk_has.m4a,0.2,
word,1.04403,1.49989,stripes,en-uk_stripes.m4a,0.2,
word,1.49989,1.73315,of,en-uk_of.m4a,0.2,
word,1.73315,2.31652,color.,en-uk_color.m4a,0.2,
page,3,book_en_426_page_3,wordwrap,
paragraph
sentence,book_en_426_page_3_1.m4a,0,
word,0,0.433691,This,en-uk_this.m4a,0.2,
word,0.433691,0.666745,is,en-uk_is.m4a,0.2,
word,0.666745,0.83374,a,en-uk_a.m4a,0.2,
word,0.83374,1.40045,turtle.,en-uk_turtle.m4a,0.2,
sentence,book_en_426_page_3_2.m4a,2.40465,
word,0,0.316983,The,en-uk_the.m4a,0.2,
word,0.316983,0.666662,turtle,en-uk_turtle.m4a,0.2,
word,0.666662,0.969126,has,en-uk_has.m4a,0.2,
word,0.969126,1.11692,a,en-uk_a.m4a,0.2,
word,1.11692,1.41111,hard,en-uk_hard.m4a,0.2,
word,1.41111,1.7836,shell,en-uk_shell.m4a,0.2,
word,1.7836,1.95004,on,en-uk_on.m4a,0.2,
word,1.95004,2.08669,its,en-uk_its.m4a,0.2,
word,2.08669,2.58346,back.,en-uk_back.m4a,0.2,
page,4,book_en_426_page_4,wordwrap,
paragraph
sentence,book_en_426_page_4_1.m4a,0,
word,0,0.383898,This,en-uk_this.m4a,0.2,
word,0.383898,0.567472,is,en-uk_is.m4a,0.2,
word,0.567472,0.750615,a,en-uk_a.m4a,0.2,
word,0.750615,1.28382,ray.,en-uk_ray.m4a,0.2,
sentence,book_en_426_page_4_2.m4a,2.25127,
word,0,0.317166,The,en-uk_the.m4a,0.2,
word,0.317166,0.667768,ray,en-uk_ray.m4a,0.2,
word,0.667768,0.850545,has,en-uk_has.m4a,0.2,
word,0.850545,1.23379,wings,en-uk_wings.m4a,0.2,
word,1.23379,1.5001,like,en-uk_like.m4a,0.2,
word,1.5001,1.70036,a,en-uk_a.m4a,0.2,
word,1.70036,2.2672,bird.,en-uk_bird.m4a,0.2,
page,5,book_en_426_page_5,wordwrap,
paragraph
sentence,book_en_426_page_5_1.m4a,0,
word,0,0.41682,This,en-uk_this.m4a,0.2,
word,0.41682,0.617071,is,en-uk_is.m4a,0.2,
word,0.617071,0.800162,an,en-uk_an.m4a,0.2,
word,0.800162,1.48381,octopus.,en-uk_octopus.m4a,0.2,
sentence,book_en_426_page_5_2.m4a,2.5419,
word,0,0.316889,The,en-uk_the.m4a,0.2,
word,0.316889,0.799516,octopus,en-uk_octopus.m4a,0.2,
word,0.799516,1.04984,has,en-uk_has.m4a,0.2,
word,1.04984,1.43286,eight,en-uk_eight.m4a,0.2,
word,1.43286,2.04982,arms.,en-uk_arms.m4a,0.2,
page,6,book_en_426_page_6,wordwrap,
paragraph
sentence,book_en_426_page_6_1.m4a,0,
word,0,0.349888,This,en-uk_this.m4a,0.2,
word,0.349888,0.583955,is,en-uk_is.m4a,0.2,
word,0.583955,0.78271,a,en-uk_a.m4a,0.2,
word,0.78271,1.36705,seahorse.,en-uk_seahorse.m4a,0.2,
sentence,book_en_426_page_6_2.m4a,2.50961,
word,0,0.316874,The,en-uk_the.m4a,0.2,
word,0.316874,0.816824,seahorse,en-uk_seahorse.m4a,0.2,
word,0.816824,1.03326,looks,en-uk_looks.m4a,0.2,
word,1.03326,1.3666,very,en-uk_very.m4a,0.2,
word,1.3666,2.25095,strange!,en-uk_strange.m4a,0.2,
page,7,book_en_426_page_7,wordwrap,
paragraph
sentence,book_en_426_page_7_1.m4a,0,
word,0,0.350077,These,en-uk_these.m4a,0.2,
word,0.350077,0.616893,are,en-uk_are.m4a,0.2,
word,0.616893,1.28391,dolphins.,en-uk_dolphins.m4a,0.2,
sentence,book_en_426_page_7_2.m4a,2.34476,
word,0,0.417,Dolphins,en-uk_dolphins.m4a,0.2,
word,0.417,0.816791,love,en-uk_love.m4a,0.2,
word,0.816791,0.9838,to,en-uk_to.m4a,0.2,
word,0.9838,1.36669,swim,en-uk_swim.m4a,0.2,
word,1.36669,1.5335,with,en-uk_with.m4a,0.2,
word,1.5335,1.63339,their,en-uk_their.m4a,0.2,
word,1.63339,2.28375,friends.,en-uk_friends.m4a,0.2,
