title,Don’t Give Up!,book_en_504_page_0_1.m4a,book_en_504_page_0,portrait,audio,
page,1,book_en_504_page_1,wordwrap,
paragraph
sentence,book_en_504_page_1_1.m4a,0,
word,0,0.358825,In,en-uk_in.m4a,0.2,
word,0.358825,0.568761,the,en-uk_the.m4a,0.2,
word,0.568761,1.64388,"morning,",en-uk_morning.m4a,0.2,
word,1.64388,2.30139,Fox,en-uk_fox.m4a,0.2,
word,2.30139,2.60154,went,en-uk_went.m4a,0.2,
word,2.60154,2.81927,for,en-uk_for.m4a,0.2,
word,2.81927,2.99469,a,en-uk_a.m4a,0.2,
word,2.99469,3.45497,walk.,en-uk_walk.m4a,0.2,
sentence,book_en_504_page_1_2.m4a,4.45497,
word,0,0.40002,He,en-uk_he.m4a,0.2,
word,0.40002,1.1655,walked,en-uk_walked.m4a,0.2,
word,1.1655,1.55735,until,en-uk_until.m4a,0.2,
word,1.55735,1.80742,the,en-uk_the.m4a,0.2,
word,1.80742,2.31727,sun,en-uk_sun.m4a,0.2,
word,2.31727,2.53404,was,en-uk_was.m4a,0.2,
word,2.53404,3.18612,high.,en-uk_high.m4a,0.2,
sentence,book_en_504_page_1_3.m4a,8.64109,
word,0,0.404585,His,en-uk_his.m4a,0.2,
word,0.404585,1.34522,stomach,en-uk_stomach.m4a,0.2,
word,1.34522,2.33859,rumbled,en-uk_rumbled.m4a,0.2,
word,2.33859,2.53909,with,en-uk_with.m4a,0.2,
word,2.53909,3.16122,hunger.,en-uk_hunger.m4a,0.2,
page,2,book_en_504_page_2,wordwrap,
paragraph
sentence,book_en_504_page_2_1.m4a,0,
word,0,0.278216,He,en-uk_he.m4a,0.2,
word,0.278216,0.844556,looked,en-uk_looked.m4a,0.2,
word,0.844556,1.21166,all,en-uk_all.m4a,0.2,
word,1.21166,2.41225,around,en-uk_around.m4a,0.2,
word,2.41225,2.62073,for,en-uk_for.m4a,0.2,
word,2.62073,3.25413,something,en-uk_something.m4a,0.2,
word,3.25413,3.47912,to,en-uk_to.m4a,0.2,
word,3.47912,3.89553,eat.,en-uk_eat.m4a,0.2,
sentence,book_en_504_page_2_2.m4a,4.89553,
word,0,0.417096,He,en-uk_he.m4a,0.2,
word,0.417096,0.918501,saw,en-uk_saw.m4a,0.2,
word,0.918501,1.16882,some,en-uk_some.m4a,0.2,
word,1.16882,2.15242,grapes,en-uk_grapes.m4a,0.2,
word,2.15242,3.15167,high,en-uk_high.m4a,0.2,
word,3.15167,3.35319,in,en-uk_in.m4a,0.2,
word,3.35319,3.56184,a,en-uk_a.m4a,0.2,
word,3.56184,4.07975,tree.,en-uk_tree.m4a,0.2,
sentence,book_en_504_page_2_3.m4a,9.97528,
word,0,0.522942,They,en-uk_they.m4a,0.2,
word,0.522942,0.782058,must,en-uk_must.m4a,0.2,
word,0.782058,1.13916,be,en-uk_be.m4a,0.2,
word,1.13916,1.76187,so,en-uk_so.m4a,0.2,
word,1.76187,2.65673,sweet!,en-uk_sweet.m4a,0.2,
sentence,book_en_504_page_2_4.m4a,13.632,
word,0,0.617192,How,en-uk_how.m4a,0.2,
word,0.617192,0.785047,could,en-uk_could.m4a,0.2,
word,0.785047,0.993844,he,en-uk_he.m4a,0.2,
word,0.993844,1.39254,get,en-uk_get.m4a,0.2,
word,1.39254,1.79719,them?,en-uk_them.m4a,0.2,
page,3,book_en_504_page_3,wordwrap,
paragraph
sentence,book_en_504_page_3_1.m4a,0,
word,0,0.949948,Fox,en-uk_fox.m4a,0.2,
word,0.949948,1.86684,reached,en-uk_reached.m4a,0.2,
word,1.86684,2.02595,with,en-uk_with.m4a,0.2,
word,2.02595,2.22573,his,en-uk_his.m4a,0.2,
word,2.22573,2.99454,arms.,en-uk_arms.m4a,0.2,
sentence,book_en_504_page_3_2.m4a,3.99454,
word,0,0.47712,He,en-uk_he.m4a,0.2,
word,0.47712,0.726529,could,en-uk_could.m4a,0.2,
word,0.726529,1.5187,almost,en-uk_almost.m4a,0.2,
word,1.5187,2.07182,taste,en-uk_taste.m4a,0.2,
word,2.07182,2.30368,the,en-uk_the.m4a,0.2,
word,2.30368,3.17367,grapes!,en-uk_grapes.m4a,0.2,
sentence,book_en_504_page_3_3.m4a,8.16821,
word,0,0.650509,He,en-uk_he.m4a,0.2,
word,0.650509,1.77742,jumped,en-uk_jumped.m4a,0.2,
word,1.77742,1.9857,as,en-uk_as.m4a,0.2,
word,1.9857,2.53819,high,en-uk_high.m4a,0.2,
word,2.53819,2.87831,as,en-uk_as.m4a,0.2,
word,2.87831,3.11002,he,en-uk_he.m4a,0.2,
word,3.11002,3.52986,could.,en-uk_could.m4a,0.2,
sentence,book_en_504_page_3_4.m4a,12.6981,
word,0,0.441476,He,en-uk_he.m4a,0.2,
word,0.441476,0.992116,tried,en-uk_tried.m4a,0.2,
word,0.992116,1.20105,to,en-uk_to.m4a,0.2,
word,1.20105,1.87557,grab,en-uk_grab.m4a,0.2,
word,1.87557,2.09265,the,en-uk_the.m4a,0.2,
word,2.09265,2.92238,grapes.,en-uk_grapes.m4a,0.2,
page,4,book_en_504_page_4,wordwrap,
paragraph
sentence,book_en_504_page_4_1.m4a,0,
word,0,0.77538,Fox,en-uk_fox.m4a,0.2,
word,0.77538,1.45206,fell,en-uk_fell.m4a,0.2,
word,1.45206,1.65163,to,en-uk_to.m4a,0.2,
word,1.65163,1.85254,the,en-uk_the.m4a,0.2,
word,1.85254,2.54712,ground.,en-uk_ground.m4a,0.2,
sentence,book_en_504_page_4_2.m4a,3.54712,
word,0,0.432873,He,en-uk_he.m4a,0.2,
word,0.432873,0.791997,held,en-uk_held.m4a,0.2,
word,0.791997,1.6419,nothing,en-uk_nothing.m4a,0.2,
word,1.6419,1.80056,in,en-uk_in.m4a,0.2,
word,1.80056,2.02552,his,en-uk_his.m4a,0.2,
word,2.02552,3.01612,paws.,en-uk_paws.m4a,0.2,
sentence,book_en_504_page_4_3.m4a,7.56324,
word,0,0.335423,The,en-uk_the.m4a,0.2,
