title,A Happy Kingdom,book_en_508_page_0_1.m4a,book_en_508_page_0,portrait,audio,
page,1,book_en_508_page_1,wordwrap,
paragraph
sentence,book_en_508_page_1_1.m4a,0,
word,0.372435,1.18054,Once,en-uk_once.m4a,0.2,
word,1.18054,1.36534,there,en-uk_there.m4a,0.2,
word,1.36534,1.56424,was,en-uk_was.m4a,0.2,
word,1.56424,1.73103,a,en-uk_a.m4a,0.2,
word,1.73103,2.2654,happy,en-uk_happy.m4a,0.2,
word,2.2654,2.60585,king.,en-uk_king.m4a,0.2,
sentence,book_en_508_page_1_2.m4a,3.60585,
word,0.346222,0.663097,He,en-uk_he.m4a,0.2,
word,0.663097,1.12998,wanted,en-uk_wanted.m4a,0.2,
word,1.12998,1.88822,all,en-uk_all.m4a,0.2,
word,1.88822,2.06405,the,en-uk_the.m4a,0.2,
word,2.06405,2.60678,people,en-uk_people.m4a,0.2,
word,2.60678,2.79065,and,en-uk_and.m4a,0.2,
word,2.79065,3.61512,animals,en-uk_animals.m4a,0.2,
word,3.61512,3.80749,in,en-uk_in.m4a,0.2,
word,3.80749,4.12317,his,en-uk_his.m4a,0.2,
word,4.12317,4.71586,kingdom,en-uk_kingdom.m4a,0.2,
word,4.71586,4.8493,to,en-uk_to.m4a,0.2,
word,4.8493,5.01599,be,en-uk_be.m4a,0.2,
word,5.01599,5.57478,"happy,",en-uk_happy.m4a,0.2,
word,5.57478,5.83633,too.,en-uk_too.m4a,0.2,
sentence,book_en_508_page_1_3.m4a,10.4422,
word,0.391089,0.516022,He,en-uk_he.m4a,0.2,
word,0.516022,1.26724,decided,en-uk_decided.m4a,0.2,
word,1.26724,1.49196,to,en-uk_to.m4a,0.2,
word,1.49196,1.79255,hold,en-uk_hold.m4a,0.2,
word,1.79255,2.05028,a,en-uk_a.m4a,0.2,
word,2.05028,2.85476,festival,en-uk_festival.m4a,0.2,
word,2.85476,3.06426,for,en-uk_for.m4a,0.2,
word,3.06426,3.3499,his,en-uk_his.m4a,0.2,
word,3.3499,3.91483,subjects.,en-uk_subjects.m4a,0.2,
page,2,book_en_508_page_2,wordwrap,
paragraph
sentence,book_en_508_page_2_1.m4a,0,
word,0.300605,1.08385,Singing,en-uk_singing.m4a,0.2,
word,1.08385,1.28455,and,en-uk_and.m4a,0.2,
word,1.28455,2.28528,dancing,en-uk_dancing.m4a,0.2,
word,2.28528,2.54368,made,en-uk_made.m4a,0.2,
word,2.54368,2.93558,the,en-uk_the.m4a,0.2,
word,2.93558,3.20234,king,en-uk_king.m4a,0.2,
word,3.20234,3.83172,happy.,en-uk_happy.m4a,0.2,
sentence,book_en_508_page_2_2.m4a,4.83172,
word,0.282068,0.449293,“I,en-uk_i.m4a,0.2,
word,0.449293,0.699437,will,en-uk_will.m4a,0.2,
word,0.699437,1.13311,sing,en-uk_sing.m4a,0.2,
word,1.13311,1.33385,a,en-uk_a.m4a,0.2,
word,1.33385,2.01707,song,en-uk_song.m4a,0.2,
word,2.01707,2.16712,to,en-uk_to.m4a,0.2,
word,2.16712,2.71755,announce,en-uk_announce.m4a,0.2,
word,2.71755,2.90156,the,en-uk_the.m4a,0.2,
word,2.90156,3.4912,festival.,en-uk_festival.m4a,0.2,
sentence,book_en_508_page_2_3.m4a,9.32292,
word,0.286621,0.467649,I,en-uk_i.m4a,0.2,
word,0.467649,0.751509,will,en-uk_will.m4a,0.2,
word,0.751509,1.18482,ask,en-uk_ask.m4a,0.2,
