title,What is Rain?,book_en_510_page_0_1.m4a,book_en_510_page_0,portrait,audio,
page,1,book_en_510_page_1,wordwrap,
paragraph
sentence,book_en_510_page_1_1.m4a,0,
word,0,0.333119,When,en-uk_when.m4a,0.2,
word,0.333119,0.566516,you,en-uk_you.m4a,0.2,
word,0.566516,0.816436,look,en-uk_look.m4a,0.2,
word,0.816436,1.00017,up,en-uk_up.m4a,0.2,
word,1.00017,1.15032,in,en-uk_in.m4a,0.2,
word,1.15032,1.26681,the,en-uk_the.m4a,0.2,
word,1.26681,1.6351,sky,en-uk_sky.m4a,0.2,
word,1.6351,1.86651,and,en-uk_and.m4a,0.2,
word,1.86651,2.09983,see,en-uk_see.m4a,0.2,
word,2.09983,2.24939,many,en-uk_many.m4a,0.2,
word,2.24939,2.5998,dark,en-uk_dark.m4a,0.2,
word,2.5998,3.44973,"clouds,",en-uk_clouds.m4a,0.2,
word,3.44973,3.83283,it,en-uk_it.m4a,0.2,
word,3.83283,4.08313,might,en-uk_might.m4a,0.2,
word,4.08313,4.40118,mean,en-uk_mean.m4a,0.2,
word,4.40118,4.56649,that,en-uk_that.m4a,0.2,
word,4.56649,4.81658,rain,en-uk_rain.m4a,0.2,
word,4.81658,4.96641,is,en-uk_is.m4a,0.2,
word,4.96641,5.31663,coming,en-uk_coming.m4a,0.2,
word,5.31663,5.87109,soon.,en-uk_soon.m4a,0.2,
sentence,book_en_510_page_1_2.m4a,6.87109,
word,0,0.500392,Rain,en-uk_rain.m4a,0.2,
word,0.500392,0.900065,comes,en-uk_comes.m4a,0.2,
word,0.900065,1.11639,from,en-uk_from.m4a,0.2,
word,1.11639,1.79918,clouds.,en-uk_clouds.m4a,0.2,
sentence,book_en_510_page_1_3.m4a,9.67027,
word,0,0.432804,Clouds,en-uk_clouds.m4a,0.2,
word,0.432804,0.699622,are,en-uk_are.m4a,0.2,
word,0.699622,1.14988,actually,en-uk_actually.m4a,0.2,
word,1.14988,1.33259,made,en-uk_made.m4a,0.2,
word,1.33259,1.65195,from,en-uk_from.m4a,0.2,
word,1.65195,2.01673,rain,en-uk_rain.m4a,0.2,
word,2.01673,2.18276,that,en-uk_that.m4a,0.2,
word,2.18276,2.36639,has,en-uk_has.m4a,0.2,
word,2.36639,2.54952,not,en-uk_not.m4a,0.2,
word,2.54952,2.96674,fallen,en-uk_fallen.m4a,0.2,
word,2.96674,3.56129,yet.,en-uk_yet.m4a,0.2,
page,2,book_en_510_page_2,wordwrap,
paragraph
sentence,book_en_510_page_2_1.m4a,0,
word,0,0.433344,Rain,en-uk_rain.m4a,0.2,
word,0.433344,0.70018,is,en-uk_is.m4a,0.2,
word,0.70018,0.983236,what,en-uk_what.m4a,0.2,
word,0.983236,1.16624,we,en-uk_we.m4a,0.2,
word,1.16624,1.39999,call,en-uk_call.m4a,0.2,
word,1.39999,1.91659,water,en-uk_water.m4a,0.2,
word,1.91659,2.08316,that,en-uk_that.m4a,0.2,
word,2.08316,2.26632,falls,en-uk_falls.m4a,0.2,
word,2.26632,2.59966,from,en-uk_from.m4a,0.2,
word,2.59966,2.73322,the,en-uk_the.m4a,0.2,
word,2.73322,3.34345,sky.,en-uk_sky.m4a,0.2,
sentence,book_en_510_page_2_2.m4a,4.34345,
word,0,0.350414,Rain,en-uk_rain.m4a,0.2,
word,0.350414,0.617093,is,en-uk_is.m4a,0.2,
word,0.617093,0.983618,just,en-uk_just.m4a,0.2,
word,0.983618,1.20008,like,en-uk_like.m4a,0.2,
word,1.20008,1.43358,the,en-uk_the.m4a,0.2,
word,1.43358,1.8005,water,en-uk_water.m4a,0.2,
word,1.8005,1.9835,that,en-uk_that.m4a,0.2,
word,1.9835,2.1499,we,en-uk_we.m4a,0.2,
word,2.1499,2.46105,drink,en-uk_drink.m4a,0.2,
word,2.46105,2.70025,every,en-uk_every.m4a,0.2,
word,2.70025,3.4163,day.,en-uk_day.m4a,0.2,
page,3,book_en_510_page_3,wordwrap,
paragraph
sentence,book_en_510_page_3_1.m4a,0,
word,0,0.366974,These,en-uk_these.m4a,0.2,
word,0.366974,0.617106,are,en-uk_are.m4a,0.2,
word,0.617106,1.15041,raindrops,en-uk_raindrops.m4a,0.2,
word,1.15041,1.53368,sitting,en-uk_sitting.m4a,0.2,
word,1.53368,1.70038,on,en-uk_on.m4a,0.2,
word,1.70038,1.85318,a,en-uk_a.m4a,0.2,
word,1.85318,2.35078,leaf.,en-uk_leaf.m4a,0.2,
sentence,book_en_510_page_3_2.m4a,3.31186,
word,0,0.266366,The,en-uk_the.m4a,0.2,
word,0.266366,0.599684,rain,en-uk_rain.m4a,0.2,
word,0.599684,0.783107,that,en-uk_that.m4a,0.2,
word,0.783107,1.04993,falls,en-uk_falls.m4a,0.2,
word,1.04993,1.26615,from,en-uk_from.m4a,0.2,
word,1.26615,1.38291,the,en-uk_the.m4a,0.2,
word,1.38291,1.81636,sky,en-uk_sky.m4a,0.2,
word,1.81636,2.03293,is,en-uk_is.m4a,0.2,
word,2.03293,2.34293,made,en-uk_made.m4a,0.2,
word,2.34293,2.58303,from,en-uk_from.m4a,0.2,
word,2.58303,2.89396,many,en-uk_many.m4a,0.2,
word,2.89396,3.11665,of,en-uk_of.m4a,0.2,
word,3.11665,3.38287,these,en-uk_these.m4a,0.2,
word,3.38287,3.71626,tiny,en-uk_tiny.m4a,0.2,
word,3.71626,4.61351,raindrops.,en-uk_raindrops.m4a,0.2,
page,4,book_en_510_page_4,wordwrap,
paragraph
sentence,book_en_510_page_4_1.m4a,0,
word,0,0.366279,Rain,en-uk_rain.m4a,0.2,
word,0.366279,0.58305,is,en-uk_is.m4a,0.2,
word,0.58305,0.966329,very,en-uk_very.m4a,0.2,
word,0.966329,1.61642,important,en-uk_important.m4a,0.2,
word,1.61642,1.83334,for,en-uk_for.m4a,0.2,
word,1.83334,1.99963,our,en-uk_our.m4a,0.2,
word,1.99963,2.49976,earth,en-uk_earth.m4a,0.2,
word,2.49976,2.69943,and,en-uk_and.m4a,0.2,
word,2.69943,2.86648,the,en-uk_the.m4a,0.2,
word,2.86648,3.13299,plants,en-uk_plants.m4a,0.2,
word,3.13299,3.36645,that,en-uk_that.m4a,0.2,
word,3.36645,3.68579,live,en-uk_live.m4a,0.2,
word,3.68579,4.18315,here.,en-uk_here.m4a,0.2,
sentence,book_en_510_page_4_2.m4a,5.10143,
word,0,0.33367,Just,en-uk_just.m4a,0.2,
word,0.33367,0.599775,like,en-uk_like.m4a,0.2,
word,0.599775,1.13305,"humans,",en-uk_humans.m4a,0.2,
word,1.13305,1.71653,plants,en-uk_plants.m4a,0.2,
word,1.71653,2.10001,must,en-uk_must.m4a,0.2,
word,2.10001,2.43293,drink,en-uk_drink.m4a,0.2,
word,2.43293,2.78289,water,en-uk_water.m4a,0.2,
word,2.78289,2.96614,to,en-uk_to.m4a,0.2,
word,2.96614,3.65667,survive.,en-uk_survive.m4a,0.2,
page,5,book_en_510_page_5,wordwrap,
paragraph
sentence,book_en_510_page_5_1.m4a,0,
word,0,0.549985,Sometimes,en-uk_sometimes.m4a,0.2,
word,0.549985,0.766821,it,en-uk_it.m4a,0.2,
word,0.766821,1.13364,rains,en-uk_rains.m4a,0.2,
word,1.13364,1.2835,too,en-uk_too.m4a,0.2,
word,1.2835,1.88353,"much,",en-uk_much.m4a,0.2,
word,1.88353,2.18709,and,en-uk_and.m4a,0.2,
word,2.18709,2.40024,the,en-uk_the.m4a,0.2,
word,2.40024,2.75004,water,en-uk_water.m4a,0.2,
word,2.75004,3.0518,fills,en-uk_fills.m4a,0.2,
word,3.0518,3.28333,up,en-uk_up.m4a,0.2,
word,3.28333,3.48347,the,en-uk_the.m4a,0.2,
word,3.48347,4.08333,ground.,en-uk_ground.m4a,0.2,
sentence,book_en_510_page_5_2.m4a,5.0573,
word,0,0.316673,We,en-uk_we.m4a,0.2,
word,0.316673,0.566674,call,en-uk_call.m4a,0.2,
word,0.566674,0.886452,this,en-uk_this.m4a,0.2,
word,0.886452,1.04982,a,en-uk_a.m4a,0.2,
word,1.04982,1.61778,flood.,en-uk_flood.m4a,0.2,
paragraph
sentence,book_en_510_page_5_3.m4a,7.64431,
word,0,0.284081,When,en-uk_when.m4a,0.2,
word,0.284081,0.484052,it,en-uk_it.m4a,0.2,
word,0.484052,0.934108,"floods,",en-uk_floods.m4a,0.2,
word,0.934108,1.3177,it,en-uk_it.m4a,0.2,
word,1.3177,1.56724,might,en-uk_might.m4a,0.2,
word,1.56724,1.93388,seem,en-uk_seem.m4a,0.2,
word,1.93388,2.13425,like,en-uk_like.m4a,0.2,
word,2.13425,2.40051,there,en-uk_there.m4a,0.2,
word,2.40051,2.56716,is,en-uk_is.m4a,0.2,
word,2.56716,2.6841,a,en-uk_a.m4a,0.2,
word,2.6841,2.95059,lake,en-uk_lake.m4a,0.2,
word,2.95059,3.13396,or,en-uk_or.m4a,0.2,
word,3.13396,3.31725,a,en-uk_a.m4a,0.2,
word,3.31725,3.62964,river,en-uk_river.m4a,0.2,
word,3.62964,3.80071,where,en-uk_where.m4a,0.2,
word,3.80071,3.92855,it,en-uk_it.m4a,0.2,
word,3.92855,4.15074,does,en-uk_does.m4a,0.2,
word,4.15074,4.33406,not,en-uk_not.m4a,0.2,
word,4.33406,4.86734,belong.,en-uk_belong.m4a,0.2,
sentence,book_en_510_page_5_4.m4a,13.4763,
word,0,0.399931,Floods,en-uk_floods.m4a,0.2,
word,0.399931,0.63343,can,en-uk_can.m4a,0.2,
word,0.63343,0.866921,be,en-uk_be.m4a,0.2,
word,0.866921,1.36688,"dangerous,",en-uk_dangerous.m4a,0.2,
word,1.36688,1.98346,so,en-uk_so.m4a,0.2,
word,1.98346,2.2329,be,en-uk_be.m4a,0.2,
word,2.2329,2.97195,careful.,en-uk_careful.m4a,0.2,
page,6,book_en_510_page_6,wordwrap,
paragraph
sentence,book_en_510_page_6_1.m4a,0,
word,0,0.333649,When,en-uk_when.m4a,0.2,
word,0.333649,0.499738,the,en-uk_the.m4a,0.2,
word,0.499738,0.833614,clouds,en-uk_clouds.m4a,0.2,
word,0.833614,1.03371,move,en-uk_move.m4a,0.2,
word,1.03371,1.63333,"away,",en-uk_away.m4a,0.2,
word,1.63333,2.06664,the,en-uk_the.m4a,0.2,
word,2.06664,2.38503,rain,en-uk_rain.m4a,0.2,
word,2.38503,2.6857,goes,en-uk_goes.m4a,0.2,
word,2.6857,3.09992,"away,",en-uk_away.m4a,0.2,
word,3.09992,3.59111,too.,en-uk_too.m4a,0.2,
sentence,book_en_510_page_6_2.m4a,4.59111,
word,0,0.366993,Then,en-uk_then.m4a,0.2,
word,0.366993,0.583434,the,en-uk_the.m4a,0.2,
word,0.583434,0.916836,sun,en-uk_sun.m4a,0.2,
word,0.916836,1.15027,comes,en-uk_comes.m4a,0.2,
word,1.15027,1.70011,out.,en-uk_out.m4a,0.2,
paragraph
sentence,book_en_510_page_6_3.m4a,7.25193,
word,0,0.317,The,en-uk_the.m4a,0.2,
word,0.317,0.666671,sun,en-uk_sun.m4a,0.2,
word,0.666671,0.866821,is,en-uk_is.m4a,0.2,
word,0.866821,1.5,warm.,en-uk_warm.m4a,0.2,
sentence,book_en_510_page_6_4.m4a,9.75193,
word,0,0.300285,Heat,en-uk_heat.m4a,0.2,
word,0.300285,0.533691,from,en-uk_from.m4a,0.2,
word,0.533691,0.683824,the,en-uk_the.m4a,0.2,
word,0.683824,1.0501,sun,en-uk_sun.m4a,0.2,
word,1.0501,1.25046,will,en-uk_will.m4a,0.2,
word,1.25046,1.51713,dry,en-uk_dry.m4a,0.2,
word,1.51713,1.80048,out,en-uk_out.m4a,0.2,
word,1.80048,1.96726,the,en-uk_the.m4a,0.2,
word,1.96726,2.36745,ground,en-uk_ground.m4a,0.2,
word,2.36745,2.6002,that,en-uk_that.m4a,0.2,
word,2.6002,2.71709,was,en-uk_was.m4a,0.2,
word,2.71709,2.98382,wet,en-uk_wet.m4a,0.2,
word,2.98382,3.26676,from,en-uk_from.m4a,0.2,
word,3.26676,3.46672,the,en-uk_the.m4a,0.2,
word,3.46672,4.03479,rain.,en-uk_rain.m4a,0.2,
