title,,e.m4a,book_en_e.jpg,square,audio
page,1,egg.png,wordwrap,,
paragraph,,,,,
sentence,egg.m4a,0,,,
word,0,1.5,egg,egg.m4a,
page,2,ear.png,wordwrap,,
paragraph,,,,,
sentence,ear.m4a,0,,,
word,0,1.5,ear,ear.m4a,
page,3,electricity.png,wordwrap,,
paragraph,,,,,
sentence,electricity.m4a,0,,,
word,0,1.5,electricity,electricity.m4a,
page,4,earring.png,wordwrap,,
paragraph,,,,,
sentence,earring.m4a,0,,,
word,0,1.5,earring,earring.m4a,
page,5,elephant.png,wordwrap,,
paragraph,,,,,
sentence,elephant.m4a,0,,,
word,0,1.5,elephant,elephant.m4a,
page,6,eye.png,wordwrap,,
paragraph,,,,,
sentence,eye.m4a,0,,,
word,0,1.5,eye,eye.m4a,
