title,,y.m4a,book_en_y.jpg,square,audio
page,1,yam.png,wordwrap,,
paragraph,,,,,
sentence,yam.m4a,0,,,
word,0,1.5,yam,yam.m4a,
page,2,yarn.png,wordwrap,,
paragraph,,,,,
sentence,yarn.m4a,0,,,
word,0,1.5,yarn,yarn.m4a,
page,3,yolk.png,wordwrap,,
paragraph,,,,,
sentence,yolk.m4a,0,,,
word,0,1.5,yolk,yolk.m4a,
page,4,yoyo.png,wordwrap,,
paragraph,,,,,
sentence,yoyo.m4a,0,,,
word,0,1.5,yoyo,yoyo.m4a,
page,5,yellow.png,wordwrap,,
paragraph,,,,,
sentence,yellow.m4a,0,,,
word,0,1.5,yellow,yellow.m4a,
page,6,yogurt.png,wordwrap,,
paragraph,,,,,
sentence,yogurt.m4a,0,,,
word,0,1.5,yogurt,yogurt.m4a,
