#missing_number - questionoption1: 숫자 간 간격 / questionoption2: 괄호 위치(미지정 시 랜덤) / questionoption3: ascending, descending 지정 가능, 없으면 둘 중 하나 / answerpoint1: 시작 수 세팅 (10=10의 배수, 5=5의 배수..), 없으면 랜덤                                                                                         #operations_with_objects - questionoption2: regroupingtrue시 받아올림,받아내림 강제. regroupingfalse시 받아올림, 받아내림 없음. 없으면 둘 중 하나.                                                                                         #operations_without_objects - questionoption3: vertical시 세로 연산. horizontal시 가로 연산. 없으면 둘 중 하나.                                                                                         #biggest_and_smallest - questionoption1: biggest시 가장 큰 수. smallest시 가장 작은 수.                                                                                         #bigger_and_smaller - questionoption1: bigger시 더 큰 수. smaller시 더 작은 수. / questionoption2: image, number 지정, 없으면 둘 중 하나 / questionoption3: image의 경우 lineup을 기재하면 정렬됨                                                                                         #compare_number_magnitudes - questionoption1: ascending, descending 지정 가능, 없으면 둘 중 하나 / answeroption1: 숫자 간 간격 지정, 없으면 지정하지 않음.                                                                                         #shapes - questionoption1: 질문, 음성 파일 명과 일치해야 함 / answerrange: 항목 중 답변을 하나 선택. 이미지 파일 명과 일치해야 함 / answeroption1 항목 중 보기 선택. 이미지 파일 명과 일치해야 함"														
#level	worksheet	leveltypesequence	type	templatename	questionoption1	questionoption2	questionoption3	questionoption4	questionoption5	answer	answeroption1			
PostTest_1	1	1001, 1001, 1002, 1002, 1003, 1004, 1004, 1005, 1005, 1006												
			1001	single_digit_numbers	कितने हैं?					1~5				
			1002	single_digit_numbers	कितने हैं?					4~9				
			1003	2digit_numbers	कितने हैं?					10	5~10			
			1004	recognize_number						1~9				
			1005	number_identification						1~9				
			1006	recognize_number						10	5~10			
PostTest_2	1	2001, 2002, 2001~2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009												
			2001	2digit_numbers	कितने हैं?					11~15				
			2002	2digit_numbers	कितने हैं?					16~20				
			2003	recognize_number						16~19				
			2004	recognize_number						20	11~20			
			2005	number_identification						11~15				
			2006	bigger_and_smaller	bigger	image	lineup	कौन सा समूह बड़ा है?	कौन सा समूह बड़ा है?	1~10				
			2007	bigger_and_smaller	smaller	image	lineup	कौन सा समूह छोटा है?	 कौन सा समूह छोटा है?	1~10				
			2008	bigger_and_smaller	bigger	number		कौन सा बड़ा है?	 कौन सा बड़ा है?	1~10				
			2009	bigger_and_smaller	smaller	number		कौन सा छोटा है?	कौन सा छोटा है?	1~10				
MiniTest_3_1	1	31001, 31002, 31003, 31004, 31005												
			31001	2digit_numbers	कितने हैं?					10~20				
			31002	2digit_numbers	कितने हैं?					17~20				
			31003	recognize_number						1~20				
			31004	number_identification						11~19				
			31005	missing_number_drag	1	4	ascending			1~5				
MiniTest_3_2	1	32001, 32001, 32002, 32002, 32003												
			32001	operations_with_objects	1~4+1~4=?					2~5				
			32002	operations_with_objects	2~5-1~4=?					1~4				
			32003	missing_number_drag	1	4	descending			1~5				
MiniTest_3_3	1	33001, 33002, 33003, 33004, 33005												
			33001	bigger_and_smaller	bigger	number		कौन सा बड़ा है?	 कौन सा बड़ा है?	1~10				
			33002	bigger_and_smaller	smaller	number		कौन सा छोटा है?	कौन सा छोटा है?	1~10				
			33003	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			1~10				
			33004	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			1~10				
			33005	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~10				
PostTest_3	1	3001, 3002, 3003~3004, 3005, 3006, 3007~3008, 3009, 3010, 3011, 3012												
			3001	2digit_numbers	कितने हैं?					21~50				
			3002	recognize_number						21~50				
			3003	bigger_and_smaller	bigger	number		कौन सा बड़ा है?	 कौन सा बड़ा है?	1~20				
			3004	bigger_and_smaller	smaller	number		कौन सा छोटा है?	कौन सा छोटा है?	1~20				
			3005	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~10				
			3006	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~20				
			3007	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			1~20				
			3008	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			1~20				
			3009	missing_number_drag	1	3	ascending			1~10				
			3010	missing_number_drag	1	4	descending			1~10				
			3011	operations_with_objects	1~10+1~10=?	regroupingfalse				1~10				
			3012	operations_with_objects	1~10-1~10=?	regroupingfalse				1~10				
MiniTest_4_1	1	41001, 41002, 41003, 41004, 41005												
			41001	recognize_number						21~50				
			41002	number_identification						51~99				
			41003	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~20				
			41004	missing_number_drag	1	4	ascending			1~10				
			41005	bigger_and_smaller	bigger	number		कौन सा सा बड़ा है?	 कौन सा बड़ा है?	20~50				
MiniTest_4_2	1	42001, 42002, 42003, 42004, 42005~42008												
			42001	2digit_numbers	कितने हैं?					51~100				
			42002	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~20				
			42003	operations_with_objects	2~10-1~4=?					1~9				
			42004	operations_with_objects	2~10-5~9=?					1~9				
			42005	shapes	which	कौनसा सर्कल है?	कौनसा सरकल है?			circle	circle,square,triangle,rectangle			
			42006	shapes	which	कौनसा स्क्वायर है?	कौनसा स्क्वायर है?			square	circle,square,triangle,rectangle			
			42007	shapes	which	कौनसा ट्रायंगल है?	कौनसा ट्रायंगल है?			triangle	circle,square,triangle,rectangle			
			42008	shapes	which	कौनसा रेक्टेंगल है?	कौन सा रैक्टेंगल है?			rectangle	circle,square,triangle,rectangle			
PostTest_4	1	4001, 4002, 4003, 4004~4005, 4006, 4007, 4008, 4009~4010, 4011~4014, 4015												
			4001	2digit_numbers	कितने हैं?					51~100				
			4002	number_identification						51~99				
			4003	use_magnitude_symbols	11~50	11~50	रिक्त स्थान भरें।	 खाली स्थान भरें।						
			4004	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			11~50				
			4005	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			11~50				
			4006	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~50				
			4007	missing_number_drag	1	4	descending			1~20				
			4008	missing_number_drag	2	3	ascending			1~20	2			
			4009	operations_with_objects	1~20+1~20=?	regroupingfalse				1~20				
			4010	operations_with_objects	1~20-1~20=?	regroupingfalse				1~20				
			4011	shapes	which	कौनसा सर्कल है?	कौनसा सरकल है?			circle	circle,square,triangle,rectangle			
			4012	shapes	which	कौनसा स्क्वायर है?	कौनसा स्क्वायर है?			square	circle,square,triangle,rectangle			
			4013	shapes	which	कौनसा ट्रायंगल है?	कौनसा ट्रायंगल है?			triangle	circle,square,triangle,rectangle			
			4014	shapes	which	कौनसा रेक्टेंगल है?	कौन सा रैक्टेंगल है?			rectangle	circle,square,triangle,rectangle			
			4015	shapes	what	यह कौन सा आकार है?	यह कौन सा आकार है?			circle,square,triangle,rectangle	circle,square,triangle,rectangle			
MiniTest_5_1	1	51001, 51002, 51003, 51004, 51005												
			51001	operations_drag	1~9+1~9=?		horizontal			1~10				
			51002	operations_drag	1~10-1~9=?		horizontal			1~9				
			51003	operations_drag	10-1~9=?		horizontal			1~9				
			51004	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			11~50				
			51005	missing_number_drag	1	4	descending			1~20				
MiniTest_5_2	1	52001, 52002, 52003, 52004, 52005												
			52001	operations_drag	10+1~9=?		vertical			11~19				
			52002	operations_drag	11~20+1~10=?		vertical			11~19				
			52003	missing_number_drag	10	4	ascending			1~50	10			
			52004	operations_with_objects	1~9+1~9=?					10				
			52005	use_magnitude_symbols	11~50	11~50	रिक्त स्थान भरें।	 खाली स्थान भरें।						
MiniTest_5_3	1	53001, 53002, 53003, 53004, 53005												
			53001	operations_with_objects	1~9+1~9=?	regroupingtrue				1~20				
			53002	operations_with_objects	10-1~9=?	regroupingtrue				1~9				
			53003	operations_drag	11~20-1~10=?		vertical			10~20				
			53004	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			1~50				
			53005	shapes	what	यह कौन सा आकार है?	यह कौन सा आकार है?			pentagon,hexagon,parallelogram,trapezoid	pentagon,hexagon,parallelogram,trapezoid			
PostTest_5	1	5001, 5002~5003, 5004~5007, 5008~5010, 5011, 5012, 5013, 5014, 5015~5018, 5019												
			5001	recognize_number						51~100				
			5002	use_magnitude_symbols	41~50	41~50	खाली स्थान भरें।	 खाली स्थान भरें।						
			5003	use_magnitude_symbols	16~19	31~34	खाली स्थान भरें।	 खाली स्थान भरें।						
			5004	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			11~50				
			5005	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			11~50				
			5006	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			11~50				
			5007	compare_number_magnitudes	descending	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।			11~50				
			5008	missing_number_drag	1	2	ascending			1~50				
			5009	missing_number_drag	5	3	ascending			1~50	5			
			5010	missing_number_drag	10	4	descending			1~50	10			
			5011	operations_with_objects	1~9+1~9=?	regroupingtrue				11~18				
			5012	operations_drag	1~9+1~9=?		vertical			10				
