#level	problem	problemCount	left property	left1 count	left operator	left2 count	right property	right1 count	right operator	right2 count
1	1	5	image	1			image	1		
1	2	5	image	1			image	2		
1	3	5	image	1			image	3		
1	4	5	image	1			image	4		
1	5	5	image	1			image	5		
1	6	5	image	2			image	1		
1	7	5	image	2			image	2		
1	8	5	image	2			image	3		
1	9	5	image	2			image	4		
1	10	5	image	2			image	5		
1	11	5	image	3			image	1		
1	12	5	image	3			image	2		
1	13	5	image	3			image	3		
1	14	5	image	3			image	4		
1	15	5	image	3			image	5		
1	16	5	image	4			image	1		
1	17	5	image	4			image	2		
1	18	5	image	4			image	3		
1	19	5	image	4			image	4		
1	20	5	image	4			image	5		
1	21	5	image	5			image	1		
1	22	5	image	5			image	2		
1	23	5	image	5			image	3		
1	24	5	image	5			image	4		
1	25	5	image	5			image	5		
2	1	5	image	5			image	5		
2	2	5	image	5			image	6		
2	3	5	image	5			image	7		
2	4	5	image	5			image	8		
2	5	5	image	5			image	9		
2	6	5	image	5			image	10		
2	7	5	image	6			image	5		
2	8	5	image	6			image	6		
2	9	5	image	6			image	7		
2	10	5	image	6			image	8		
2	11	5	image	6			image	9		
2	12	5	image	6			image	10		
2	13	5	image	7			image	5		
2	14	5	image	7			image	6		
2	15	5	image	7			image	7		
2	16	5	image	7			image	8		
2	17	5	image	7			image	9		
2	18	5	image	7			image	10		
2	19	5	image	8			image	5		
2	20	5	image	8			image	6		
2	21	5	image	8			image	7		
2	22	5	image	8			image	8		
2	23	5	image	8			image	9		
2	24	5	image	8			image	10		
2	25	5	image	9			image	5		
2	26	5	image	9			image	6		
2	27	5	image	9			image	7		
2	28	5	image	9			image	8		
2	29	5	image	9			image	9		
2	30	5	image	9			image	10		
2	31	5	image	10			image	5		
2	32	5	image	10			image	6		
2	33	5	image	10			image	7		
2	34	5	image	10			image	8		
2	35	5	image	10			image	9		
2	36	5	image	10			image	10		
3	1	5	image	1			number	1		
3	2	5	image	1			number	2		
3	3	5	image	1			number	3		
3	4	5	image	1			number	4		
3	5	5	image	1			number	5		
3	6	5	image	1			number	6		
3	7	5	image	1			number	7		
3	8	5	image	1			number	8		
3	9	5	image	1			number	9		
3	10	5	image	1			number	10		
3	11	5	image	2			number	1		
3	12	5	image	2			number	2		
3	13	5	image	2			number	3		
3	14	5	image	2			number	4		
3	15	5	image	2			number	5		
3	16	5	image	2			number	6		
3	17	5	image	2			number	7		
3	18	5	image	2			number	8		
3	19	5	image	2			number	9		
3	20	5	image	2			number	10		
3	21	5	image	3			number	1		
3	22	5	image	3			number	2		
3	23	5	image	3			number	3		
3	24	5	image	3			number	4		
3	25	5	image	3			number	5		
3	26	5	image	3			number	6		
3	27	5	image	3			number	7		
3	28	5	image	3			number	8		
3	29	5	image	3			number	9		
3	30	5	image	3			number	10		
3	31	5	image	4			number	1		
3	32	5	image	4			number	2		
3	33	5	image	4			number	3		
3	34	5	image	4			number	4		
3	35	5	image	4			number	5		
3	36	5	image	4			number	6		
3	37	5	image	4			number	7		
3	38	5	image	4			number	8		
3	39	5	image	4			number	9		
3	40	5	image	4			number	10		
3	41	5	image	5			number	1		
3	42	5	image	5			number	2		
3	43	5	image	5			number	3		
3	44	5	image	5			number	4		
3	45	5	image	5			number	5		
3	46	5	image	5			number	6		
3	47	5	image	5			number	7		
3	48	5	image	5			number	8		
3	49	5	image	5			number	9		
3	50	5	image	5			number	10		
3	51	5	image	6			number	1		
3	52	5	image	6			number	2		
3	53	5	image	6			number	3		
3	54	5	image	6			number	4		
3	55	5	image	6			number	5		
3	56	5	image	6			number	6		
3	57	5	image	6			number	7		
3	58	5	image	6			number	8		
3	59	5	image	6			number	9		
3	60	5	image	6			number	10		
3	61	5	image	7			number	1		
3	62	5	image	7			number	2		
3	63	5	image	7			number	3		
3	64	5	image	7			number	4		
3	65	5	image	7			number	5		
3	66	5	image	7			number	6		
3	67	5	image	7			number	7		
3	68	5	image	7			number	8		
3	69	5	image	7			number	9		
3	70	5	image	7			number	10		
3	71	5	image	8			number	1		
3	72	5	image	8			number	2		
3	73	5	image	8			number	3		
3	74	5	image	8			number	4		
3	75	5	image	8			number	5		
3	76	5	image	8			number	6		
3	77	5	image	8			number	7		
3	78	5	image	8			number	8		
3	79	5	image	8			number	9		
3	80	5	image	8			number	10		
3	81	5	image	9			number	1		
3	82	5	image	9			number	2		
3	83	5	image	9			number	3		
3	84	5	image	9			number	4		
3	85	5	image	9			number	5		
3	86	5	image	9			number	6		
3	87	5	image	9			number	7		
3	88	5	image	9			number	8		
3	89	5	image	9			number	9		
3	90	5	image	9			number	10		
3	91	5	image	10			number	1		
3	92	5	image	10			number	2		
3	93	5	image	10			number	3		
3	94	5	image	10			number	4		
3	95	5	image	10			number	5		
3	96	5	image	10			number	6		
3	97	5	image	10			number	7		
3	98	5	image	10			number	8		
3	99	5	image	10			number	9		
3	100	5	image	10			number	10		
3	101	5	number	1			image	1		
3	102	5	number	2			image	1		
3	103	5	number	3			image	1		
3	104	5	number	4			image	1		
3	105	5	number	5			image	1		
3	106	5	number	6			image	1		
3	107	5	number	7			image	1		
3	108	5	number	8			image	1		
3	109	5	number	9			image	1		
3	110	5	number	10			image	1		
3	111	5	number	1			image	2		
3	112	5	number	2			image	2		
3	113	5	number	3			image	2		
3	114	5	number	4			image	2		
3	115	5	number	5			image	2		
3	116	5	number	6			image	2		
3	117	5	number	7			image	2		
3	118	5	number	8			image	2		
3	119	5	number	9			image	2		
3	120	5	number	10			image	2		
3	121	5	number	1			image	3		
3	122	5	number	2			image	3		
3	123	5	number	3			image	3		
3	124	5	number	4			image	3		
3	125	5	number	5			image	3		
3	126	5	number	6			image	3		
3	127	5	number	7			image	3		
3	128	5	number	8			image	3		
3	129	5	number	9			image	3		
3	130	5	number	10			image	3		
3	131	5	number	1			image	4		
3	132	5	number	2			image	4		
3	133	5	number	3			image	4		
3	134	5	number	4			image	4		
3	135	5	number	5			image	4		
3	136	5	number	6			image	4		
3	137	5	number	7			image	4		
3	138	5	number	8			image	4		
3	139	5	number	9			image	4		
3	140	5	number	10			image	4		
3	141	5	number	1			image	5		
3	142	5	number	2			image	5		
3	143	5	number	3			image	5		
3	144	5	number	4			image	5		
3	145	5	number	5			image	5		
3	146	5	number	6			image	5		
3	147	5	number	7			image	5		
3	148	5	number	8			image	5		
3	149	5	number	9			image	5		
3	150	5	number	10			image	5		
3	151	5	number	1			image	6		
3	152	5	number	2			image	6		
3	153	5	number	3			image	6		
3	154	5	number	4			image	6		
3	155	5	number	5			image	6		
3	156	5	number	6			image	6		
3	157	5	number	7			image	6		
3	158	5	number	8			image	6		
3	159	5	number	9			image	6		
3	160	5	number	10			image	6		
3	161	5	number	1			image	7		
3	162	5	number	2			image	7		
3	163	5	number	3			image	7		
3	164	5	number	4			image	7		
3	165	5	number	5			image	7		
3	166	5	number	6			image	7		
3	167	5	number	7			image	7		
3	168	5	number	8			image	7		
3	169	5	number	9			image	7		
3	170	5	number	10			image	7		
3	171	5	number	1			image	8		
3	172	5	number	2			image	8		
3	173	5	number	3			image	8		
3	174	5	number	4			image	8		
3	175	5	number	5			image	8		
3	176	5	number	6			image	8		
3	177	5	number	7			image	8		
3	178	5	number	8			image	8		
3	179	5	number	9			image	8		
3	180	5	number	10			image	8		
3	181	5	number	1			image	9		
3	182	5	number	2			image	9		
3	183	5	number	3			image	9		
3	184	5	number	4			image	9		
3	185	5	number	5			image	9		
3	186	5	number	6			image	9		
3	187	5	number	7			image	9		
3	188	5	number	8			image	9		
3	189	5	number	9			image	9		
3	190	5	number	10			image	9		
3	191	5	number	1			image	10		
3	192	5	number	2			image	10		
3	193	5	number	3			image	10		
3	194	5	number	4			image	10		
3	195	5	number	5			image	10		
3	196	5	number	6			image	10		
3	197	5	number	7			image	10		
3	198	5	number	8			image	10		
3	199	5	number	9			image	10		
3	200	5	number	10			image	10		
4	1	5	number	1			number	1		
4	2	5	number	1			number	2		
4	3	5	number	1			number	3		
4	4	5	number	1			number	4		
4	5	5	number	1			number	5		
4	6	5	number	1			number	6		
4	7	5	number	1			number	7		
4	8	5	number	1			number	8		
4	9	5	number	1			number	9		
4	10	5	number	1			number	10		
4	11	5	number	2			number	1		
4	12	5	number	2			number	2		
4	13	5	number	2			number	3		
4	14	5	number	2			number	4		
4	15	5	number	2			number	5		
4	16	5	number	2			number	6		
4	17	5	number	2			number	7		
4	18	5	number	2			number	8		
4	19	5	number	2			number	9		
4	20	5	number	2			number	10		
4	21	5	number	3			number	1		
4	22	5	number	3			number	2		
4	23	5	number	3			number	3		
4	24	5	number	3			number	4		
4	25	5	number	3			number	5		
4	26	5	number	3			number	6		
4	27	5	number	3			number	7		
4	28	5	number	3			number	8		
4	29	5	number	3			number	9		
4	30	5	number	3			number	10		
4	31	5	number	4			number	1		
4	32	5	number	4			number	2		
4	33	5	number	4			number	3		
4	34	5	number	4			number	4		
4	35	5	number	4			number	5		
4	36	5	number	4			number	6		
4	37	5	number	4			number	7		
4	38	5	number	4			number	8		
4	39	5	number	4			number	9		
4	40	5	number	4			number	10		
4	41	5	number	5			number	1		
4	42	5	number	5			number	2		
4	43	5	number	5			number	3		
4	44	5	number	5			number	4		
4	45	5	number	5			number	5		
4	46	5	number	5			number	6		
4	47	5	number	5			number	7		
4	48	5	number	5			number	8		
4	49	5	number	5			number	9		
4	50	5	number	5			number	10		
4	51	5	number	6			number	1		
4	52	5	number	6			number	2		
4	53	5	number	6			number	3		
4	54	5	number	6			number	4		
4	55	5	number	6			number	5		
4	56	5	number	6			number	6		
4	57	5	number	6			number	7		
4	58	5	number	6			number	8		
4	59	5	number	6			number	9		
4	60	5	number	6			number	10		
4	61	5	number	7			number	1		
4	62	5	number	7			number	2		
4	63	5	number	7			number	3		
4	64	5	number	7			number	4		
4	65	5	number	7			number	5		
4	66	5	number	7			number	6		
4	67	5	number	7			number	7		
4	68	5	number	7			number	8		
4	69	5	number	7			number	9		
4	70	5	number	7			number	10		
4	71	5	number	8			number	1		
4	72	5	number	8			number	2		
4	73	5	number	8			number	3		
4	74	5	number	8			number	4		
4	75	5	number	8			number	5		
4	76	5	number	8			number	6		
4	77	5	number	8			number	7		
4	78	5	number	8			number	8		
4	79	5	number	8			number	9		
4	80	5	number	8			number	10		
4	81	5	number	9			number	1		
4	82	5	number	9			number	2		
4	83	5	number	9			number	3		
4	84	5	number	9			number	4		
4	85	5	number	9			number	5		
4	86	5	number	9			number	6		
4	87	5	number	9			number	7		
4	88	5	number	9			number	8		
4	89	5	number	9			number	9		
4	90	5	number	9			number	10		
4	91	5	number	10			number	1		
4	92	5	number	10			number	2		
4	93	5	number	10			number	3		
4	94	5	number	10			number	4		
4	95	5	number	10			number	5		
4	96	5	number	10			number	6		
4	97	5	number	10			number	7		
4	98	5	number	10			number	8		
4	99	5	number	10			number	9		
4	100	5	number	10			number	10		
5	1	5	number	11			number	10		
5	2	5	number	1			number	11		
5	3	5	number	12			number	11		
5	4	5	number	2			number	12		
5	5	5	number	12			number	20		
5	6	5	number	13			number	11		
5	7	5	number	3			number	12		
5	8	5	number	3			number	13		
5	9	5	number	14			number	11		
5	10	5	number	4			number	12		
5	11	5	number	14			number	13		
5	12	5	number	4			number	14		
5	13	5	number	15			number	11		
5	14	5	number	5			number	12		
5	15	5	number	15			number	13		
5	16	5	number	5			number	14		
5	17	5	number	5			number	15		
5	18	5	number	16			number	11		
5	19	5	number	6			number	12		
5	20	5	number	16			number	13		
5	21	5	number	16			number	14		
5	22	5	number	6			number	15		
5	23	5	number	6			number	16		
5	24	5	number	7			number	11		
5	25	5	number	17			number	12		
5	26	5	number	7			number	13		
5	27	5	number	7			number	14		
5	28	5	number	17			number	15		
5	29	5	number	7			number	16		
5	30	5	number	7			number	17		
5	31	5	number	8			number	11		
5	32	5	number	18			number	12		
5	33	5	number	8			number	13		
5	34	5	number	18			number	14		
5	35	5	number	8			number	15		
5	36	5	number	8			number	16		
5	37	5	number	18			number	17		
5	38	5	number	8			number	18		
5	39	5	number	9			number	11		
5	40	5	number	19			number	12		
5	41	5	number	9			number	13		
5	42	5	number	19			number	14		
5	43	5	number	9			number	15		
5	44	5	number	19			number	16		
