#  LetterMatching_Levels.tsv
#  TodoSchool on Oct 21
#
#  Copyright (c) 2016 Enuma
#  See LICENSE.md for more details.
#
# 레벨 데이터를 변경하려면:
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.
#     다운로드한 파일 이름을 LetterMatching_Levels.tsv으로 변경합니다.
#     "${XPRIZE_PATH}/Resources/Games/LetterMatching"에 tsv 파일을 복사해 넣습니다.
#
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceID		# MatchSound	# Image_A(0)	# Image_B(0)
en-US	1	1	1	1		cat.m4a	picture_cards/cat.png	picture_cards/cat.png
en-US	1	1	1	2		dog.m4a	picture_cards/dog.png	picture_cards/dog.png
en-US	1	1	1	3		bug.m4a	picture_cards/bug.png	picture_cards/bug.png
en-US	1	1	1	4		bed.m4a	picture_cards/bed.png	picture_cards/bed.png
en-US	1	1	1	5		hen.m4a	picture_cards/hen.png	picture_cards/hen.png
en-US	1	1	1	6		sun.m4a	picture_cards/sun.png	picture_cards/sun.png
en-US	1	1	2	1		pig.m4a	picture_cards/pig.png	picture_cards/pig.png
en-US	1	1	2	2		toy.m4a	picture_cards/toy.png	picture_cards/toy.png
en-US	1	1	2	3		kid.m4a	picture_cards/kid.png	picture_cards/kid.png
en-US	1	1	2	4		hat.m4a	picture_cards/hat.png	picture_cards/hat.png
en-US	1	1	2	5		cow.m4a	picture_cards/cow.png	picture_cards/cow.png
en-US	1	1	2	6		box.m4a	picture_cards/box.png	picture_cards/box.png
en-US	2	1	1	1		tree.m4a	picture_cards/tree.png	picture_cards/tree.png
en-US	2	1	1	2		drum.m4a	picture_cards/drum.png	picture_cards/drum.png
en-US	2	1	1	3		face.m4a	picture_cards/face.png	picture_cards/face.png
en-US	2	1	1	4		fire.m4a	picture_cards/fire.png	picture_cards/fire.png
en-US	2	1	1	5		cake.m4a	picture_cards/cake.png	picture_cards/cake.png
en-US	2	1	1	6		book.m4a	picture_cards/book.png	picture_cards/book.png
en-US	2	1	2	1		duck.m4a	picture_cards/duck.png	picture_cards/duck.png
en-US	2	1	2	2		leaf.m4a	picture_cards/leaf.png	picture_cards/leaf.png
en-US	2	1	2	3		frog.m4a	picture_cards/frog.png	picture_cards/frog.png
en-US	2	1	2	4		star.m4a	picture_cards/star.png	picture_cards/star.png
en-US	2	1	2	5		baby.m4a	picture_cards/baby.png	picture_cards/baby.png
en-US	2	1	2	6		milk.m4a	picture_cards/milk.png	picture_cards/milk.png
en-US	3	1	1	1		father.m4a	picture_cards/father.png	picture_cards/father.png
en-US	3	1	1	2		mother.m4a	picture_cards/mother.png	picture_cards/mother.png
en-US	3	1	1	3		grandpa.m4a	picture_cards/grandfather.png	picture_cards/grandfather.png
en-US	3	1	1	4		grandma.m4a	picture_cards/grandmother.png	picture_cards/grandmother.png
en-US	3	1	1	5		sister.m4a	picture_cards/sister.png	picture_cards/sister.png
en-US	3	1	1	6		brother.m4a	picture_cards/brother.png	picture_cards/brother.png
en-US	3	1	2	1		duck.m4a	picture_cards/duck.png	picture_cards/duck.png
en-US	3	1	2	2		chicken.m4a	picture_cards/chicken.png	picture_cards/chicken.png
en-US	3	1	2	3		dog.m4a	picture_cards/dog.png	picture_cards/dog.png
en-US	3	1	2	4		cow.m4a	picture_cards/cow.png	picture_cards/cow.png
en-US	3	1	2	5		cat.m4a	picture_cards/cat.png	picture_cards/cat.png
en-US	3	1	2	6		donkey.m4a	picture_cards/donkey.png	picture_cards/donkey.png
en-US	4	1	1	1		eng_a.m4a	letter_cards/A_3.png	letter_cards/A_4.png
en-US	4	1	1	2		eng_b.m4a	letter_cards/B_3.png	letter_cards/B_4.png
en-US	4	1	1	3		eng_c.m4a	letter_cards/C_3.png	letter_cards/C_4.png
en-US	4	1	1	4		eng_d.m4a	letter_cards/D_3.png	letter_cards/D_4.png
en-US	4	1	1	5		eng_e.m4a	letter_cards/E_3.png	letter_cards/E_4.png
en-US	4	1	1	6		eng_f.m4a	letter_cards/F_3.png	letter_cards/F_4.png
en-US	4	1	2	1		eng_g.m4a	letter_cards/G_3.png	letter_cards/G_4.png
