#Shape_Count	#Attribute_Count	#Language_Count	#Group_Count
19	2	3	7
Shape_Key	Sides	Faces	en-US	en-KE	sw-TZ	Basic_2D	Advanced_2D	Basic_3D	Advanced_3D	Advanced_ALL	ALL_2D	ALL_3D
circle	0	None	circle	circle	duara	0	None	None	None	None	0	None
square	4	None	square	square	mraba	1	None	None	None	None	4	None
triangle	3	None	triangle	triangle	pembe_tatu	2	None	None	None	None	3	None
rectangle	4	None	rectangle	rectangle	mstatili	3	None	None	None	None	4	None
star	10	None	star	star	nyota	4	None	None	None	None	10	None
rhombus	4	None	rhombus	rhombus	rombasi	5	None	None	None	None	4	None
oval	0	None	oval	oval	mviringo	6	None	None	None	None	0	None
hexagon	6	None	hexagon	hexagon	pembe_sita	None	0	None	None	0	6	None
pentagon	5	None	pentagon	pentagon	pembe_tano	None	1	None	None	1	5	None
trapezoid	4	None	trapezoid	trapezoid	trapeza	None	2	None	None	2	4	None
parallelogram	4	None	parallelogram	parallelogram	msambamba	None	3	None	None	3	4	None
octagon	8	None	octagon	octagon	pembe_nane	None	4	None	None	4	8	None
cone	None	1	cone	cone	pia	None	None	0	None	None	None	1
sphere	None	0	sphere	sphere	nyanja	None	None	1	None	None	None	0
cylinder	None	2	cylinder	cylinder	mcheduara	None	None	2	None	None	None	2
cube	None	6	cube	cube	mche_mraba	None	None	3	None	None	None	6
rectangular_prism	None	6	rectangular_prism	rectangular_prism	mche_mstatili	None	None	None	0	5	None	6
triangular_prism	None	5	triangular_prism	triangular_prism	mche_pembe_tatu	None	None	None	1	6	None	5
pyramid	None	5	pyramid	pyramid	piramidi	None	None	None	2	7	None	5
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceNumber		# MatchSound	# Shape	# Card A Type	# Color A	# Size A	# Rotation A	# Card B Type	# Color B	# Size B	# Rotation B
en-US	1	1	1	4		YES	Basic_2D	Image	level1	Random	0	Image	level1	Random	0
en-US	1	1	2	4		YES	Basic_2D	Image	level1	Random	0	Image	level1	Random	0
en-US	1	1	3	4		YES	Basic_2D	Image	level1	Random	0	Image	level1	Random	0
en-US	2	1	1	4		YES	Basic_2D	Image	Random	large	0	Image	Random	large	0
en-US	2	1	2	4		YES	Basic_2D	Image	Random	large	0	Image	Random	large	0
en-US	2	1	3	4		YES	Basic_2D	Image	Random	large	0	Image	Random	large	0
en-US	3	1	1	4		YES	Basic_2D	Image	Random	large	0	Object	N/A	N/A	0
en-US	3	1	2	4		YES	Basic_2D	Image	Random	large	0	Object	N/A	N/A	0
en-US	3	1	3	4		YES	Basic_2D	Image	Random	large	0	Object	N/A	N/A	0
en-US	4	1	1	4		YES	Basic_2D	Image	Random	large	0	Name	N/A	N/A	0
en-US	4	1	2	4		YES	Basic_2D	Image	Random	large	0	Name	N/A	N/A	0
en-US	4	1	3	4		YES	Basic_2D	Image	Random	large	0	Name	N/A	N/A	0
en-US	5	1	1	4		YES	Basic_3D	Image	N/A	N/A	0	Name	N/A	N/A	0
en-US	5	1	2	4		YES	Basic_3D	Image	N/A	N/A	0	Name	N/A	N/A	0
en-US	5	1	3	4		YES	Basic_3D	Image	N/A	N/A	0	Name	N/A	N/A	0
en-US	6	1	1	4		YES	Basic_3D	Image	N/A	Random	0	Image	N/A	Random	0
en-US	6	1	2	4		YES	Basic_3D	Image	N/A	Random	0	Image	N/A	Random	0
en-US	6	1	3	4		YES	Basic_3D	Image	N/A	Random	0	Image	N/A	Random	0
en-US	7	1	1	4		YES	Basic_3D	Image	N/A	N/A	0	Image	N/A	N/A	90
en-US	7	1	2	4		YES	Basic_3D	Image	N/A	N/A	0	Image	N/A	N/A	90
en-US	7	1	3	4		YES	Basic_3D	Image	N/A	N/A	0	Image	N/A	N/A	90
en-US	8	1	1	4		YES	Basic_3D	Image	N/A	N/A	0	Object	N/A	N/A	0
en-US	8	1	2	4		YES	Basic_3D	Image	N/A	N/A	0	Object	N/A	N/A	0
en-US	8	1	3	4		YES	Basic_3D	Image	N/A	N/A	0	Object	N/A	N/A	0
en-US	9	1	1	4		NO	Advanced_ALL	Image	Random	large	0	Name	N/A	N/A	0
en-US	9	1	2	4		NO	Advanced_ALL	Image	Random	large	0	Name	N/A	N/A	0
en-US	10	1	1	4		NO	Advanced_ALL	Image	Random	large	Random	Image	Random	large	Random
en-US	10	1	2	4		NO	Advanced_ALL	Image	Random	large	Random	Image	Random	large	Random
en-US	11	1	1	4		NO	ALL_2D	Image	Random	large	0	Attribute	N/A	N/A	0
en-US	11	1	2	4		NO	ALL_2D	Image	Random	large	0	Attribute	N/A	N/A	0
en-US	12	1	1	4		NO	ALL_3D	Image	N/A	N/A	0	Attribute	N/A	N/A	0
en-US	12	1	2	4		NO	ALL_3D	Image	N/A	N/A	0	Attribute	N/A	N/A	0
