# LanguageTag	# Level	# Worksheet	# Problem		# Word	# Missing Position	# Number of Consonant Choices	# Number of Vowel Choices	# Image	# Sound Duration
en-US	1	1	1		pig	*ig	1	0	spelling_pig.png	0.660666667
en-US	1	1	2		bed	*ed	1	0	spelling_bed.png	0.606
en-US	1	1	3		red	*ed	1	0	spelling_red.png	0.487541667
en-US	1	1	4		man	*an	1	0	spelling_man.png	0.693354167
en-US	1	1	5		dad	*ad	1	0	spelling_dad.png	0.550479167
en-US	1	1	6		mom	*om	1	0	spelling_mom.png	0.639833333
en-US	1	1	7		rat	*at	1	0	spelling_rat.png	0.832222222
en-US	1	2	1		bus	*us	1	0	spelling_bus.png	0.81600907
en-US	1	2	2		box	*ox	1	0	spelling_box.png	0.630666667
en-US	1	2	3		dog	*og	1	0	spelling_dog.png	0.720333333
en-US	1	2	4		cat	*at	1	0	spelling_cat.png	0.621291667
en-US	1	2	5		mom	*om	1	0	spelling_mom.png	0.639833333
en-US	1	2	6		man	*an	1	0	spelling_man.png	0.693354167
en-US	1	2	7		sun	*un	1	0	spelling_sun.png	0.803729167
en-US	1	3	1		kid	*id	1	0	spelling_kid.png	1.011337868
en-US	1	3	2		man	*an	1	0	spelling_man.png	0.693354167
en-US	1	3	3		zip	*ip	1	0	spelling_zip.png	0.568888889
en-US	1	3	4		dog	*og	1	0	spelling_dog.png	0.720333333
en-US	1	3	5		six	*ix	1	0	spelling_six.png	0.814208333
en-US	1	3	6		bug	*ug	1	0	spelling_bug.png	0.568888889
en-US	1	3	7		hen	*en	1	0	spelling_hen.png	0.801088435
en-US	1	4	1		kid	*id	1	0	spelling_kid.png	1.011337868
en-US	1	4	2		cat	*at	1	0	spelling_cat.png	0.621291667
en-US	1	4	3		bus	*us	1	0	spelling_bus.png	0.81600907
en-US	1	4	4		dog	*og	1	0	spelling_dog.png	0.720333333
en-US	1	4	5		six	*ix	1	0	spelling_six.png	0.814208333
en-US	1	4	6		sun	*un	1	0	spelling_sun.png	0.803729167
en-US	1	4	7		red	*ed	1	0	spelling_red.png	0.487541667
en-US	1	5	1		cat	*at	1	0	spelling_cat.png	0.621291667
en-US	1	5	2		box	*ox	1	0	spelling_box.png	0.630666667
en-US	1	5	3		sun	*un	1	0	spelling_sun.png	0.803729167
en-US	1	5	4		bug	*ug	1	0	spelling_bug.png	0.568888889
en-US	1	5	5		six	*ix	1	0	spelling_six.png	0.814208333
en-US	1	5	6		hen	*en	1	0	spelling_hen.png	0.801088435
en-US	1	5	7		bus	*us	1	0	spelling_bus.png	0.81600907
en-US	1	6	1		mom	*om	1	0	spelling_mom.png	0.639833333
en-US	1	6	2		bed	*ed	1	0	spelling_bed.png	0.606
en-US	1	6	3		dad	*ad	1	0	spelling_dad.png	0.550479167
en-US	1	6	4		pig	*ig	1	0	spelling_pig.png	0.660666667
