								
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# Type	# Word	# GoodImage	# BadImage	# Sound
en-US	1	1	1	LEGIT	bat	images/bat.png	images/cow.png	bat
en-US	1	1	2	LEGIT	bed	images/bed.png	images/cow.png	bed
en-US	1	1	3	LEGIT	cat	images/cat.png	images/pig.png	cat
en-US	1	1	4	LEGIT	man	images/man.png	images/bat.png	man
en-US	1	1	5	LEGIT	cow	images/cow.png	images/pig.png	cow
en-US	1	1	6	LEGIT	pig	images/pig.png	images/bat.png	pig
en-US	1	1	7	LEGIT	bug	images/bug.png	images/cow.png	bug
en-US	1	2	1	LEGIT	sun	images/sun.png	images/mom.png	sun
en-US	1	2	2	LEGIT	mom	images/mom.png	images/bed.png	mom
en-US	1	2	3	LEGIT	cow	images/cow.png	images/man.png	cow
en-US	1	2	4	LEGIT	bat	images/bat.png	images/man.png	bat
en-US	1	2	5	LEGIT	bug	images/bug.png	images/bat.png	bug
en-US	1	2	6	LEGIT	bed	images/bed.png	images/sun.png	bed
en-US	1	2	7	LEGIT	pig	images/pig.png	images/bat.png	pig
en-US	1	3	1	LEGIT	bug	images/bug.png	images/cow.png	bug
en-US	1	3	2	LEGIT	cow	images/cow.png	images/cat.png	cow
en-US	1	3	3	LEGIT	mom	images/mom.png	images/sun.png	mom
en-US	1	3	4	LEGIT	man	images/man.png	images/bat.png	man
en-US	1	3	5	LEGIT	cat	images/cat.png	images/bug.png	cat
en-US	1	3	6	LEGIT	pig	images/pig.png	images/cow.png	pig
en-US	1	3	7	LEGIT	bat	images/bat.png	images/cow.png	bat
en-US	1	4	1	LEGIT	cow	images/cow.png	images/sun.png	cow
en-US	1	4	2	LEGIT	cat	images/cat.png	images/mom.png	cat
en-US	1	4	3	LEGIT	man	images/man.png	images/bug.png	man
en-US	1	4	4	LEGIT	mom	images/mom.png	images/pig.png	mom
en-US	1	4	5	LEGIT	pig	images/pig.png	images/man.png	pig
en-US	1	4	6	LEGIT	sun	images/sun.png	images/man.png	sun
en-US	1	4	7	LEGIT	bat	images/bat.png	images/bug.png	bat
en-US	1	5	1	LEGIT	sun	images/sun.png	images/cow.png	sun
en-US	1	5	2	LEGIT	bat	images/bat.png	images/bed.png	bat
en-US	1	5	3	LEGIT	cat	images/cat.png	images/bed.png	cat
en-US	1	5	4	LEGIT	bug	images/bug.png	images/cat.png	bug
en-US	1	5	5	LEGIT	mom	images/mom.png	images/bed.png	mom
en-US	1	5	6	LEGIT	bed	images/bed.png	images/man.png	bed
en-US	1	5	7	LEGIT	pig	images/pig.png	images/man.png	pig
en-US	1	6	1	LEGIT	cat	images/cat.png	images/bat.png	cat
en-US	1	6	2	LEGIT	bed	images/bed.png	images/bat.png	bed
en-US	1	6	3	LEGIT	cow	images/cow.png	images/bed.png	cow
en-US	1	6	4	LEGIT	bug	images/bug.png	images/cat.png	bug
en-US	1	6	5	LEGIT	bat	images/bat.png	images/pig.png	bat
en-US	1	6	6	LEGIT	man	images/man.png	images/cow.png	man
en-US	1	6	7	LEGIT	sun	images/sun.png	images/mom.png	sun
en-US	1	7	1	LEGIT	cow	images/cow.png	images/bat.png	cow
en-US	1	7	2	LEGIT	pig	images/pig.png	images/bug.png	pig
en-US	1	7	3	LEGIT	man	images/man.png	images/mom.png	man
en-US	1	7	4	LEGIT	bed	images/bed.png	images/mom.png	bed
en-US	1	7	5	LEGIT	bat	images/bat.png	images/cat.png	bat
en-US	1	7	6	LEGIT	bug	images/bug.png	images/man.png	bug
en-US	1	7	7	LEGIT	mom	images/mom.png	images/bat.png	mom
en-US	2	1	1	LEGIT	ball	images/ball.png	images/city.png	ball
en-US	2	1	2	LEGIT	corn	images/corn.png	images/rain.png	corn
en-US	2	1	3	LEGIT	farm	images/farm.png	images/book.png	farm
en-US	2	1	4	LEGIT	tree	images/tree.png	images/door.png	tree
en-US	2	1	5	LEGIT	roof	images/roof.png	images/city.png	roof
en-US	2	1	6	LEGIT	news	images/news.png	images/fish.png	news
en-US	2	1	7	LEGIT	milk	images/milk.png	images/gift.png	milk
en-US	2	2	1	LEGIT	fish	images/fish.png	images/tree.png	fish
en-US	2	2	2	LEGIT	ball	images/ball.png	images/tree.png	ball
en-US	2	2	3	LEGIT	door	images/door.png	images/fish.png	door
en-US	2	2	4	LEGIT	milk	images/milk.png	images/tree.png	milk
en-US	2	2	5	LEGIT	duck	images/duck.png	images/door.png	duck
en-US	2	2	6	LEGIT	fire	images/fire.png	images/door.png	fire
en-US	2	2	7	LEGIT	book	images/book.png	images/frog.png	book
en-US	2	3	1	LEGIT	farm	images/farm.png	images/lion.png	farm
en-US	2	3	2	LEGIT	frog	images/frog.png	images/rain.png	frog
en-US	2	3	3	LEGIT	city	images/city.png	images/gift.png	city
en-US	2	3	4	LEGIT	nest	images/nest.png	images/duck.png	nest
en-US	2	3	5	LEGIT	fire	images/fire.png	images/face.png	fire
en-US	2	3	6	LEGIT	door	images/door.png	images/rain.png	door
en-US	2	3	7	LEGIT	news	images/news.png	images/frog.png	news
en-US	2	4	1	LEGIT	face	images/face.png	images/fish.png	face
en-US	2	4	2	LEGIT	baby	images/baby.png	images/farm.png	baby
en-US	2	4	3	LEGIT	tree	images/tree.png	images/rain.png	tree
en-US	2	4	4	LEGIT	nest	images/nest.png	images/ball.png	nest
en-US	2	4	5	LEGIT	news	images/news.png	images/corn.png	news
en-US	2	4	6	LEGIT	duck	images/duck.png	images/corn.png	duck
en-US	2	4	7	LEGIT	gift	images/gift.png	images/face.png	gift
en-US	2	5	1	LEGIT	book	images/book.png	images/farm.png	book
en-US	2	5	2	LEGIT	gift	images/gift.png	images/city.png	gift
en-US	2	5	3	LEGIT	rain	images/rain.png	images/baby.png	rain
en-US	2	5	4	LEGIT	fire	images/fire.png	images/baby.png	fire
en-US	2	5	5	LEGIT	nest	images/nest.png	images/lion.png	nest
en-US	2	5	6	LEGIT	rain	images/rain.png	images/face.png	rain
en-US	2	5	7	LEGIT	corn	images/corn.png	images/city.png	corn
en-US	2	6	1	LEGIT	door	images/door.png	images/face.png	door
en-US	2	6	2	LEGIT	corn	images/corn.png	images/baby.png	corn
en-US	2	6	3	LEGIT	milk	images/milk.png	images/news.png	milk
en-US	2	6	4	LEGIT	baby	images/baby.png	images/fish.png	baby
en-US	2	6	5	LEGIT	face	images/face.png	images/nest.png	face
en-US	2	6	6	LEGIT	city	images/city.png	images/ball.png	city
en-US	2	6	7	LEGIT	fire	images/fire.png	images/tree.png	fire
en-US	2	7	1	LEGIT	farm	images/farm.png	images/rain.png	farm
en-US	2	7	2	LEGIT	book	images/book.png	images/door.png	book
en-US	2	7	3	LEGIT	news	images/news.png	images/fish.png	news
en-US	2	7	4	LEGIT	baby	images/baby.png	images/door.png	baby
en-US	2	7	5	LEGIT	face	images/face.png	images/rain.png	face
en-US	2	7	6	LEGIT	tree	images/tree.png	images/song.png	tree
en-US	2	7	7	LEGIT	ball	images/ball.png	images/lion.png	ball
en-US	3	1	1	LEGIT	radio	images/radio.png	images/grape.png	radio
en-US	3	1	2	LEGIT	shoes	images/shoes.png	images/clock.png	shoes
en-US	3	1	3	LEGIT	house	images/house.png	images/clock.png	house
en-US	3	1	4	LEGIT	books	images/books.png	images/stick.png	books
en-US	3	1	5	LEGIT	lemon	images/lemon.png	images/clock.png	lemon
en-US	3	1	6	LEGIT	train	images/train.png	images/books.png	train
en-US	3	1	7	LEGIT	clock	images/clock.png	images/stick.png	clock
en-US	3	2	1	LEGIT	woman	images/woman.png	images/river.png	woman
en-US	3	2	2	LEGIT	train	images/train.png	images/books.png	train
en-US	3	2	3	LEGIT	hippo	images/hippo.png	images/color.png	hippo
en-US	3	2	4	LEGIT	books	images/books.png	images/house.png	books
en-US	3	2	5	LEGIT	books	images/books.png	images/river.png	books
en-US	3	2	6	LEGIT	brick	images/brick.png	images/water.png	brick
en-US	3	2	7	LEGIT	color	images/color.png	images/train.png	color
en-US	3	3	1	LEGIT	shoes	images/shoes.png	images/hippo.png	shoes
en-US	3	3	2	LEGIT	hippo	images/hippo.png	images/shoes.png	hippo
en-US	3	3	3	LEGIT	radio	images/radio.png	images/hippo.png	radio
en-US	3	3	4	LEGIT	money	images/money.png	images/heart.png	money
en-US	3	3	5	LEGIT	chair	images/chair.png	images/shark.png	chair
en-US	3	3	6	LEGIT	books	images/books.png	images/chair.png	books
en-US	3	3	7	LEGIT	grape	images/grape.png	images/river.png	grape
en-US	3	4	1	LEGIT	house	images/house.png	images/radio.png	house
